unique_id,cluster_id
osmacc_43977340,osmacc_10704411583
osmacc_44025287,osmacc_10704411583
osmacc_44058160,osmacc_10704411583
osmacc_44578379,osmacc_10704411583
osmacc_44683245,osmacc_10704411583
osmacc_44683479,osmacc_10704411583
osmacc_44683488,osmacc_10704411583
osmacc_45664434,osmacc_10704411583
osmacc_46809956,osmacc_46809956
osmacc_48998099,osmacc_10704411583
osmacc_48998101,osmacc_10704411583
osmacc_49002020,osmacc_10704411583
osmacc_50011949,osmacc_4207243602
osmacc_63899260,osmacc_63899260
osmacc_66666759,osmacc_10704411583
osmacc_66858128,osmacc_66858128
osmacc_67204852,osmacc_11966089369
osmacc_67205605,osmacc_11966089369
osmacc_69882334,osmacc_10704411583
osmacc_72912632,osmacc_10704411583
osmacc_77214767,osmacc_10704411583
osmacc_77424849,osmacc_11123363607
osmacc_78057062,osmacc_78057062
osmacc_79278271,osmacc_10704411583
osmacc_79282656,osmacc_10704411583
osmacc_80259821,osmacc_10704411583
osmacc_80263370,osmacc_10704411583
osmacc_80263700,osmacc_80263700
osmacc_80301821,osmacc_10704411583
osmacc_80393602,osmacc_10704411583
osmacc_80393639,osmacc_80393639
osmacc_80393671,osmacc_10704411583
osmacc_80743964,osmacc_10704411583
osmacc_80786915,osmacc_80786915
osmacc_80897391,osmacc_80897391
osmacc_81026062,osmacc_10704411583
osmacc_81029363,osmacc_10704411583
osmacc_81029782,osmacc_10704411583
osmacc_81029854,osmacc_10704411583
osmacc_81029875,osmacc_10704411583
osmacc_81029942,osmacc_10704411583
osmacc_81188697,osmacc_81188697
osmacc_81189217,osmacc_10704411583
osmacc_81587499,osmacc_10704411583
osmacc_81773620,osmacc_81773620
osmacc_81776161,osmacc_4920692453
osmacc_81779869,osmacc_81779869
osmacc_81787682,osmacc_10704411583
osmacc_82736213,osmacc_82736213
osmacc_82939002,osmacc_10704411583
osmacc_83272088,osmacc_83272088
osmacc_83361067,osmacc_83361067
osmacc_84002714,osmacc_10579905543
osmacc_84008249,osmacc_84008249
osmacc_84008516,osmacc_84008516
osmacc_84353574,osmacc_84353574
osmacc_84391669,osmacc_84391669
osmacc_84391680,osmacc_84391680
osmacc_84395368,osmacc_84395368
osmacc_84396233,osmacc_84396233
osmacc_84396666,osmacc_10704411583
osmacc_84398563,osmacc_10704411583
osmacc_85281363,osmacc_10704411583
osmacc_85441216,osmacc_85441216
osmacc_86450289,osmacc_86450289
osmacc_86618020,osmacc_86618020
osmacc_86621393,osmacc_86621393
osmacc_86621414,osmacc_86618020
osmacc_89039984,osmacc_89039984
osmacc_89040798,osmacc_10704411583
osmacc_90170346,osmacc_90170346
osmacc_90531625,osmacc_10704411583
osmacc_92583209,osmacc_10704411583
osmacc_92593386,osmacc_10704411583
osmacc_92886240,osmacc_3156937984
osmacc_92887601,osmacc_3156937984
osmacc_92891422,osmacc_92891422
