unique_id,cluster_id
act_Q635519,act_Q12130612
act_Q522604,act_Q11044187
act_Q256200,act_Q17354571
act_Q154775,act_Q1138228
act_Q511024,act_Q11044187
act_Q842660,act_Q17354571
act_Q715467,act_Q715467
act_Q499306,act_Q1383061
act_Q623165,act_Q623165
act_Q839424,act_Q16764241
act_Q595802,act_Q1014126
act_Q287806,act_Q287806
act_Q705092,act_Q2655080
act_Q700606,act_Q1257060
act_Q372088,act_Q13142168
act_Q664766,act_Q11044187
act_Q775644,act_Q1014126
act_Q281856,act_Q1836295
act_Q94564,act_Q17354571
act_Q535586,act_Q2354677
act_Q696439,act_Q2306758
act_Q754560,act_Q18211130
act_Q733790,act_Q2253247
act_Q568938,act_Q1257060
act_Q1138228,act_Q1138228
act_Q1397958,act_Q1257060
act_Q905848,act_Q11044187
act_Q1383061,act_Q1383061
act_Q1272929,act_Q1257060
act_Q1339422,act_Q1339422
act_Q1014126,act_Q1014126
act_Q1378149,act_Q11044187
act_Q917183,act_Q11044187
act_Q1257060,act_Q1257060
act_Q980285,act_Q1170767
act_Q931577,act_Q931577
act_Q1013562,act_Q1013562
act_Q847038,act_Q847038
act_Q1347093,act_Q1347093
act_Q1400323,act_Q1400323
act_Q1170767,act_Q1170767
act_Q871088,act_Q871088
act_Q1140249,act_Q1140249
act_Q1108949,act_Q11044187
act_Q1860762,act_Q1860762
act_Q1928672,act_Q1383061
act_Q1679876,act_Q1383061
act_Q1813470,act_Q1813470
act_Q1870031,act_Q1870031
act_Q1708620,act_Q1708620
act_Q1699233,act_Q1014126
act_Q1812082,act_Q1812082
act_Q1852686,act_Q1014126
act_Q1862121,act_Q1862121
act_Q1646305,act_Q1014126
act_Q1652213,act_Q1652213
act_Q1547331,act_Q1547331
act_Q1840613,act_Q1840613
act_Q1954425,act_Q1170767
act_Q1871680,act_Q1871680
act_Q1888920,act_Q1888920
act_Q1811200,act_Q18088805
act_Q1905413,act_Q1905413
act_Q1917212,act_Q15868280
act_Q1836295,act_Q1836295
act_Q1753166,act_Q1753166
act_Q1920236,act_Q1920236
act_Q1621007,act_Q1257060
act_Q1815516,act_Q1815516
act_Q1784177,act_Q13142168
act_Q1820262,act_Q11044187
act_Q1967578,act_Q1170767
act_Q2032787,act_Q1170767
act_Q2014815,act_Q2014815
act_Q2050433,act_Q2050433
act_Q2123638,act_Q15873804
act_Q1980365,act_Q1976643
act_Q2120558,act_Q1014126
act_Q2022465,act_Q2022465
act_Q2009311,act_Q17354571
act_Q2027709,act_Q2027709
act_Q2015143,act_Q11044187
act_Q1960574,act_Q1960574
act_Q1991768,act_Q1991768
act_Q2008724,act_Q2008724
act_Q2021483,act_Q1383061
act_Q1976643,act_Q1976643
act_Q1997471,act_Q1997471
act_Q2039724,act_Q2039724
act_Q2032657,act_Q2032657
act_Q2025604,act_Q1571184
act_Q1976221,act_Q1976221
act_Q1955717,act_Q18350783
act_Q2248967,act_Q1170767
act_Q2114070,act_Q2014815
act_Q2111885,act_Q11144095
act_Q2185798,act_Q11044187
act_Q2241822,act_Q2241822
act_Q2113946,act_Q2113946
act_Q2084141,act_Q2084141
act_Q2188694,act_Q2188694
act_Q2088205,act_Q2088205
act_Q2204914,act_Q17354571
act_Q2190196,act_Q2190196
act_Q2210016,act_Q2210016
act_Q2149205,act_Q1014126
act_Q2105764,act_Q11044187
act_Q2228477,act_Q2228477
act_Q2237289,act_Q1888920
act_Q2108462,act_Q2108462
act_Q2117704,act_Q2117704
act_Q2216083,act_Q16764241
act_Q2107539,act_Q2107539
act_Q2098971,act_Q2098971
act_Q2161432,act_Q2161432
act_Q2215257,act_Q2215257
act_Q2099610,act_Q16764241
act_Q2181689,act_Q2181689
act_Q2186095,act_Q2186095
act_Q2148163,act_Q2148163
act_Q2432540,act_Q11044187
act_Q2257001,act_Q17354571
act_Q2384633,act_Q2384633
act_Q2401304,act_Q2253247
act_Q2253247,act_Q2253247
act_Q2399429,act_Q13142168
act_Q2358158,act_Q1170767
act_Q2341403,act_Q2341403
act_Q2274372,act_Q2274372
act_Q2306758,act_Q2306758
act_Q2389049,act_Q2389049
act_Q2397158,act_Q1888920
act_Q2324404,act_Q1170767
act_Q2375179,act_Q2375179
act_Q2354677,act_Q2354677
act_Q2340507,act_Q2340507
act_Q2470761,act_Q18286329
act_Q2317183,act_Q1014126
act_Q2312320,act_Q2312320
act_Q2441211,act_Q11044187
act_Q2287744,act_Q1871680
act_Q2259810,act_Q1170767
act_Q2253140,act_Q2253140
act_Q2595341,act_Q2595341
act_Q2611559,act_Q2611559
act_Q2662909,act_Q1014126
act_Q2515657,act_Q2515657
act_Q2515989,act_Q1862121
act_Q2526644,act_Q16764241
act_Q2491109,act_Q1014126
act_Q2751798,act_Q15873804
act_Q2586921,act_Q2241822
act_Q2559236,act_Q2039724
act_Q2708415,act_Q2340507
act_Q2625926,act_Q1257060
act_Q2503368,act_Q2503368
act_Q2675725,act_Q17354571
act_Q2655080,act_Q2655080
act_Q2514595,act_Q1014126
act_Q2565202,act_Q2565202
act_Q2754299,act_Q2186095
act_Q2625302,act_Q2625302
act_Q2478313,act_Q16764241
act_Q2515275,act_Q2515275
act_Q2558850,act_Q2558850
act_Q2532669,act_Q2532669
act_Q2583836,act_Q2583836
act_Q2571900,act_Q2108462
act_Q2482757,act_Q16764241
act_Q2526621,act_Q2526621
act_Q2613770,act_Q1862121
act_Q2449405,act_Q2449405
act_Q2528605,act_Q1170767
act_Q2471860,act_Q11044187
act_Q2664428,act_Q12836431
act_Q2593361,act_Q2039724
act_Q2506013,act_Q15873804
act_Q2500152,act_Q12836431
act_Q2539434,act_Q1753166
act_Q2698560,act_Q1571184
act_Q2454537,act_Q2454537
act_Q3330123,act_Q3330123
act_Q3329180,act_Q16764241
act_Q3295401,act_Q3295401
act_Q3329776,act_Q3329776
act_Q3329730,act_Q3329730
act_Q3330136,act_Q3330136
act_Q3279924,act_Q17354571
act_Q3329684,act_Q1815516
act_Q3329505,act_Q17354571
act_Q3329980,act_Q3329980
act_Q3329930,act_Q17354571
act_Q3359412,act_Q1170767
act_Q3330658,act_Q3330658
act_Q3329651,act_Q17354571
act_Q2785293,act_Q2785293
act_Q3329889,act_Q3034599
act_Q3172765,act_Q11044187
act_Q3329150,act_Q2188694
act_Q2772722,act_Q11044187
act_Q3330356,act_Q3329980
act_Q3330023,act_Q19407120
act_Q3329899,act_Q3329899
act_Q2803509,act_Q1871680
act_Q2801907,act_Q2801907
act_Q2638298,act_Q2306758
act_Q3330255,act_Q17354571
act_Q3162570,act_Q3162570
act_Q3034599,act_Q3034599
act_Q3329169,act_Q3329169
act_Q2936399,act_Q17354571
act_Q3330345,act_Q2188694
act_Q3330550,act_Q3330550
act_Q3329403,act_Q2253247
act_Q3363971,act_Q2188694
act_Q3329953,act_Q2188694
act_Q3330049,act_Q3330049
act_Q3329107,act_Q2188694
act_Q2840717,act_Q11044187
act_Q3329685,act_Q2188694
act_Q2755110,act_Q2755110
act_Q3329339,act_Q2188694
act_Q2801959,act_Q1014126
act_Q3329959,act_Q3329959
act_Q3329882,act_Q1170767
act_Q3294996,act_Q1014126
act_Q3329712,act_Q16509746
act_Q3329322,act_Q3329322
act_Q2789120,act_Q11044187
act_Q2789484,act_Q18088805
act_Q3101274,act_Q11044187
act_Q3515432,act_Q1170767
act_Q2901313,act_Q16764241
act_Q3465633,act_Q3465633
act_Q2834422,act_Q1860762
act_Q3058199,act_Q1870031
act_Q1571184,act_Q1571184
act_Q5901,act_Q1014126
act_Q2869992,act_Q17354571
act_Q29646,act_Q29646
act_Q2859916,act_Q17354571
act_Q2893370,act_Q2188694
act_Q2974383,act_Q2974383
act_Q2917741,act_Q1170767
act_Q3052500,act_Q17354571
act_Q2896852,act_Q2583836
act_Q2784739,act_Q2784739
act_Q2870341,act_Q2870341
act_Q1573755,act_Q1014126
act_Q451,act_Q2188694
act_Q1420258,act_Q1420258
act_Q2141580,act_Q2141580
act_Q2876625,act_Q18350783
act_Q2860524,act_Q17354571
act_Q4204462,act_Q4204462
act_Q4532880,act_Q4532880
act_Q4394700,act_Q19713860
act_Q4653677,act_Q1138228
act_Q4680055,act_Q11044187
act_Q3813695,act_Q1014126
act_Q3330266,act_Q17354571
act_Q3408962,act_Q3329322
act_Q4436516,act_Q15868280
act_Q4418699,act_Q1871680
act_Q4116059,act_Q13142168
act_Q4421168,act_Q1014126
act_Q4306396,act_Q12836431
act_Q3541340,act_Q16764241
act_Q4119527,act_Q4119527
act_Q4286629,act_Q15868280
act_Q3850788,act_Q13142168
act_Q4398045,act_Q1170767
act_Q4118593,act_Q4118593
act_Q3733052,act_Q13142168
act_Q4204478,act_Q4204478
act_Q3915539,act_Q3915539
act_Q3701423,act_Q3701423
act_Q3915253,act_Q3915253
act_Q4328758,act_Q15868280
act_Q4058262,act_Q12836431
act_Q5506110,act_Q4785528
act_Q5139104,act_Q10333587
act_Q5121082,act_Q17354571
act_Q5059593,act_Q5059593
act_Q5074226,act_Q1138228
act_Q5435198,act_Q5435198
act_Q4793164,act_Q1138228
act_Q4733185,act_Q13723065
act_Q5000989,act_Q5000989
act_Q5555085,act_Q13142168
act_Q5046116,act_Q13142168
act_Q4881432,act_Q13142168
act_Q5556361,act_Q5556361
act_Q4907687,act_Q15868280
act_Q4785528,act_Q4785528
act_Q5000987,act_Q5000987
act_Q4847184,act_Q11044187
act_Q5732778,act_Q5732778
act_Q4896257,act_Q4118593
act_Q4947381,act_Q1257060
act_Q5075276,act_Q1138228
act_Q5519554,act_Q4118593
act_Q4884265,act_Q4884265
act_Q5348411,act_Q13142168
act_Q5685370,act_Q13723065
act_Q6361210,act_Q6361210
act_Q6192458,act_Q6192458
act_Q6940902,act_Q13142168
act_Q7267034,act_Q13142168
act_Q5755153,act_Q5755153
act_Q6631337,act_Q13142168
act_Q6033596,act_Q10333587
act_Q6941108,act_Q2784739
act_Q6941106,act_Q6941106
act_Q6741397,act_Q4118593
act_Q6933506,act_Q13142168
act_Q6631530,act_Q6631530
act_Q6508630,act_Q4118593
act_Q11044187,act_Q11044187
act_Q6963490,act_Q6963490
act_Q5913533,act_Q5913533
act_Q9046895,act_Q10333587
act_Q6891395,act_Q6631530
act_Q10333587,act_Q10333587
act_Q7928336,act_Q7928336
act_Q7397611,act_Q12235855
act_Q7881638,act_Q13142168
act_Q6368472,act_Q6368472
act_Q6852382,act_Q6852382
act_Q7348805,act_Q18088805
act_Q12130551,act_Q12130551
act_Q12130612,act_Q12130612
act_Q12211213,act_Q12211213
act_Q12121511,act_Q12121511
act_Q12238614,act_Q12238614
act_Q12130552,act_Q12130551
act_Q12834955,act_Q12834955
act_Q12235855,act_Q12235855
act_Q12836622,act_Q12836622
act_Q12836496,act_Q12836496
act_Q12130533,act_Q12130533
act_Q12755803,act_Q12755803
act_Q12838332,act_Q12836431
act_Q12238627,act_Q12238627
act_Q12836447,act_Q12836431
act_Q12121510,act_Q12121510
act_Q12121574,act_Q12121574
act_Q11144095,act_Q11144095
act_Q12238628,act_Q12238628
act_Q12238576,act_Q12238576
act_Q12239098,act_Q12239098
act_Q12238625,act_Q12238625
act_Q12079455,act_Q12079455
act_Q12755799,act_Q12755799
act_Q12836431,act_Q12836431
act_Q12755801,act_Q12755801
act_Q12192226,act_Q12192226
act_Q14254203,act_Q14254203
act_Q13636814,act_Q13636814
act_Q13090999,act_Q13090999
act_Q12840071,act_Q12840071
act_Q13745104,act_Q13745104
act_Q13052983,act_Q1138228
act_Q13866173,act_Q1170767
act_Q13723065,act_Q13723065
act_Q13142168,act_Q13142168
act_Q13725556,act_Q1014126
act_Q13054028,act_Q1138228
act_Q13433035,act_Q13433035
act_Q12840305,act_Q12840305
act_Q13635773,act_Q13635773
act_Q12840427,act_Q12836431
act_Q12840429,act_Q12836431
act_Q13433909,act_Q13433909
act_Q13055008,act_Q13055008
act_Q12840310,act_Q12840310
act_Q13091004,act_Q13091004
act_Q12843155,act_Q12836431
act_Q13430270,act_Q13430270
act_Q13433903,act_Q13433903
act_Q13054090,act_Q13054090
act_Q14853445,act_Q14361557
act_Q16371075,act_Q12836431
act_Q16380010,act_Q16380010
act_Q16387816,act_Q1138228
act_Q15876322,act_Q15876322
act_Q15877712,act_Q15877712
act_Q15879542,act_Q15879542
act_Q15080293,act_Q15080293
act_Q15882598,act_Q15882598
act_Q15063904,act_Q10333587
act_Q16387825,act_Q1138228
act_Q14361557,act_Q14361557
act_Q14512469,act_Q14512469
act_Q16089147,act_Q16089147
act_Q16127589,act_Q16127589
act_Q16251836,act_Q16251836
act_Q14644905,act_Q14361557
act_Q16368644,act_Q16368644
act_Q16368641,act_Q12836431
act_Q16381622,act_Q1138228
act_Q15876118,act_Q15876118
act_Q16377040,act_Q16377040
act_Q16366286,act_Q12836431
act_Q15873804,act_Q15873804
act_Q16127654,act_Q16127654
act_Q14942756,act_Q12836431
act_Q15868280,act_Q15868280
act_Q16374671,act_Q12836431
act_Q16417058,act_Q16417058
act_Q17274718,act_Q10333587
act_Q16402576,act_Q1138228
act_Q16417240,act_Q16417240
act_Q17070786,act_Q17070786
act_Q17347120,act_Q16764241
act_Q17189906,act_Q17189906
act_Q17354571,act_Q17354571
act_Q17635470,act_Q17635470
act_Q16388907,act_Q16388907
act_Q16416097,act_Q12836431
act_Q16740836,act_Q16740836
act_Q16392394,act_Q1138228
act_Q16414701,act_Q16414701
act_Q16722476,act_Q16722476
act_Q16764241,act_Q16764241
act_Q17635472,act_Q17635470
act_Q17187013,act_Q10333587
act_Q16509746,act_Q16509746
act_Q16416482,act_Q12836431
act_Q17623085,act_Q10333587
act_Q16662605,act_Q16662605
act_Q18574189,act_Q11044187
act_Q19714991,act_Q16417240
act_Q18088201,act_Q18088201
act_Q19886658,act_Q15873804
act_Q18350783,act_Q18350783
act_Q18286329,act_Q18286329
act_Q17635479,act_Q17635470
act_Q18654834,act_Q18654834
act_Q18211130,act_Q18211130
act_Q18070499,act_Q18070499
act_Q18169501,act_Q18070499
act_Q18654901,act_Q1571184
act_Q19909160,act_Q18211130
act_Q19407120,act_Q19407120
act_Q18088805,act_Q18088805
act_Q18341745,act_Q18341745
act_Q18549518,act_Q11044187
act_Q18088689,act_Q18088689
act_Q18414859,act_Q18414859
act_Q19713314,act_Q19713314
act_Q19713860,act_Q19713860
act_Q18088356,act_Q17354571
act_Q656047,act_Q656047
act_Q2618661,act_Q12061727
act_Q598800,act_Q106076508
act_Q3503103,act_Q12061727
act_Q3661445,act_Q3661445
act_Q1051789,act_Q1051789
act_Q1387708,act_Q1387708
act_Q2497590,act_Q123361556
act_Q3504025,act_Q3504025
act_Q2688029,act_Q2688029
act_Q2912841,act_Q118463772
act_Q2553677,act_Q122764510
act_Q615930,act_Q615930
act_Q854533,act_Q106076508
act_Q4838094,act_Q4838094
act_Q1567326,act_Q12061727
act_Q1789475,act_Q122764510
act_Q1954456,act_Q1954456
act_Q2351445,act_Q2351445
act_Q1954595,act_Q12061727
act_Q4161768,act_Q13058226
act_Q502157,act_Q12061727
act_Q2618426,act_Q12061727
act_Q3196047,act_Q3196047
act_Q4054761,act_Q4054761
act_Q162198,act_Q162198
act_Q9677526,act_Q106076508
act_Q12631741,act_Q12631741
act_Q12631743,act_Q12631743
act_Q12061727,act_Q12061727
act_Q6941075,act_Q6941075
act_Q12635817,act_Q12635817
act_Q6941022,act_Q2351445
act_Q8366704,act_Q12061727
act_Q12640047,act_Q12639159
act_Q12637463,act_Q12637463
act_Q12637462,act_Q12637462
act_Q6527775,act_Q6527775
act_Q12637468,act_Q123361556
act_Q4854645,act_Q4854645
act_Q12637467,act_Q12637467
act_Q4842310,act_Q1051789
act_Q12632600,act_Q12061727
act_Q5696978,act_Q106076508
act_Q5454552,act_Q5454552
act_Q6826747,act_Q6826747
act_Q4931212,act_Q4931212
act_Q7107142,act_Q16257913
act_Q5193256,act_Q5193256
act_Q12637458,act_Q123361556
act_Q12631740,act_Q12631740
act_Q9206609,act_Q123361556
act_Q7915600,act_Q25588095
act_Q12639159,act_Q12639159
act_Q12637464,act_Q12637464
act_Q16257913,act_Q16257913
act_Q17069124,act_Q13059829
act_Q16116365,act_Q12640247
act_Q18987476,act_Q118581479
act_Q16114357,act_Q106076508
act_Q17556276,act_Q118463772
act_Q17450667,act_Q106076508
act_Q15547215,act_Q123361556
act_Q16114046,act_Q16114046
act_Q16116835,act_Q16116835
act_Q16116894,act_Q16116894
act_Q16116851,act_Q16116851
act_Q16345416,act_Q16345416
act_Q16116657,act_Q123361556
act_Q15961646,act_Q108912388
act_Q16335742,act_Q108912388
act_Q13059829,act_Q13059829
act_Q13058226,act_Q13058226
act_Q16957085,act_Q16957085
act_Q15217015,act_Q118581479
act_Q15961055,act_Q118463772
act_Q18988336,act_Q18988336
act_Q18988935,act_Q18988935
act_Q15260382,act_Q12061727
act_Q16345312,act_Q16345312
act_Q15410088,act_Q12639159
act_Q16335662,act_Q1051789
act_Q16116845,act_Q16116845
act_Q26257019,act_Q26257019
act_Q19705418,act_Q19705418
act_Q25587584,act_Q25587584
act_Q31724458,act_Q118465114
act_Q24039035,act_Q24039035
act_Q31199829,act_Q31199829
act_Q25499126,act_Q25499126
act_Q19768200,act_Q118463772
act_Q28408337,act_Q28408337
act_Q25588099,act_Q118463772
act_Q24232498,act_Q24232498
act_Q23991063,act_Q23991063
act_Q44120629,act_Q118463772
act_Q25587452,act_Q25587452
act_Q19741757,act_Q19741757
act_Q23044804,act_Q118463772
act_Q25588095,act_Q25588095
act_Q20736411,act_Q20736411
act_Q25498774,act_Q25498774
act_Q24206239,act_Q24206239
act_Q20082485,act_Q20082485
act_Q25588062,act_Q25588062
act_Q56405726,act_Q56405726
act_Q61366299,act_Q118463772
act_Q65152394,act_Q65152394
act_Q61364833,act_Q61364833
act_Q64347944,act_Q64347944
act_Q65202507,act_Q65202507
act_Q43399395,act_Q118463772
act_Q65125979,act_Q122764510
act_Q65720554,act_Q65720554
act_Q48801228,act_Q48801228
act_Q61360139,act_Q61360139
act_Q56406090,act_Q122764510
act_Q65133087,act_Q65133087
act_Q63347873,act_Q118115042
act_Q61361130,act_Q61361130
act_Q61361185,act_Q61361185
act_Q42367764,act_Q42367764
act_Q65125873,act_Q65125873
act_Q61360286,act_Q61360286
act_Q61366296,act_Q61366296
act_Q61366353,act_Q61366353
act_Q61361293,act_Q61361293
act_Q61366413,act_Q118463772
act_Q56405322,act_Q122764510
act_Q61366267,act_Q61366267
act_Q55232192,act_Q118463772
act_Q56405727,act_Q56405727
act_Q56405573,act_Q122764510
act_Q56405698,act_Q122764510
act_Q65720558,act_Q65720558
act_Q86615700,act_Q86615700
act_Q99630632,act_Q99630632
act_Q108775932,act_Q108775932
act_Q108775946,act_Q108775946
act_Q95948847,act_Q95948847
act_Q85810254,act_Q118463772
act_Q97352821,act_Q97352821
act_Q97230575,act_Q97230575
act_Q108912447,act_Q1051789
act_Q108912450,act_Q1051789
act_Q108912451,act_Q1051789
act_Q108912453,act_Q1051789
act_Q108269296,act_Q108269296
act_Q97499904,act_Q97499904
act_Q100711740,act_Q100711740
act_Q106076508,act_Q106076508
act_Q108912446,act_Q108912446
act_Q103821404,act_Q103821404
act_Q97193480,act_Q97193480
act_Q107272982,act_Q107272982
act_Q65720567,act_Q65720567
act_Q106204528,act_Q106076508
act_Q97352832,act_Q97352821
act_Q108912400,act_Q108912400
act_Q108912409,act_Q108912409
act_Q108912389,act_Q108912389
act_Q108912055,act_Q108912055
act_Q108912119,act_Q1051789
act_Q108912383,act_Q1051789
act_Q108912386,act_Q1051789
act_Q108912390,act_Q1051789
act_Q108912391,act_Q1051789
act_Q108912394,act_Q1051789
act_Q108912395,act_Q1051789
act_Q108912393,act_Q1051789
act_Q108912398,act_Q1051789
act_Q108912399,act_Q1051789
act_Q108912396,act_Q1051789
act_Q108912397,act_Q1051789
act_Q108912403,act_Q1051789
act_Q108912401,act_Q1051789
act_Q108912404,act_Q1051789
act_Q108912410,act_Q1051789
act_Q108912411,act_Q1051789
act_Q108912408,act_Q1051789
act_Q108912415,act_Q1051789
act_Q108912388,act_Q108912388
act_Q108912368,act_Q108912368
act_Q108912392,act_Q108912392
act_Q108912407,act_Q108912407
act_Q108912402,act_Q108912402
act_Q108092245,act_Q108092245
act_Q108912414,act_Q1051789
act_Q108912406,act_Q108912388
act_Q108912444,act_Q108912444
act_Q108912427,act_Q108912427
act_Q108912422,act_Q1051789
act_Q108912413,act_Q1051789
act_Q108912418,act_Q1051789
act_Q108912416,act_Q1051789
act_Q108912417,act_Q1051789
act_Q108912421,act_Q1051789
act_Q108912430,act_Q1051789
act_Q108912431,act_Q1051789
act_Q108912434,act_Q1051789
act_Q108912437,act_Q1051789
act_Q108912435,act_Q1051789
act_Q108912412,act_Q1051789
act_Q108912439,act_Q108912439
act_Q108912419,act_Q108912419
act_Q108912426,act_Q1051789
act_Q108912433,act_Q108912433
act_Q108912445,act_Q108912445
act_Q113840113,act_Q113840113
act_Q112030739,act_Q112030739
act_Q112030740,act_Q112030740
act_Q111966721,act_Q111966721
act_Q111847123,act_Q111847123
act_Q118453167,act_Q118453167
act_Q118454749,act_Q118454749
act_Q118455383,act_Q118455383
act_Q111536257,act_Q106076508
act_Q118458264,act_Q118458264
act_Q118458789,act_Q118458789
act_Q118459348,act_Q118459348
act_Q114554860,act_Q114554860
act_Q118369919,act_Q118369919
act_Q111846701,act_Q111846701
act_Q111916004,act_Q111916004
act_Q115768613,act_Q115768613
act_Q118115042,act_Q118115042
act_Q118115045,act_Q118115042
act_Q112031123,act_Q112031123
act_Q115166331,act_Q115166331
act_Q112117827,act_Q112117827
act_Q110048291,act_Q110048291
act_Q110048298,act_Q110048298
act_Q115522729,act_Q115522729
act_Q118455517,act_Q118455517
act_Q117268130,act_Q117268130
act_Q111832126,act_Q111832126
act_Q134547661,act_Q134547661
act_Q132730804,act_Q108269296
act_Q131036964,act_Q1051789
act_Q131904676,act_Q131904676
act_Q125498348,act_Q125498348
act_Q125852385,act_Q1051789
act_Q136347059,act_Q136347059
act_Q134738604,act_Q12061727
act_Q125850963,act_Q1051789
act_Q133567091,act_Q133567091
act_Q125208063,act_Q1051789
act_Q131859302,act_Q131859302
act_Q125979371,act_Q125979371
act_Q131427359,act_Q131427359
act_Q132731312,act_Q132731312
act_Q135037700,act_Q135037700
act_Q132508524,act_Q118464890
act_Q130242130,act_Q130242130
act_Q137914873,act_Q12061727
act_Q135911977,act_Q135911977
act_Q123361556,act_Q123361556
act_Q131905110,act_Q131905110
act_Q118581479,act_Q118581479
act_Q12640247,act_Q12640247
act_Q122764510,act_Q122764510
act_Q123421805,act_Q12061727
act_Q118465616,act_Q118465616
act_Q12645777,act_Q12645777
act_Q118462105,act_Q118462105
act_Q118461641,act_Q118461641
act_Q118464890,act_Q118464890
act_Q118464479,act_Q118464479
act_Q118464924,act_Q118464924
act_Q118465106,act_Q118465106
act_Q118465031,act_Q118465031
act_Q118465112,act_Q118465112
act_Q118465239,act_Q118465239
act_Q118465767,act_Q118465767
act_Q118465799,act_Q118465799
act_Q118463772,act_Q118463772
act_Q118459560,act_Q118459560
act_Q122360787,act_Q122360787
act_Q51876,act_Q118463772
act_Q118465114,act_Q118465114
act_Q118466036,act_Q118466036
