unique_id,cluster_id
osmhub_26446051,osmhub_26446051
osmhub_36492131,osmhub_36492131
osmhub_41984084,osmhub_41984084
osmhub_42154819,osmhub_42154819
osmhub_63203931,osmhub_63203931
osmhub_63204748,osmhub_63204748
osmhub_78063495,osmhub_78063495
osmhub_130081198,osmhub_130081198
osmhub_247108901,osmhub_247108901
osmhub_253262207,osmhub_253262207
osmhub_261749975,osmhub_261749975
osmhub_262619907,osmhub_262619907
osmhub_262947763,osmhub_262947763
osmhub_274286373,osmhub_274286373
osmhub_274286492,osmhub_274286492
osmhub_310349029,osmhub_310349029
osmhub_310844645,osmhub_310844645
osmhub_330080965,osmhub_330080965
osmhub_330093296,osmhub_330093296
osmhub_338177823,osmhub_338177823
osmhub_338177828,osmhub_338177828
osmhub_415437988,osmhub_415437988
osmhub_420501169,osmhub_420501169
osmhub_436132275,osmhub_436132275
osmhub_458282463,osmhub_458282463
osmhub_482670014,osmhub_482670014
osmhub_496803264,osmhub_496803264
osmhub_506056777,osmhub_506056777
osmhub_528853635,osmhub_528853635
osmhub_643104548,osmhub_274286492
osmhub_701190345,osmhub_701190345
osmhub_701191338,osmhub_701191338
osmhub_715848061,osmhub_715848061
osmhub_986026125,osmhub_986026125
osmhub_1042032020,osmhub_1042032020
osmhub_1042699592,osmhub_1042699592
osmhub_1506143976,osmhub_1506143976
osmhub_1506495806,osmhub_1506495806
osmhub_1716564811,osmhub_1716564811
osmhub_1752578514,osmhub_1752578514
osmhub_1956883000,osmhub_1956883000
osmhub_1988505255,osmhub_1988505255
osmhub_2026248147,osmhub_2026248147
osmhub_2028453341,osmhub_2028453341
osmhub_2037964450,osmhub_2037964450
osmhub_2144637109,osmhub_2144637109
osmhub_2195493967,osmhub_2195493967
osmhub_2195498166,osmhub_2195498166
osmhub_2195509430,osmhub_2195509430
osmhub_2195511188,osmhub_2195511188
osmhub_2195515087,osmhub_2195515087
osmhub_2344786267,osmhub_2344786267
osmhub_2365928002,osmhub_2365928002
osmhub_2414810726,osmhub_2414810726
osmhub_2422538263,osmhub_2422538263
osmhub_2540120495,osmhub_2540120495
osmhub_2631683231,osmhub_2631683231
osmhub_2631683249,osmhub_2631683249
osmhub_2645643979,osmhub_2645643979
osmhub_2672700496,osmhub_2672700496
osmhub_2719476432,osmhub_2719476432
osmhub_2725676502,osmhub_2725676502
osmhub_2725732468,osmhub_2725732468
osmhub_2753808505,osmhub_2753808505
osmhub_2815620698,osmhub_2815620698
osmhub_2892625102,osmhub_2892625102
osmhub_2911579600,osmhub_2911579600
osmhub_2917414153,osmhub_2917414153
osmhub_2981565078,osmhub_2981565078
osmhub_2981565079,osmhub_26446051
osmhub_3070631211,osmhub_3070631211
osmhub_3160131450,osmhub_3160131450
osmhub_3160131451,osmhub_3160131451
osmhub_3160131452,osmhub_3160131452
osmhub_3160133374,osmhub_3160133374
osmhub_3185278561,osmhub_3185278561
osmhub_3187523662,osmhub_3187523662
osmhub_3213886863,osmhub_3213886863
osmhub_3218812592,osmhub_3218812592
osmhub_3218812593,osmhub_3218812593
osmhub_3218812644,osmhub_262947763
osmhub_3218812645,osmhub_3218812645
osmhub_3293165266,osmhub_3293165266
osmhub_3326707725,osmhub_3326707725
osmhub_3330007078,osmhub_3330007078
osmhub_3330375159,osmhub_3330375159
osmhub_3337740066,osmhub_3337740066
osmhub_3356440924,osmhub_3356440924
osmhub_3356443372,osmhub_3356443372
osmhub_3358323636,osmhub_3358323636
osmhub_3358588821,osmhub_3358588821
osmhub_3391374870,osmhub_3391374870
osmhub_3391378252,osmhub_3391378252
osmhub_3394529177,osmhub_3394529177
osmhub_3410872222,osmhub_3410872222
osmhub_3410872224,osmhub_3410872224
osmhub_3410874850,osmhub_3410874850
osmhub_3416627720,osmhub_3416627720
osmhub_3431293467,osmhub_3431293467
osmhub_3467917650,osmhub_3467917650
osmhub_3471640832,osmhub_3471640832
osmhub_3486999437,osmhub_3486999437
osmhub_3486999438,osmhub_3486999438
osmhub_3585784093,osmhub_3585784093
osmhub_3593342840,osmhub_3593342840
osmhub_3600180678,osmhub_3600180678
