unique_id,cluster_id
osm_460596116,osm_10207889818
osm_460596556,osm_10207889818
osm_460596700,osm_10207889818
osm_460597148,osm_10207889818
osm_460597474,osm_10207889818
osm_460597975,osm_10207889818
osm_460600167,osm_10207889818
osm_460600410,osm_10207889818
osm_460600645,osm_10207889818
osm_460600807,osm_10207889818
osm_460602795,osm_10207889818
osm_460603008,osm_10207889818
osm_460603278,osm_10207889818
osm_460603788,osm_10207889818
osm_460603870,osm_10207889818
osm_460604261,osm_10207889818
osm_460605141,osm_10207889818
osm_460605601,osm_10207889818
osm_460605702,osm_10207889818
osm_460605821,osm_10207889818
osm_460606051,osm_10207889818
osm_460606570,osm_10207889818
osm_461699097,osm_10207889818
osm_461974406,osm_10207889818
osm_461975041,osm_10207889818
osm_461975576,osm_10207889818
osm_461975689,osm_10207889818
osm_461976643,osm_10207889818
osm_461976662,osm_10207889818
osm_461976790,osm_10207889818
osm_462173158,osm_10207889818
osm_462174275,osm_10207889818
osm_462175775,osm_10207889818
osm_462175813,osm_10207889818
osm_462176092,osm_10207889818
osm_462176195,osm_10207889818
osm_462176558,osm_10207889818
osm_462176716,osm_10207889818
osm_462176998,osm_10207889818
osm_462177346,osm_10207889818
osm_462177412,osm_10207889818
osm_462177432,osm_10207889818
osm_462177535,osm_10207889818
osm_462178001,osm_10207889818
osm_462178080,osm_10207889818
osm_462178123,osm_10207889818
osm_462179934,osm_10207889818
osm_462180748,osm_10207889818
osm_462180977,osm_10207889818
osm_462182680,osm_462182680
osm_462566144,osm_10207889818
osm_462566331,osm_10207889818
osm_462839515,osm_10207889818
osm_462839516,osm_10207889818
osm_29186644,osm_1072328486
osm_31435738,osm_31435738
osm_34051871,osm_1110197493
osm_60414305,osm_60414305
osm_78422041,osm_256219042
osm_81082899,osm_106657674
osm_104465813,osm_104465813
osm_106652934,osm_104465813
osm_106657674,osm_106657674
osm_106681865,osm_106681865
osm_107152431,osm_107152431
osm_127549705,osm_127549705
osm_132979502,osm_132979502
osm_145200030,osm_1271094090
osm_145258324,osm_1072328486
osm_148550514,osm_1072328486
osm_176729780,osm_1040561859
osm_188795650,osm_188795650
osm_188795670,osm_188795650
osm_191839331,osm_106657674
osm_196196656,osm_106657674
osm_202048629,osm_202048629
osm_204089744,osm_1072328486
osm_213819114,osm_1693963249
osm_213847858,osm_1916689738
osm_235945555,osm_2133269332
osm_236325634,osm_1916689739
osm_243078696,osm_1916689739
osm_244220852,osm_244220852
osm_244429798,osm_244429798
osm_244879186,osm_104465813
osm_244889466,osm_244889466
osm_247151291,osm_247151291
osm_248124617,osm_248124617
osm_251143094,osm_251143094
osm_251295538,osm_1072328486
osm_251295828,osm_1072328486
osm_251296278,osm_1072328486
osm_256219042,osm_256219042
osm_257871187,osm_1693963249
osm_258012215,osm_1072328486
osm_258237029,osm_1693963249
osm_258287830,osm_258287830
osm_258289227,osm_1693963249
osm_258289979,osm_1693963249
osm_259129863,osm_1479928962
osm_260716381,osm_2133547731
osm_263675230,osm_263675230
osm_265971579,osm_1745429494
osm_266155502,osm_266155502
osm_266259410,osm_1745429494
osm_266322182,osm_266322182
osm_266737568,osm_266737568
osm_268181318,osm_1072328486
osm_271047804,osm_1072328486
osm_280431031,osm_280431031
osm_291210034,osm_2162178792
osm_294964802,osm_1072328486
osm_298607008,osm_298607008
osm_300509470,osm_300509470
osm_300509500,osm_300509500
osm_300509514,osm_300509470
osm_302129361,osm_302129361
osm_302559944,osm_302129361
osm_302755132,osm_1072328486
osm_302755274,osm_1072328486
