festival_id,name,festival_type,destination_id,destination_name,start_date,end_date
Q60969574,Kënga Magjike 2017,festival occurrence,Q222,Albania,2017-12-06,2017-12-09
Q71435666,Kënga Magjike 2019,festival occurrence,Q222,Albania,,
Q2319714,Abu Dhabi Motor Show,recurring event,Q1519,Abu Dhabi,,
Q7600800,Star Mega Jam,festival,Q3787,Abuja,2001-01-01,2010-01-01
Q38236899,Mozilla Festival,festival,Q727,Amsterdam,,
Q60969892,Kënga Magjike 2018,festival occurrence,Q222,Albania,2018-12-05,2018-12-08
Q4666934,Aberdeen International Youth Festival,festival,Q36405,Aberdeen,,
Q3358839,Royal National Mod,festival,Q36405,Aberdeen,,
Q28134942,OzAsia Festival,recurring event,Q5112,Adelaide,,
Q2181135,Festival of Fools,festival,Q727,Amsterdam,,
Q23925671,Comiciade,recurring event,Q1017,Aachen,,
Q12222274,Ashura in Algeria,festival,Q262,Algeria,,
Q2207483,Poelifinario,recurring event,Q727,Amsterdam,2003-01-01,
Q4982316,Bubonicon,recurring event,Q34804,Albuquerque,,
Q105741210,Wiki Loves Monuments in Albania & Kosovo,recurring event,Q222,Albania,,
Q139324332,Albanian Diaspora Summit,recurring event,Q222,Albania,,
Q16146537,15th World Festival of Youth and Students,festival occurrence,Q262,Algeria,,
Q112612933,Advention,recurring event,Q5112,Adelaide,,
Q23014326,Kënga Magjike 2015,festival occurrence,Q222,Albania,,
Q1795594,Kënga Magjike,recurring event,Q222,Albania,,
Q4708969,Albacon,recurring event,Q24861,Albany,,
Q79048068,Tirana Book Fair,recurring event,Q222,Albania,,
Q20561724,Kult Awards,recurring event,Q222,Albania,,
Q16849154,International Festival of Comics,recurring event,Q262,Algeria,,
Q56299731,Kënga Magjike 2016,festival occurrence,Q222,Albania,,
Q304607,Gjirokastër National Folklore Festival,festival,Q222,Albania,,
Q948858,Cannabis Cup,festival,Q727,Amsterdam,,
Q11983109,Danish National Exhibition of 1909,festival occurrence,Q25319,Aarhus,,
Q116767093,Spectra Festival of Light,festival,Q36405,Aberdeen,,
Q26156861,Amsterdam Light Festival,festival,Q727,Amsterdam,,
Q138036118,"Jouvert Morning, Aruba",festival,Q21203,Aruba,,
Q138323197,"Grand Carnival Parade, San Nicolas",festival,Q21203,Aruba,,
Q138321756,"Lightning parade, San Nicolas Aruba",festival,Q21203,Aruba,,
Q127335869,Buenos Aires Celebra País Vasco 2021,festival occurrence,Q414,Argentina,,
Q25227199,Ultra Buenos Aires,recurring event,Q414,Argentina,,
Q108464937,Tempo Dance Festival,festival,Q37100,Auckland,,
Q115505283,Bear festivities in the Pyrenees,festival,Q228,Andorra,,
Q130243963,Feira Filda,recurring event,Q916,Angola,,
Q3690905,Copa de Competencia (LAF),recurring event,Q414,Argentina,,
Q84045610,Cosquín Rock 2020,festival occurrence,Q414,Argentina,2020-02-08,2020-02-09
Q17492841,Summer of Antwerp,festival,Q12892,Antwerp,,
Q16491950,National Day of Tango,recurring event,Q414,Argentina,,
Q5787759,Copa General Pedro Ramírez,recurring event,Q414,Argentina,,
Q3690900,Copa de Competencia (AAmF),recurring event,Q414,Argentina,,
Q19799894,census in Argentina,recurring event,Q414,Argentina,,
Q24057155,Pepsi Music 2013,festival occurrence,Q414,Argentina,,
Q127328811,Buenos Aires Celebra País Vasco,festival,Q414,Argentina,,
Q7565949,South American Business Forum,recurring event,Q414,Argentina,2004-01-01,
Q76763282,2019 Argentina presidential debates,recurring event,Q414,Argentina,,
Q81314097,Cascanueces,discothèque,Q414,Argentina,,
Q4985521,Buenos Aires Fashion Week,recurring event,Q414,Argentina,2001-01-01,
Q139807837,Madrid Economic Forum,recurring event,Q228,Andorra,,
Q96622031,Wiki Loves Folklore,recurring event,Q414,Argentina,,
Q97461264,Copa Confraternidad Iberoamericana,recurring event,Q414,Argentina,1964-01-01,1965-01-01
Q5996078,Marchas de la Resistencia,recurring event,Q414,Argentina,2015-12-10,2006-01-26
Q121301318,New Year in Armenia,party,Q399,Armenia,,
Q1130500,Tie Cup,recurring event,Q414,Argentina,,
Q134316570,Printopia,festival,Q37100,Auckland,,
Q6343954,Pepsi Music 2006,festival occurrence,Q414,Argentina,,
Q22082577,Copa Mariano Reyna,recurring event,Q414,Argentina,,
Q24057022,Pepsi Music 2011,festival occurrence,Q414,Argentina,,
Q6343952,Pepsi Music 2005,festival occurrence,Q414,Argentina,,
Q127329161,Buenos Aires Celebra País Vasco 2011,festival occurrence,Q414,Argentina,,
Q6343959,Pepsi Music 2009,festival occurrence,Q414,Argentina,,
Q127329167,Buenos Aires Celebra País Vasco 2012,festival occurrence,Q414,Argentina,,
Q127329467,Buenos Aires Celebra País Vasco 2017,festival occurrence,Q414,Argentina,,
Q6343956,Pepsi Music 2007,festival occurrence,Q414,Argentina,,
Q20313154,Atlanta Fantasy Fair,recurring event,Q23556,Atlanta,,
Q19413530,Ushuaia Loppet,recurring event,Q414,Argentina,,
Q6343957,Pepsi Music 2008,festival occurrence,Q414,Argentina,,
Q112615789,ASFiCon,recurring event,Q23556,Atlanta,,
Q7170506,Personal Fest,recurring event,Q414,Argentina,,
Q96392358,Rosario-Santa Fe,recurring event,Q414,Argentina,,
Q13052112,Agra Hadig,ceremony,Q399,Armenia,,
Q6343960,Pepsi Music 2010,festival occurrence,Q414,Argentina,,
Q5058966,Census in Armenia,recurring event,Q399,Armenia,1926-01-01,
Q6343964,Pepsi Music 2012,festival occurrence,Q414,Argentina,,
Q125599959,Buenos Aires Trap,festival,Q414,Argentina,,
Q56319324,Cosquín Rock 2019,festival occurrence,Q414,Argentina,,
Q5787592,Copa de Competencia Británica,recurring event,Q414,Argentina,,
Q135233603,Argentine Figure Skating Championships,recurring event,Q414,Argentina,,
Q127329181,Buenos Aires Celebra País Vasco 2014,festival occurrence,Q414,Argentina,,
Q127333532,Buenos Aires Celebra País Vasco 2019,festival occurrence,Q414,Argentina,,
Q20807227,Copa de Competencia La Nación,recurring event,Q414,Argentina,,
Q132291574,Collaborative photo shoots:Carnabarriales,recurring event,Q414,Argentina,,
Q4653945,ART ATHINA,festival,Q1524,Athens,,
Q1993348,OTI Festival 1980,festival occurrence,Q414,Argentina,,
Q609550,Copa Beccar Varela,recurring event,Q414,Argentina,,
Q127329193,Buenos Aires Celebra País Vasco 2015,festival occurrence,Q414,Argentina,,
Q138172086,European Industry Summit,recurring event,Q12892,Antwerp,,
Q5168211,Copa Premier Honor Argentino,recurring event,Q414,Argentina,,
Q1836480,Copa de Honor Municipalidad de Buenos Aires,recurring event,Q414,Argentina,,
Q21605520,Fiesta de la Navidad en Capioví,party,Q414,Argentina,,
Q5861655,National Rice Festival,party,Q414,Argentina,,
Q127331152,Buenos Aires Celebra País Vasco 2018,festival occurrence,Q414,Argentina,,
Q20011195,Plisskën Festival,festival,Q1524,Athens,,
Q130282561,Address to the Nation of the President of Kazakhstan,recurring event,Q1520,Astana,,
