cluster_id,unique_id,festival_id,name_clean,name,festival_type,destination_id,destination_name,start_date,end_date
fest_Q60969574,fest_Q60969574,Q60969574,kënga magjike 2017,Kënga Magjike 2017,Festival,Q222,Albania,2017-12-06,2017-12-09
fest_Q71435666,fest_Q71435666,Q71435666,kënga magjike 2019,Kënga Magjike 2019,Festival,Q222,Albania,,
fest_Q2319714,fest_Q2319714,Q2319714,abu dhabi motor show,Abu Dhabi Motor Show,Festival,Q1519,Abu Dhabi,,
fest_Q7600800,fest_Q7600800,Q7600800,star mega jam,Star Mega Jam,Festival,Q3787,Abuja,2001-01-01,2010-01-01
fest_Q7600800,fest_Q7600800,Q7600800,star mega jam,Star Mega Jam,Festival,Q3787,Abuja,2001-01-01,2010-01-01
fest_Q7600800,fest_Q7600800,Q7600800,star mega jam,Star Mega Jam,Festival,Q3787,Abuja,2001-01-01,2010-01-01
fest_Q38236899,fest_Q38236899,Q38236899,mozilla festival,Mozilla Festival,Festival,Q727,Amsterdam,,
fest_Q38236899,fest_Q38236899,Q38236899,mozilla festival,Mozilla Festival,Festival,Q727,Amsterdam,,
fest_Q60969892,fest_Q60969892,Q60969892,kënga magjike 2018,Kënga Magjike 2018,Festival,Q222,Albania,2018-12-05,2018-12-08
fest_Q4666934,fest_Q4666934,Q4666934,aberdeen international youth festival,Aberdeen International Youth Festival,Festival,Q36405,Aberdeen,,
fest_Q3358839,fest_Q3358839,Q3358839,royal national mod,Royal National Mod,Festival,Q36405,Aberdeen,,
fest_Q3358839,fest_Q3358839,Q3358839,royal national mod,Royal National Mod,Festival,Q36405,Aberdeen,,
fest_Q28134942,fest_Q28134942,Q28134942,ozasia festival,OzAsia Festival,Festival,Q5112,Adelaide,,
fest_Q28134942,fest_Q28134942,Q28134942,ozasia festival,OzAsia Festival,Festival,Q5112,Adelaide,,
fest_Q2181135,fest_Q2181135,Q2181135,festival of fools,Festival of Fools,Festival,Q727,Amsterdam,,
fest_Q2181135,fest_Q2181135,Q2181135,festival of fools,Festival of Fools,Festival,Q727,Amsterdam,,
fest_Q23925671,fest_Q23925671,Q23925671,comiciade,Comiciade,Festival,Q1017,Aachen,,
fest_Q23925671,fest_Q23925671,Q23925671,comiciade,Comiciade,Festival,Q1017,Aachen,,
fest_Q12222274,fest_Q12222274,Q12222274,ashura in algeria,Ashura in Algeria,Festival,Q262,Algeria,,
fest_Q2207483,fest_Q2207483,Q2207483,poelifinario,Poelifinario,Festival,Q727,Amsterdam,2003-01-01,
fest_Q2207483,fest_Q2207483,Q2207483,poelifinario,Poelifinario,Festival,Q727,Amsterdam,2003-01-01,
fest_Q4982316,fest_Q4982316,Q4982316,bubonicon,Bubonicon,Festival,Q34804,Albuquerque,,
fest_Q105741210,fest_Q105741210,Q105741210,wiki loves monuments in albania kosovo,Wiki Loves Monuments in Albania & Kosovo,Festival,Q222,Albania,,
fest_Q105741210,fest_Q105741210,Q105741210,wiki loves monuments in albania kosovo,Wiki Loves Monuments in Albania & Kosovo,Festival,Q222,Albania,,
fest_Q139324332,fest_Q139324332,Q139324332,albanian diaspora summit,Albanian Diaspora Summit,Festival,Q222,Albania,,
fest_Q139324332,fest_Q139324332,Q139324332,albanian diaspora summit,Albanian Diaspora Summit,Festival,Q222,Albania,,
fest_Q16146537,fest_Q16146537,Q16146537,15th world festival of youth and students,15th World Festival of Youth and Students,Festival,Q262,Algeria,,
fest_Q112612933,fest_Q112612933,Q112612933,advention,Advention,Festival,Q5112,Adelaide,,
fest_Q112612933,fest_Q112612933,Q112612933,advention,Advention,Festival,Q5112,Adelaide,,
fest_Q23014326,fest_Q23014326,Q23014326,kënga magjike 2015,Kënga Magjike 2015,Festival,Q222,Albania,,
fest_Q1795594,fest_Q1795594,Q1795594,kënga magjike,Kënga Magjike,Festival,Q222,Albania,,
fest_Q1795594,fest_Q1795594,Q1795594,kënga magjike,Kënga Magjike,Festival,Q222,Albania,,
fest_Q1795594,fest_Q1795594,Q1795594,kënga magjike,Kënga Magjike,Festival,Q222,Albania,,
fest_Q4708969,fest_Q4708969,Q4708969,albacon,Albacon,Festival,Q24861,Albany,,
fest_Q79048068,fest_Q79048068,Q79048068,tirana book fair,Tirana Book Fair,Festival,Q222,Albania,,
fest_Q79048068,fest_Q79048068,Q79048068,tirana book fair,Tirana Book Fair,Festival,Q222,Albania,,
fest_Q20561724,fest_Q20561724,Q20561724,kult awards,Kult Awards,Festival,Q222,Albania,,
fest_Q16849154,fest_Q16849154,Q16849154,international festival of comics,International Festival of Comics,Festival,Q262,Algeria,,
fest_Q56299731,fest_Q56299731,Q56299731,kënga magjike 2016,Kënga Magjike 2016,Festival,Q222,Albania,,
fest_Q304607,fest_Q304607,Q304607,gjirokastër national folklore festival,Gjirokastër National Folklore Festival,Festival,Q222,Albania,,
fest_Q948858,fest_Q948858,Q948858,cannabis cup,Cannabis Cup,Festival,Q727,Amsterdam,,
fest_Q948858,fest_Q948858,Q948858,cannabis cup,Cannabis Cup,Festival,Q727,Amsterdam,,
fest_Q11983109,fest_Q11983109,Q11983109,danish national exhibition of 1909,Danish National Exhibition of 1909,Festival,Q25319,Aarhus,,
fest_Q11983109,fest_Q11983109,Q11983109,danish national exhibition of 1909,Danish National Exhibition of 1909,Festival,Q25319,Aarhus,,
fest_Q116767093,fest_Q116767093,Q116767093,spectra festival of light,Spectra Festival of Light,Festival,Q36405,Aberdeen,,
fest_Q26156861,fest_Q26156861,Q26156861,amsterdam light festival,Amsterdam Light Festival,Festival,Q727,Amsterdam,,
fest_Q26156861,fest_Q26156861,Q26156861,amsterdam light festival,Amsterdam Light Festival,Festival,Q727,Amsterdam,,
fest_Q138036118,fest_Q138036118,Q138036118,jouvert morning aruba,"Jouvert Morning, Aruba",Festival,Q21203,Aruba,,
fest_Q138323197,fest_Q138323197,Q138323197,grand carnival parade san nicolas,"Grand Carnival Parade, San Nicolas",Festival,Q21203,Aruba,,
fest_Q138321756,fest_Q138321756,Q138321756,lightning parade san nicolas aruba,"Lightning parade, San Nicolas Aruba",Festival,Q21203,Aruba,,
fest_Q127335869,fest_Q127335869,Q127335869,buenos aires celebra país vasco 2021,Buenos Aires Celebra País Vasco 2021,Festival,Q414,Argentina,,
fest_Q127335869,fest_Q127335869,Q127335869,buenos aires celebra país vasco 2021,Buenos Aires Celebra País Vasco 2021,Festival,Q414,Argentina,,
fest_Q25227199,fest_Q25227199,Q25227199,ultra buenos aires,Ultra Buenos Aires,Festival,Q414,Argentina,,
fest_Q108464937,fest_Q108464937,Q108464937,tempo dance festival,Tempo Dance Festival,Festival,Q37100,Auckland,,
