destination_id,destination_name,month_number,month_name,avg_temp_celsius,avg_rainfall_mm,avg_humidity
Q1017,Aachen,1,January,2.6,2.6,80.2
Q1017,Aachen,2,February,7.4,4.1,84.8
Q1017,Aachen,3,March,8.7,2.9,76.6
Q1017,Aachen,4,April,10.0,4.1,75.6
Q1017,Aachen,5,May,14.4,6.3,81.0
Q1017,Aachen,6,June,15.5,2.7,75.8
Q1017,Aachen,7,July,18.2,2.6,73.6
Q1017,Aachen,8,August,19.8,3.5,73.0
Q1017,Aachen,9,September,15.4,4.3,79.4
Q1017,Aachen,10,October,12.4,3.2,83.7
Q1017,Aachen,11,November,6.6,2.1,86.2
Q1017,Aachen,12,December,4.2,2.8,88.3
Q25319,Aarhus,1,January,0.8,2.4,86.8
Q25319,Aarhus,2,February,4.3,4.0,88.4
Q25319,Aarhus,3,March,5.0,1.4,85.6
Q25319,Aarhus,4,April,7.4,4.0,81.3
Q25319,Aarhus,5,May,14.1,1.7,76.2
Q25319,Aarhus,6,June,14.2,3.6,78.1
Q25319,Aarhus,7,July,16.0,4.3,79.1
Q25319,Aarhus,8,August,17.0,2.6,78.8
Q25319,Aarhus,9,September,14.5,2.5,82.4
Q25319,Aarhus,10,October,10.7,1.5,84.3
Q25319,Aarhus,11,November,5.9,1.2,86.7
Q25319,Aarhus,12,December,5.1,2.1,89.5
Q36405,Aberdeen,1,January,3.9,2.6,82.3
Q36405,Aberdeen,2,February,5.2,2.6,81.8
Q36405,Aberdeen,3,March,6.0,3.4,84.1
Q36405,Aberdeen,4,April,7.2,3.9,79.1
Q36405,Aberdeen,5,May,11.5,2.1,89.0
Q36405,Aberdeen,6,June,12.4,2.0,75.9
Q36405,Aberdeen,7,July,13.6,3.5,83.1
Q36405,Aberdeen,8,August,14.7,2.3,77.2
Q36405,Aberdeen,9,September,11.7,0.9,82.5
Q36405,Aberdeen,10,October,10.5,2.8,82.9
Q36405,Aberdeen,11,November,6.6,1.1,82.3
Q36405,Aberdeen,12,December,6.3,3.2,82.5
Q1515,Abidjan,1,January,27.1,2.7,86.2
Q1515,Abidjan,2,February,27.9,3.2,86.4
Q1515,Abidjan,3,March,27.7,3.6,87.2
Q1515,Abidjan,4,April,28.3,4.1,84.4
Q1515,Abidjan,5,May,27.5,5.9,86.0
Q1515,Abidjan,6,June,25.8,10.8,87.9
Q1515,Abidjan,7,July,25.0,3.3,87.6
Q1515,Abidjan,8,August,24.0,2.2,90.5
Q1515,Abidjan,9,September,24.7,2.4,88.1
Q1515,Abidjan,10,October,25.6,7.0,87.9
Q1515,Abidjan,11,November,26.7,3.8,84.8
Q1515,Abidjan,12,December,27.2,2.0,83.1
Q1519,Abu Dhabi,1,January,21.7,0.0,64.1
Q1519,Abu Dhabi,2,February,21.1,1.5,66.7
Q1519,Abu Dhabi,3,March,23.0,2.3,68.5
Q1519,Abu Dhabi,4,April,26.2,2.4,63.5
Q1519,Abu Dhabi,5,May,31.3,1.1,56.9
Q1519,Abu Dhabi,6,June,34.7,0.0,55.1
Q1519,Abu Dhabi,7,July,35.6,0.0,60.2
Q1519,Abu Dhabi,8,August,35.7,0.2,60.4
Q1519,Abu Dhabi,9,September,33.8,0.0,62.1
Q1519,Abu Dhabi,10,October,31.6,0.0,59.1
Q1519,Abu Dhabi,11,November,27.2,0.0,68.9
Q1519,Abu Dhabi,12,December,22.4,0.1,63.7
Q3787,Abuja,1,January,27.0,0.0,22.9
Q3787,Abuja,2,February,28.9,0.0,25.6
Q3787,Abuja,3,March,30.1,0.3,48.4
Q3787,Abuja,4,April,29.2,0.3,60.1
Q3787,Abuja,5,May,28.1,0.2,66.5
Q3787,Abuja,6,June,25.6,1.9,77.8
Q3787,Abuja,7,July,23.7,5.8,86.3
Q3787,Abuja,8,August,23.6,5.5,83.6
Q3787,Abuja,9,September,23.9,6.4,85.0
Q3787,Abuja,10,October,24.9,3.5,78.8
Q3787,Abuja,11,November,27.7,0.0,32.8
Q3787,Abuja,12,December,28.4,0.0,20.1
Q3761,Accra,1,January,27.8,0.8,79.2
Q3761,Accra,2,February,28.2,1.3,80.3
Q3761,Accra,3,March,28.5,1.9,80.5
Q3761,Accra,4,April,28.7,3.3,80.3
Q3761,Accra,5,May,27.8,4.2,83.3
Q3761,Accra,6,June,26.0,5.4,86.3
Q3761,Accra,7,July,25.1,1.9,85.9
Q3761,Accra,8,August,24.8,1.1,84.4
Q3761,Accra,9,September,25.4,1.7,82.2
Q3761,Accra,10,October,25.8,5.4,86.0
Q3761,Accra,11,November,27.3,2.1,81.1
Q3761,Accra,12,December,28.2,0.9,74.0
Q38545,Adana,1,January,11.2,5.8,73.2
Q38545,Adana,2,February,12.0,1.9,77.5
Q38545,Adana,3,March,14.0,3.8,70.5
Q38545,Adana,4,April,20.4,1.5,71.0
Q38545,Adana,5,May,20.9,6.2,75.9
Q38545,Adana,6,June,29.0,0.0,63.9
Q38545,Adana,7,July,30.3,0.9,66.7
Q38545,Adana,8,August,30.0,0.5,67.2
Q38545,Adana,9,September,26.4,2.2,68.6
Q38545,Adana,10,October,21.9,0.3,53.0
Q38545,Adana,11,November,15.5,4.3,61.4
Q38545,Adana,12,December,11.2,5.4,73.1
Q3624,Addis Ababa,1,January,15.3,0.1,57.5
Q3624,Addis Ababa,2,February,15.9,2.4,62.3
Q3624,Addis Ababa,3,March,16.4,2.8,63.9
Q3624,Addis Ababa,4,April,16.1,4.1,76.0
Q3624,Addis Ababa,5,May,17.0,1.6,65.1
Q3624,Addis Ababa,6,June,16.6,3.7,64.7
Q3624,Addis Ababa,7,July,14.5,9.3,83.8
Q3624,Addis Ababa,8,August,14.1,8.6,85.0
Q3624,Addis Ababa,9,September,13.9,6.2,80.8
Q3624,Addis Ababa,10,October,13.9,2.8,76.3
Q3624,Addis Ababa,11,November,14.0,0.3,61.2
Q3624,Addis Ababa,12,December,13.9,0.0,48.6
Q5112,Adelaide,1,January,21.4,2.8,62.8
Q5112,Adelaide,2,February,21.8,0.0,53.1
