cluster_id,unique_id,activity_wikidata_id,name,name_clean,activity_type,destination_id,destination_name,lat,lon
act_Q12130612,act_Q635519,Q635519,Artsakh State Museum,artsakh state museum,Museum,Q227,Azerbaijan,39.817388888,46.754380555
act_Q11044187,act_Q522604,Q522604,Museum van het Heilig Bloed,museum van het heilig bloed,Museum,Q31,Belgium,51.208333,3.226944
act_Q17354571,act_Q256200,Q256200,Charlier Museum,charlier museum,Museum,Q31,Belgium,50.847556,4.369928
act_Q1138228,act_Q154775,Q154775,Tsitsernakaberd,tsitsernakaberd,Museum,Q399,Armenia,40.185821,44.488114
act_Q11044187,act_Q511024,Q511024,Lumina Domestica,lumina domestica,Museum,Q31,Belgium,51.21081,3.22628
act_Q17354571,act_Q842660,Q842660,Meunier Museum,meunier museum,Museum,Q31,Belgium,50.819116,4.367099
act_Q715467,act_Q715467,Q715467,National Museum of Afghanistan,national museum of afghanistan,Museum,Q889,Afghanistan,34.4675,69.12
act_Q1383061,act_Q499306,Q499306,Fort Napoleon,fort napoleon,Museum,Q31,Belgium,51.238889,2.934167
act_Q623165,act_Q623165,Q623165,Aquarium and Museum of Fish Farming,aquarium and museum of fish farming,Museum,Q31,Belgium,,
act_Q16764241,act_Q839424,Q839424,musée des transports en commun de Liège,musée des transports en commun de liège,Museum,Q31,Belgium,50.629033,5.582878
act_Q1014126,act_Q595802,Q595802,Museum Plantin-Moretus,museum plantin-moretus,Museum,Q31,Belgium,51.218294444,4.398163888
act_Q287806,act_Q287806,Q287806,castle of Gaasbeek,castle of gaasbeek,Museum,Q31,Belgium,50.796667,4.197222
act_Q2655080,act_Q705092,Q705092,Arskrippana,arskrippana,Museum,Q31,Belgium,50.3524,6.38399
act_Q1257060,act_Q700606,Q700606,Museum of Sarajevo,museum of sarajevo,Museum,Q225,Bosnia and Herzegovina,43.860890712,18.427614168
act_Q13142168,act_Q372088,Q372088,Ahmed Shawki Museum,ahmed shawki museum,Museum,Q79,Egypt,30.0214,31.2175
act_Q11044187,act_Q664766,Q664766,Gezellehuis,gezellehuis,Museum,Q31,Belgium,51.214877,3.237611
act_Q1014126,act_Q775644,Q775644,Rubenshuis,rubenshuis,Museum,Q31,Belgium,51.217222222,4.409444444
act_Q1836295,act_Q281856,Q281856,Liers Begijnhof,liers begijnhof,Museum,Q31,Belgium,51.128056,4.568056
act_Q17354571,act_Q94564,Q94564,Museums of the Far East,museums of the far east,Museum,Q31,Belgium,50.893872,4.360091
act_Q2354677,act_Q535586,Q535586,Aswan Museum,aswan museum,Museum,Q79,Egypt,24.0847,32.8867
act_Q2306758,act_Q696439,Q696439,Ter Doest Abbey,ter doest abbey,Museum,Q31,Belgium,51.283889,3.206944
act_Q18211130,act_Q754560,Q754560,Ateshgah of Baku,ateshgah of baku,Museum,Q227,Azerbaijan,40.415555555,50.008611111
act_Q2253247,act_Q733790,Q733790,hôtel de Groesbeeck - de Croix,hôtel de groesbeeck - de croix,Museum,Q31,Belgium,50.46336,4.86111
act_Q1257060,act_Q568938,Q568938,National Museum of Bosnia and Herzegovina,national museum of bosnia and herzegovina,Museum,Q225,Bosnia and Herzegovina,43.85498951,18.40264142
act_Q1138228,act_Q1138228,Q1138228,History Museum of Armenia,history museum of armenia,Museum,Q399,Armenia,40.1787,44.5142
act_Q1257060,act_Q1397958,Q1397958,Svrzo's House,svrzo's house,Museum,Q225,Bosnia and Herzegovina,43.862444444,18.429319444
act_Q11044187,act_Q905848,Q905848,Bruges City Hall,bruges city hall,Museum,Q31,Belgium,51.20806,3.22694
act_Q1383061,act_Q1383061,Q1383061,Provinciaal Museum voor Moderne Kunst,provinciaal museum voor moderne kunst,Museum,Q31,Belgium,51.22583333,2.91472222
act_Q1257060,act_Q1272929,Q1272929,Despić House,despić house,Museum,Q225,Bosnia and Herzegovina,43.857577777,18.427352777
act_Q1339422,act_Q1339422,Q1339422,IKOB International Art Centre East Belgium,ikob international art centre east belgium,Museum,Q31,Belgium,50.626,6.0302
act_Q1014126,act_Q1014126,Q1014126,Het Steen,het steen,Museum,Q31,Belgium,51.222778,4.3975
act_Q11044187,act_Q1378149,Q1378149,Sint-Salvatorskathedraal,sint-salvatorskathedraal,Museum,Q31,Belgium,51.205500909,3.221590802
act_Q11044187,act_Q917183,Q917183,Church of Our Lady,church of our lady,Museum,Q31,Belgium,51.204648,3.22447
act_Q1257060,act_Q1257060,Q1257060,Old Synagogue in Sarajevo,old synagogue in sarajevo,Museum,Q225,Bosnia and Herzegovina,43.8597298,18.4278139
act_Q1170767,act_Q980285,Q980285,STAM Ghent City Museum,stam ghent city museum,Museum,Q31,Belgium,51.04361,3.71722
act_Q931577,act_Q931577,Q931577,"Franciscan friary and church of St John the Baptist, Kraljeva Sutjeska",franciscan friary and church of st john the baptist kraljeva sutjeska,Museum,Q225,Bosnia and Herzegovina,44.122416666,18.20255
act_Q1013562,act_Q1013562,Q1013562,Château de Raeren,château de raeren,Museum,Q31,Belgium,50.67861111,6.12069444
act_Q847038,act_Q847038,Q847038,National Mint of Bolivia,national mint of bolivia,Museum,Q750,Bolivia,-19.58861111,-65.75416667
act_Q1347093,act_Q1347093,Q1347093,Kasteel van Laarne,kasteel van laarne,Museum,Q31,Belgium,51.027778,3.838889
act_Q1400323,act_Q1400323,Q1400323,Sarajevo Tunnel,sarajevo tunnel,Museum,Q225,Bosnia and Herzegovina,43.819722222,18.337222222
act_Q1170767,act_Q1170767,Q1170767,Saint Peter's Abbey,saint peter's abbey,Museum,Q31,Belgium,51.042222,3.726944
act_Q871088,act_Q871088,Q871088,Fourneau Saint-Michel,fourneau saint-michel,Museum,Q31,Belgium,50.089236,5.335192
act_Q1140249,act_Q1140249,Q1140249,Temple of Debod,temple of debod,Museum,Q79,Egypt,40.424052777,-3.717777777
act_Q11044187,act_Q1108949,Q1108949,Gruuthusemuseum,gruuthusemuseum,Museum,Q31,Belgium,51.20528,3.22472
act_Q1860762,act_Q1860762,Q1860762,Paul Delvaux museum,paul delvaux museum,Museum,Q31,Belgium,51.105833333,2.610277777
act_Q1383061,act_Q1928672,Q1928672,Mu.ZEE - Kunstmuseum aan Zee,muzee - kunstmuseum aan zee,Museum,Q31,Belgium,51.22561,2.91456
act_Q1383061,act_Q1679876,Q1679876,Ensor House,ensor house,Museum,Q31,Belgium,51.23318,2.91612
act_Q1813470,act_Q1813470,Q1813470,Baugnez 44 Historical Center,baugnez 44 historical center,Museum,Q31,Belgium,50.4032,6.0661
act_Q1870031,act_Q1870031,Q1870031,The House of the giants,the house of the giants,Museum,Q31,Belgium,50.62978,3.77478
act_Q1708620,act_Q1708620,Q1708620,Yser Tower,yser tower,Museum,Q31,Belgium,51.03165,2.85214
act_Q1014126,act_Q1699233,Q1699233,Museum Mayer van den Bergh,museum mayer van den bergh,Museum,Q31,Belgium,51.215517,4.405316
act_Q1812082,act_Q1812082,Q1812082,Centrum Ronde van Vlaanderen,centrum ronde van vlaanderen,Museum,Q31,Belgium,50.842180555,3.603261111
act_Q1014126,act_Q1852686,Q1852686,Stedelijk Prentenkabinet,stedelijk prentenkabinet,Museum,Q31,Belgium,51.2183,4.39816
act_Q1862121,act_Q1862121,Q1862121,Het Stadsmus,het stadsmus,Museum,Q31,Belgium,50.929917,5.34201
act_Q1014126,act_Q1646305,Q1646305,Museum aan de Stroom,museum aan de stroom,Museum,Q31,Belgium,51.2289208,4.404667
act_Q1652213,act_Q1652213,Q1652213,Kasteel van Horst,kasteel van horst,Museum,Q31,Belgium,50.933544,4.832172
act_Q1547331,act_Q1547331,Q1547331,Musée Hergé,musée hergé,Museum,Q31,Belgium,50.66777,4.6116
act_Q1840613,act_Q1840613,Q1840613,musée d'Histoire et des Arts décoratifs de Tournai,musée d'histoire et des arts décoratifs de tournai,Museum,Q31,Belgium,,
act_Q1170767,act_Q1954425,Q1954425,Museum Dhondt-Dhaenens,museum dhondt-dhaenens,Museum,Q31,Belgium,51.010168,3.598223
act_Q1871680,act_Q1871680,Q1871680,Sanctuary Wood Hill 62,sanctuary wood hill 62,Museum,Q31,Belgium,50.836737,2.946044
act_Q1888920,act_Q1888920,Q1888920,Verbeke Foundation,verbeke foundation,Museum,Q31,Belgium,51.2276,4.05435
act_Q18088805,act_Q1811200,Q1811200,béguinage of Courtrai,béguinage of courtrai,Museum,Q31,Belgium,50.828426,3.267823
act_Q1905413,act_Q1905413,Q1905413,Curiosamuseum,curiosamuseum,Museum,Q31,Belgium,50.84237,3.23371
act_Q15868280,act_Q1917212,Q1917212,Museum Ons Mijnverleden,museum ons mijnverleden,Museum,Q31,Belgium,51.027109,5.396622
act_Q1836295,act_Q1836295,Q1836295,Stedelijk Museum Wuyts-Van Campen en baron Caroly,stedelijk museum wuyts-van campen en baron caroly,Museum,Q31,Belgium,51.131527777,4.567972222
act_Q1753166,act_Q1753166,Q1753166,Kasteel Wijnendale,kasteel wijnendale,Museum,Q31,Belgium,51.078954,3.059451
act_Q1920236,act_Q1920236,Q1920236,Victory Memorial Museum,victory memorial museum,Museum,Q31,Belgium,49.64306,5.82722
act_Q1257060,act_Q1621007,Q1621007,Historical Museum of Bosnia and Herzegovina,historical museum of bosnia and herzegovina,Museum,Q225,Bosnia and Herzegovina,43.855033333,18.400819444
act_Q1815516,act_Q1815516,Q1815516,maison Tournaisienne,maison tournaisienne,Museum,Q31,Belgium,50.60505,3.386425
act_Q13142168,act_Q1784177,Q1784177,Coptic Museum,coptic museum,Museum,Q79,Egypt,30.005916666,31.230666666
act_Q11044187,act_Q1820262,Q1820262,Poortersloge,poortersloge,Museum,Q31,Belgium,51.21142,3.22537
act_Q1170767,act_Q1967578,Q1967578,Kina,kina,Museum,Q31,Belgium,51.04184,3.72645
act_Q1170767,act_Q2032787,Q2032787,Q2032787,q2032787,Museum,Q31,Belgium,51.051597,3.721308
act_Q2014815,act_Q2014815,Q2014815,Provinciaal Archeologisch Museum Velzeke,provinciaal archeologisch museum velzeke,Museum,Q31,Belgium,50.884896,3.778546
act_Q2050433,act_Q2050433,Q2050433,Klompenmuseum,klompenmuseum,Museum,Q31,Belgium,51.037266,4.971878
act_Q15873804,act_Q2123638,Q2123638,Kazerne Dossin – Memorial,kazerne dossin memorial,Museum,Q31,Belgium,51.0341,4.4785
act_Q1976643,act_Q1980365,Q1980365,Heemkundig Museum Heppen,heemkundig museum heppen,Museum,Q31,Belgium,51.107417,5.229848
act_Q1014126,act_Q2120558,Q2120558,Dagbladmuseum,dagbladmuseum,Museum,Q31,Belgium,51.21772,4.40096
act_Q2022465,act_Q2022465,Q2022465,John Selbach Museum,john selbach museum,Museum,Q31,Belgium,,
act_Q17354571,act_Q2009311,Q2009311,Museum voor dierkunde ULB Auguste Lameere,museum voor dierkunde ulb auguste lameere,Museum,Q31,Belgium,50.81167,4.38278
act_Q2027709,act_Q2027709,Q2027709,De Oude Kaasmakerij,de oude kaasmakerij,Museum,Q31,Belgium,50.892966,2.985719
act_Q11044187,act_Q2015143,Q2015143,Diamantmuseum Brugge,diamantmuseum brugge,Museum,Q31,Belgium,51.20271,3.22596
act_Q1960574,act_Q1960574,Q1960574,Museactron,museactron,Museum,Q31,Belgium,,
act_Q1991768,act_Q1991768,Q1991768,Moerenpoort,moerenpoort,Museum,Q31,Belgium,50.77917,5.47167
act_Q2008724,act_Q2008724,Q2008724,Sint-Paulus Scoutsmuseum,sint-paulus scoutsmuseum,Museum,Q31,Belgium,,
act_Q1383061,act_Q2021483,Q2021483,Oostends Historisch Museum De Plate,oostends historisch museum de plate,Museum,Q31,Belgium,51.23376,2.91869
act_Q1976643,act_Q1976643,Q1976643,Mijnmuseum,mijnmuseum,Museum,Q31,Belgium,51.071111,5.221667
act_Q1997471,act_Q1997471,Q1997471,Hidrodoe,hidrodoe,Museum,Q31,Belgium,51.192375,4.814644
act_Q2039724,act_Q2039724,Q2039724,Mijn Koningshuis,mijn koningshuis,Museum,Q31,Belgium,51.1248,5.25668
act_Q2032657,act_Q2032657,Q2032657,Riekend Rustpunt,riekend rustpunt,Museum,Q31,Belgium,51.01857,3.98149
act_Q1571184,act_Q2025604,Q2025604,Kasteel de Marnix de Sainte Aldegonde,kasteel de marnix de sainte aldegonde,Museum,Q31,Belgium,51.102861,4.216861
act_Q1976221,act_Q1976221,Q1976221,Royal Museum of Mariemont,royal museum of mariemont,Museum,Q31,Belgium,50.4677,4.23276
act_Q18350783,act_Q1955717,Q1955717,Museum of Photography in Charleroi,museum of photography in charleroi,Museum,Q31,Belgium,50.388055555,4.405833333
act_Q1170767,act_Q2248967,Q2248967,De School van Toen,de school van toen,Museum,Q31,Belgium,51.05585,3.71712
act_Q2014815,act_Q2114070,Q2114070,Provinciaal Archeologisch Museum  Ename,provinciaal archeologisch museum ename,Museum,Q31,Belgium,50.854848,3.63288
act_Q11144095,act_Q2111885,Q2111885,Musée du Houblon Poperinge,musée du houblon poperinge,Museum,Q31,Belgium,50.855188,2.722397
act_Q11044187,act_Q2185798,Q2185798,Kantcentrum,kantcentrum,Museum,Q31,Belgium,51.21232,3.23383
act_Q2241822,act_Q2241822,Q2241822,Openluchtmuseum Bachten de Kupe,openluchtmuseum bachten de kupe,Museum,Q31,Belgium,50.993192,2.655131
act_Q2113946,act_Q2113946,Q2113946,Maison de la Métallurgie et de l'Industrie de Liège,maison de la métallurgie et de l'industrie de liège,Museum,Q31,Belgium,,
act_Q2084141,act_Q2084141,Q2084141,Drongengoedhoeve,drongengoedhoeve,Museum,Q31,Belgium,51.14789,3.46185
act_Q2188694,act_Q2188694,Q2188694,Museum François Duesberg,museum françois duesberg,Museum,Q31,Belgium,50.453738,3.945158
act_Q2088205,act_Q2088205,Q2088205,Taxandria Museum,taxandria museum,Museum,Q31,Belgium,51.325463,4.947726
act_Q17354571,act_Q2204914,Q2204914,Museum of old techniques,museum of old techniques,Museum,Q31,Belgium,50.9275,4.3712
act_Q2190196,act_Q2190196,Q2190196,Museum Vergane Glorie,museum vergane glorie,Museum,Q31,Belgium,,
act_Q2210016,act_Q2210016,Q2210016,Canada Poland War II Museum,canada poland war ii museum,Museum,Q31,Belgium,51.189001,3.500067
act_Q1014126,act_Q2149205,Q2149205,Vlaams Tram- en Autobusmuseum,vlaams tram- en autobusmuseum,Museum,Q31,Belgium,51.19944,4.44
act_Q11044187,act_Q2105764,Q2105764,Gentpoort,gentpoort,Museum,Q31,Belgium,51.20278,3.23444
act_Q2228477,act_Q2228477,Q2228477,Woutershof,woutershof,Museum,Q31,Belgium,,
act_Q1888920,act_Q2237289,Q2237289,Salons voor Schone Kunsten,salons voor schone kunsten,Museum,Q31,Belgium,51.168142,4.142325
act_Q2108462,act_Q2108462,Q2108462,Zilvermuseum Sterckshof,zilvermuseum sterckshof,Museum,Q31,Belgium,51.21498,4.4628
act_Q2117704,act_Q2117704,Q2117704,Molenmuseum,molenmuseum,Museum,Q31,Belgium,,
act_Q16764241,act_Q2216083,Q2216083,Archéoforum,archéoforum,Museum,Q31,Belgium,50.64545,5.573
act_Q2107539,act_Q2107539,Q2107539,Gasthuismuseum,gasthuismuseum,Museum,Q31,Belgium,,
act_Q2098971,act_Q2098971,Q2098971,Bocholter Brouwerijmuseum,bocholter brouwerijmuseum,Museum,Q31,Belgium,51.172166666,5.580027777
act_Q2161432,act_Q2161432,Q2161432,Regionaal Archeologisch Museum van de Schelde,regionaal archeologisch museum van de schelde,Museum,Q31,Belgium,50.787244,3.485223
act_Q2215257,act_Q2215257,Q2215257,NAVIGO fishing museum Oostduinkerke,navigo fishing museum oostduinkerke,Museum,Q31,Belgium,,
act_Q16764241,act_Q2099610,Q2099610,Museum of Walloon Life,museum of walloon life,Museum,Q31,Belgium,50.64712,5.57595
act_Q2181689,act_Q2181689,Q2181689,Kruiersmuseum,kruiersmuseum,Museum,Q31,Belgium,,
act_Q2186095,act_Q2186095,Q2186095,Het Toreke,het toreke,Museum,Q31,Belgium,50.808714,4.936444
act_Q2148163,act_Q2148163,Q2148163,Fondation Folon,fondation folon,Museum,Q31,Belgium,50.73225,4.4581
act_Q11044187,act_Q2432540,Q2432540,Sint-Janshospitaal,sint-janshospitaal,Museum,Q31,Belgium,51.203892,3.22284
act_Q17354571,act_Q2257001,Q2257001,Volkssterrenwacht Mira,volkssterrenwacht mira,Museum,Q31,Belgium,50.934722,4.369167
act_Q2384633,act_Q2384633,Q2384633,Timmermans-Opsomerhuis,timmermans-opsomerhuis,Museum,Q31,Belgium,,
act_Q2253247,act_Q2401304,Q2401304,Musée provincial des Arts anciens,musée provincial des arts anciens,Museum,Q31,Belgium,50.46551,4.86529
act_Q2253247,act_Q2253247,Q2253247,Musée Archéologique de Namur,musée archéologique de namur,Museum,Q31,Belgium,50.46223,4.86809
act_Q13142168,act_Q2399429,Q2399429,Boulaq Museum,boulaq museum,Museum,Q79,Egypt,30.0545,31.2305
act_Q1170767,act_Q2358158,Q2358158,Huis van Alijn,huis van alijn,Museum,Q31,Belgium,51.057506,3.723497
act_Q2341403,act_Q2341403,Q2341403,Imhotep Museum,imhotep museum,Museum,Q79,Egypt,29.8697,31.2164
act_Q2274372,act_Q2274372,Q2274372,Kemmel command bunker,kemmel command bunker,Museum,Q31,Belgium,50.775959293,2.816602988
act_Q2306758,act_Q2306758,Q2306758,Sincfala Museum van de Zwinstreek,sincfala museum van de zwinstreek,Museum,Q31,Belgium,51.337513,3.245307
act_Q2389049,act_Q2389049,Q2389049,Abdijbiermuseum,abdijbiermuseum,Museum,Q31,Belgium,,
act_Q1888920,act_Q2397158,Q2397158,MAP - Mercator,map - mercator,Museum,Q31,Belgium,51.167609,4.144811
act_Q1170767,act_Q2324404,Q2324404,Museum van de Zusters van Liefde van Jezus en Maria,museum van de zusters van liefde van jezus en maria,Museum,Q31,Belgium,51.06409,3.71841
act_Q2375179,act_Q2375179,Q2375179,Museum voor Moderne Religieuze Kunst,museum voor moderne religieuze kunst,Museum,Q31,Belgium,,
act_Q2354677,act_Q2354677,Q2354677,International Museum of Nubia,international museum of nubia,Museum,Q79,Egypt,24.079576,32.889311
act_Q2340507,act_Q2340507,Q2340507,Sint-Niklaaskerk,sint-niklaaskerk,Museum,Q31,Belgium,50.850278,2.881111
act_Q18286329,act_Q2470761,Q2470761,Brouwerij Slaghmuylder,brouwerij slaghmuylder,Museum,Q31,Belgium,50.841324,4.021451
act_Q1014126,act_Q2317183,Q2317183,Diamantmuseum,diamantmuseum,Museum,Q31,Belgium,51.221185734,4.39857418
act_Q2312320,act_Q2312320,Q2312320,Huis de Lalaing,huis de lalaing,Museum,Q31,Belgium,,
act_Q11044187,act_Q2441211,Q2441211,Belfry of Bruges,belfry of bruges,Museum,Q31,Belgium,51.207984,3.225295
act_Q1871680,act_Q2287744,Q2287744,Museum Godshuis Belle,museum godshuis belle,Museum,Q31,Belgium,50.84958,2.88583
act_Q1170767,act_Q2259810,Q2259810,Kunsthal Sint-Pietersabdij,kunsthal sint-pietersabdij,Museum,Q31,Belgium,51.042131,3.727058
act_Q2253140,act_Q2253140,Q2253140,Hulsterhofke,hulsterhofke,Museum,Q31,Belgium,,
act_Q2595341,act_Q2595341,Q2595341,Jakob Smitsmuseum,jakob smitsmuseum,Museum,Q31,Belgium,51.209078,5.123726
act_Q2611559,act_Q2611559,Q2611559,Stadsmuseum 't Schippershof,stadsmuseum 't schippershof,Museum,Q31,Belgium,50.792804,3.123118
act_Q1014126,act_Q2662909,Q2662909,Snijders&Rockox House,snijdersrockox house,Museum,Q31,Belgium,51.221728,4.40608
act_Q2515657,act_Q2515657,Q2515657,Göhltalmuseum,göhltalmuseum,Museum,Q31,Belgium,50.71518,6.01768
