unique_id,destination_id,name_clean,name,entity_type,parent_id,parent_name,lat,lon
dest_Q22931546,Q22931546,first montaza district,First Montaza district,Neighborhood,Q87,Alexandria,31.256333333333,29.992194444444
dest_Q16126094,Q16126094,el-awaid alexandria,"El-Awaid, Alexandria",Neighborhood,Q87,Alexandria,31.219222222222,29.993833333333
dest_Q16121570,Q16121570,sidi krir,Sidi Krir,Neighborhood,Q87,Alexandria,31.016166666667,29.637611111111
dest_Q12209613,Q12209613,eastern district alexandria,"Eastern district, Alexandria",Neighborhood,Q87,Alexandria,31.223722222222,29.941611111111
dest_Q12212724,Q12212724,ras el-tin,Ras el-Tin,Neighborhood,Q87,Alexandria,31.204472222222,29.876027777778
dest_Q4518645,Q4518645,kafr abdu,Kafr Abdu,Neighborhood,Q87,Alexandria,31.2249,29.9546
dest_Q4518873,Q4518873,moharam bek,Moharam Bek,Neighborhood,Q87,Alexandria,31.191444444444,29.912972222222
dest_Q4518953,Q4518953,soyof,Soyof,Neighborhood,Q87,Alexandria,31.240944444444,29.992416666667
dest_Q4518507,Q4518507,shatby,Shatby,Neighborhood,Q87,Alexandria,31.2108,29.9138
dest_Q4873416,Q4873416,baucalis,Baucalis,Neighborhood,Q87,Alexandria,,
dest_Q12189864,Q12189864,al dhahriya,AL Dhahriya,Neighborhood,Q87,Alexandria,31.229027777778,29.965277777778
dest_Q110905518,Q110905518,q110905518,Q110905518,Neighborhood,Q87,Alexandria,31.077972222222,29.734805555556
dest_Q16120959,Q16120959,al hadrah al gadeda,Al Hadrah Al Gadeda,Neighborhood,Q87,Alexandria,,
dest_Q4518983,Q4518983,sidi bishr,Sidi Bishr,Neighborhood,Q87,Alexandria,31.256583333333,29.992638888889
dest_Q124014067,Q124014067,second montaza district,Second Montaza district,Neighborhood,Q87,Alexandria,31.322083333333,30.064027777778
dest_Q12245564,Q12245564,q12245564,Q12245564,Neighborhood,Q87,Alexandria,,
dest_Q4518509,Q4518509,mahatet el raml,Mahatet El Raml,Neighborhood,Q87,Alexandria,31.2015,29.901
dest_Q16124827,Q16124827,tusun,Tusun,Neighborhood,Q87,Alexandria,31.300472222222,30.061638888889
dest_Q5303330,Q5303330,central district alexandria,"Central district, Alexandria",Neighborhood,Q87,Alexandria,31.203444444444,29.906916666667
dest_Q115765914,Q115765914,q115765914,Q115765914,Neighborhood,Q87,Alexandria,31.334333333333,30.049472222222
dest_Q4803317,Q4803317,asafra,Asafra,Neighborhood,Q87,Alexandria,31.270361111111,30.005555555556
dest_Q2177676,Q2177676,semoha,Semoha,Neighborhood,Q87,Alexandria,31.2183,29.9437
dest_Q325180,Q325180,lemiers,Lemiers,City,Q1017,Aachen,50.7867,5.9917
dest_Q4518631,Q4518631,el max,El Max,Neighborhood,Q87,Alexandria,31.1638,29.8632
dest_Q25455056,Q25455056,first amreya district,First Amreya district,Neighborhood,Q87,Alexandria,31.010416666667,29.806083333333
dest_Q43257212,Q43257212,el agami district,El Agami district,Neighborhood,Q87,Alexandria,31.11625,29.796777777778
dest_Q2177667,Q2177667,azarita,Azarita,Neighborhood,Q87,Alexandria,31.20475,29.906416666667
dest_Q7926541,Q7926541,victoria,Victoria,Neighborhood,Q87,Alexandria,31.2486,29.9697
dest_Q111974597,Q111974597,al bitash,Al Bitash,Neighborhood,Q87,Alexandria,31.120944444444,29.786666666667
dest_Q124459841,Q124459841,q124459841,Q124459841,Neighborhood,Q87,Alexandria,31.2175,29.931611111111
dest_Q6751724,Q6751724,mansheya,Mansheya,Neighborhood,Q87,Alexandria,31.1978,29.8936
dest_Q12189311,Q12189311,q12189311,Q12189311,Neighborhood,Q87,Alexandria,31.234527777778,29.974333333333
dest_Q6872745,Q6872745,q6872745,Q6872745,Neighborhood,Q87,Alexandria,31.2175,29.924805555556
dest_Q6827256,Q6827256,miami alexandria,Miami (Alexandria),Neighborhood,Q87,Alexandria,31.264277777778,29.996194444444
dest_Q106095757,Q106095757,q106095757,Q106095757,Neighborhood,Q87,Alexandria,,
dest_Q25455058,Q25455058,second amreya district,Second Amreya district,Neighborhood,Q87,Alexandria,31.010611111111,29.797972222222
dest_Q13141224,Q13141224,ibrahemeya,Ibrahemeya,Neighborhood,Q87,Alexandria,31.215077,29.92743
dest_Q12236288,Q12236288,q12236288,Q12236288,Neighborhood,Q87,Alexandria,31.008416666667,29.7595
dest_Q92225704,Q92225704,q92225704,Q92225704,Neighborhood,Q87,Alexandria,31.174111111111,29.897166666667
dest_Q4519109,Q4519109,el maamora,El Maamora,Neighborhood,Q87,Alexandria,31.2879,30.0325
dest_Q12193879,Q12193879,q12193879,Q12193879,City,Q87,Alexandria,31.249722222222,30.016388888889
dest_Q62118360,Q62118360,in den heimgärten,In den Heimgärten,Neighborhood,Q1017,Aachen,50.763719444444,6.0995805555556
dest_Q4518932,Q4518932,el mandara,El Mandara,Neighborhood,Q87,Alexandria,31.276416666667,30.011277777778
dest_Q4518634,Q4518634,el saraya,El Saraya,Neighborhood,Q87,Alexandria,31.2504,29.9753
dest_Q115766554,Q115766554,q115766554,Q115766554,Neighborhood,Q87,Alexandria,31.171694444444,29.926083333333
dest_Q12236559,Q12236559,kom el-dikka,Kom El-Dikka,Neighborhood,Q87,Alexandria,31.194612,29.904097
dest_Q139773,Q139773,abu qir,Abu Qir,Neighborhood,Q87,Alexandria,31.316666666667,30.066666666667
dest_Q7579542,Q7579542,sporting,Sporting,Neighborhood,Q87,Alexandria,31.2178,29.9322
dest_Q12209659,Q12209659,western district alexandria,"Western district, Alexandria",Neighborhood,Q87,Alexandria,31.1855,29.890194444444
dest_Q4519131,Q4519131,el gomrok,El Gomrok,Neighborhood,Q87,Alexandria,31.210416666667,29.881888888889
dest_Q20379397,Q20379397,rigillis,Rigillis,Neighborhood,Q1524,Athens,37.9732,23.74152
dest_Q2336958,Q2336958,nea filothei,Nea Filothei,Neighborhood,Q1524,Athens,37.997222222222,23.761666666667
dest_Q16930908,Q16930908,naranpura,Naranpura,Neighborhood,Q1070,Ahmedabad,23.056555,72.550818
dest_Q16327851,Q16327851,vathi,Vathi,Neighborhood,Q1524,Athens,37.987153,23.726545
dest_Q18434849,Q18434849,saadiyat beach,Saadiyat Beach,Neighborhood,Q1519,Abu Dhabi,24.5438,54.4388
dest_Q4705789,Q4705789,alam roza,Alam Roza,Neighborhood,Q1070,Ahmedabad,22.994151,72.589361
