destination_wikidata_id,destination_name,osm_id,osm_type,accommodation_name,accommodation_type,star_rating,rooms,lat,lon
Q1017,Aachen,23660843,node,DJH Jugendherberge Simmerath-Rurberg für Natur- und Abenteuersport,hostel,4.1,46,50.6123474,6.3702654
Q1017,Aachen,41830733,node,Hotel Julia,hotel,2.8,285,50.9802157,6.2702255
Q1017,Aachen,60696041,node,Vlinderhöfke,hotel,4.4,151,50.7947542,5.7667233
Q1017,Aachen,75247306,node,Zum alten Schlagbaum,hotel,3.8,150,51.1294362,6.3214283
Q1017,Aachen,94614303,node,Hotel Esser,hotel,3,22,51.1299771,6.3311522
Q1017,Aachen,107357241,node,Centre Cycliste Remouchamps,guest_house,1.4,47,50.48316,5.7427131
Q1017,Aachen,134556736,node,Hotel Montana,hotel,4.9,33,51.1506434,6.4579146
Q1017,Aachen,134740608,node,Hotel-Restaurant Lindenhof,hotel,4.0,137,51.2054284,6.3416664
Q1017,Aachen,134753235,node,Hotel-Restaurant Kastanienhof,hotel,4.1,275,51.2298073,6.4885378
Q1017,Aachen,134779487,node,Hotel Rheydter Residenz,hotel,1.5,115,51.1643907,6.4526207
Q1017,Aachen,159074020,node,Hotel-Restaurant Rosenmeer,hotel,2.8,21,51.208554,6.4333627
Q1017,Aachen,205158921,node,Hotel Walram,hotel,2.5,121,50.863403,5.8348133
Q1017,Aachen,220887103,node,Hotel am Hexenturm,hotel,4.7,140,50.9207078,6.3561725
Q1017,Aachen,248469780,node,La Trouvaille,guest_house,3.6,62,50.3933933,6.0914094
Q1017,Aachen,252362322,node,De Burghoeve,hotel,4.3,182,50.8716205,5.8158281
Q1017,Aachen,252369692,node,Dionysos,hotel,2.8,132,50.8625648,5.8293405
Q1017,Aachen,257319828,node,De Geulvallei,hotel,1.9,292,50.8703162,5.7918981
Q1017,Aachen,257922194,node,Hotel am Park,hotel,3,10,51.0497372,6.2250731
Q1017,Aachen,259862720,node,Bungalowpark Landsrade,chalet,3.2,79,50.7838059,5.8852542
Q1017,Aachen,262626846,node,Parkhotel,hotel,1.3,250,51.1609106,6.4429266
Q1017,Aachen,263863410,node,Hermes Appartementen,hotel,4.3,299,50.8574189,5.811483
Q1017,Aachen,267222358,node,Palazzo Hotel,hotel,3.5,294,51.2000436,6.4498785
Q1017,Aachen,270051558,node,hotel friends Hückelhoven,hotel,4.0,58,51.0549423,6.2270428
Q1017,Aachen,275435586,node,NFH Ferien-Wanderheim Obermaubach,hostel,2.4,19,50.7108104,6.4351044
Q1017,Aachen,276383582,node,Hotel Botterweck,hotel,4.9,230,50.8641781,5.8324827
Q1017,Aachen,276384071,node,Dormio Wijnhotel Valkenburg,hotel,4.6,270,50.8690796,5.8322214
Q1017,Aachen,276384481,node,Hotel Courage,hotel,4.1,298,50.8639927,5.8318419
Q1017,Aachen,279786599,node,Hotel am See,hotel,1.8,38,50.7173672,6.4464847
Q1017,Aachen,281127607,node,Hotel Heidehaus,hotel,2.9,69,51.1737566,6.285387
Q1017,Aachen,281327971,node,Bauernhofpension Marga Hülsen,guest_house,1.2,135,51.1288332,6.3308142
Q1017,Aachen,281334353,node,Pension Zum Thomeshof,guest_house,1.6,76,51.1691792,6.2744925
Q1017,Aachen,286355652,node,De Perelaar,guest_house,3.7,88,50.7856663,5.7681838
Q1017,Aachen,286874174,node,Gut Kallerbend,chalet,4.0,59,50.6970572,6.4585855
Q1017,Aachen,293760898,node,Baden-Powell Haus,hostel,4.9,253,51.1571788,6.4912332
Q1017,Aachen,331418790,node,Hotel-Restaurant Schmitz-Hülser,hotel,2.3,66,51.220223,6.3660845
Q1017,Aachen,333105763,node,Freizeitfreunden Rurtal e.V.,camp_site,2.5,192,50.7275666,6.4648354
Q1017,Aachen,334227950,node,Stadthotel,hotel,2.9,288,50.9224605,6.3587172
Q1017,Aachen,335109122,node,Hotel Select,hotel,1.8,66,51.1949807,6.4294645
Q1017,Aachen,343162543,node,Klein,hotel,1.5,148,50.9107694,6.1908346
Q1017,Aachen,349010782,node,Novum Hotel Freiraum,hotel,2.9,224,51.1510365,6.421767
Q1017,Aachen,349014510,node,Bauernhof-Pension Rademacher,hotel,1.9,207,51.1849739,6.369074
Q1017,Aachen,349015195,node,Gasthof Loers,hotel,3.7,11,51.2032084,6.3879474
Q1017,Aachen,349042666,node,Haus Caspers,hotel,2.7,215,51.1901118,6.426199
Q1017,Aachen,349044516,node,Heidehaus,hotel,4.3,205,51.2092677,6.4230881
Q1017,Aachen,349050315,node,Buchenhof,hotel,3.8,77,51.1941097,6.4652398
Q1017,Aachen,349056330,node,Hotel-Restaurant Schürings,hotel,2.2,122,51.1842594,6.4049287
Q1017,Aachen,349060381,node,Gästehaus Schieben-Gaden,guest_house,4.3,119,51.1687825,6.4321896
Q1017,Aachen,349062697,node,Fair Hotel,hotel,4.2,71,51.1968219,6.4435251
Q1017,Aachen,349068992,node,Hotel Burgund,hotel,2.5,216,51.1983377,6.4398692
Q1017,Aachen,349068995,node,Hotel Garni Gladbacher Hof,hotel,2.2,42,51.1981065,6.445469
Q1017,Aachen,349070077,node,Hotel Garni Haus Kaiser,hotel,3,14,51.1481913,6.4416046
Q1017,Aachen,349076989,node,Hotel Garni Kasteel-Scholl,hotel,3.7,15,51.2053372,6.3419428
Q1017,Aachen,349079496,node,T3 Hotel Cityloft,hotel,1.6,108,51.1653077,6.4336553
Q1017,Aachen,349096810,node,Appartement-Hotel Alt Ruhrfeld,hotel,1.8,158,51.1367746,6.4462933
Q1017,Aachen,349099963,node,Hotel-Restaurant Anchovis,hotel,1.0,239,51.222646,6.47583
Q1017,Aachen,352681549,node,Landhotel Lindenhof,hotel,4.1,243,51.07063,6.5669119
Q1017,Aachen,385282594,node,Berghoeve,hotel,3.7,133,50.7754773,5.905896
Q1017,Aachen,387255662,node,Hotel-Restaurant Rath,hotel,3.8,284,51.2139236,6.2721867
Q1017,Aachen,387374434,node,InTakt,hotel,4.1,126,50.983075,6.5739554
Q1017,Aachen,393141205,node,Wohnlust Boarding Rooms,guest_house,2.8,152,50.9163651,6.3583067
Q1017,Aachen,401877262,node,Zum Fehling,hotel,3.3,90,50.9257393,6.3991254
Q1017,Aachen,413008333,node,Hotel Opdeboud,hotel,1.6,274,50.8720965,5.8262498
Q1017,Aachen,413037453,node,Atlas,hotel,1.5,163,50.8675046,5.8329393
Q1017,Aachen,419749140,node,Hotel St. Andreas,hotel,3.7,30,51.1862777,6.5085928
Q1017,Aachen,420063502,node,Château St. Gerlach,hotel,2.9,211,50.8698929,5.7984265
Q1017,Aachen,429792281,node,Pauline85,apartment,3.3,3,50.8155105,6.1171514
Q1017,Aachen,440329950,node,Alte Post,hotel,4.1,132,50.9228286,6.3589394
Q1017,Aachen,440763788,node,La Gervava A.N.,guest_house,3.5,75,50.4896459,5.7595273
Q1017,Aachen,441701465,node,Hotel-Restaurant Crasborn,hotel,3.2,56,51.1610824,5.8424887
Q1017,Aachen,441701466,node,Hotel-Restaurant La Ville Blanche,hotel,3.2,130,51.1609844,5.8427949
Q1017,Aachen,462039231,node,Hotel in Baesweiler,hotel,2.2,197,50.9106265,6.1788064
Q1017,Aachen,476646999,node,Bastion Hotel Maastricht Centrum,hotel,4,57,50.8552184,5.6902329
Q1017,Aachen,477590728,node,Kurzzeit- /Ferienwohnungen Lamberts,apartment,1.1,206,50.843204,6.1343797
Q1017,Aachen,480117452,node,Hotel Christophorus,hotel,2.7,213,50.7504295,6.4868996
Q1017,Aachen,499991506,node,Hotel Perlenau,hotel,1.9,65,50.5424722,6.2397433
Q1017,Aachen,506084584,node,Kies,guest_house,2.6,166,50.7216514,5.8552882
Q1017,Aachen,508572030,node,Hoeve de Plei,hotel,4.4,250,50.7949094,5.9185101
Q1017,Aachen,508572052,node,Hotel Brull,hotel,1.9,243,50.7949424,5.9217047
Q1017,Aachen,508584636,node,Hof van Kleeberg,guest_house,1.2,229,50.7899465,5.9279366
Q1017,Aachen,524094923,node,Wippelsdaal,hotel,2.1,111,50.8302518,5.8148618
Q1017,Aachen,526149785,node,Haus Mühlbach,hotel,2.2,151,50.6706352,6.4781731
Q1017,Aachen,526682550,node,Pension Rosenzweig,guest_house,3.6,52,50.6708743,6.4782841
Q1017,Aachen,549268454,node,Burg Hausen,hotel,3.2,33,50.6520094,6.4936931
Q1017,Aachen,549268458,node,Restaurant Haus Rurtal,hotel,4.1,97,50.6525872,6.4934408
Q1017,Aachen,551639187,node,Schuikerschuur,guest_house,3.7,184,51.1639863,5.8021685
Q1017,Aachen,567491602,node,Hotel Kasteel Bloemendal,hotel,2.6,226,50.7728102,6.0130928
Q1017,Aachen,573581645,node,City Hotel,hotel,3,277,50.9618711,6.1240736
Q1017,Aachen,588656870,node,Armati,hotel,4.3,194,50.8623302,6.0237876
Q1017,Aachen,600437557,node,Hansa Haus,hotel,1.7,46,50.7770446,6.1463175
Q1017,Aachen,605237779,node,Au Lion d'Or,hotel,1.1,45,50.847366,5.701518
Q1017,Aachen,616356700,node,Zur Schlossmauer,motel,1.4,225,50.9469,6.3401448
Q1017,Aachen,619299077,node,Pension Müller - Zum alten Rathaus,guest_house,3.9,289,50.5743581,6.4970161
Q1017,Aachen,619348260,node,GUT finden WOLFGARTEN,chalet,2.8,194,50.5925483,6.4957867
Q1017,Aachen,625880756,node,Hotel am Park,hotel,1.6,120,51.2667232,6.5473846
Q1017,Aachen,641730703,node,Landhotel Classhof,hotel,3.0,129,51.2737367,6.5215822
Q1017,Aachen,648891029,node,Sporthotel Landgraaf,hotel,4,100,50.8741238,6.0198543
Q1017,Aachen,656473056,node,Gästehaus Räck,hotel,1.6,206,51.2673523,6.5545546
Q1017,Aachen,665142299,node,Oranje Hotel,hotel,3.8,33,51.1931239,5.992467
Q1017,Aachen,670283283,node,City Apartments Regence,hotel,4,133,50.7784072,6.092218
Q1017,Aachen,705551834,node,La Maison d'Amis,guest_house,2.8,27,50.6564782,5.9299071
Q1017,Aachen,713884691,node,Chalet Les-Gattes,chalet,2.5,104,50.3406128,5.9614294
