festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q60969574,Kënga Magjike 2017,festival occurrence,Q222,Albania,2017-12-06T00:00:00Z,2017-12-09T00:00:00Z,
Q97244429,Q97244429,festival occurrence,Q222,Albania,,,
Q97244433,Q97244433,festival occurrence,Q222,Albania,,,
Q71435666,Kënga Magjike 2019,festival occurrence,Q222,Albania,,,
Q2319714,Abu Dhabi Motor Show,recurring event,Q1519,Abu Dhabi,,,
Q97244438,Q97244438,festival occurrence,Q222,Albania,,,
Q135526378,Q135526378,party,Q727,Amsterdam,,,
Q97244436,Q97244436,festival occurrence,Q222,Albania,,,
Q7600800,Star Mega Jam,festival,Q3787,Abuja,2001-01-01T00:00:00Z,2010-01-01T00:00:00Z,
Q97244441,Q97244441,festival occurrence,Q222,Albania,,,
Q97244447,Q97244447,festival occurrence,Q222,Albania,,,
Q38236899,Mozilla Festival,festival,Q727,Amsterdam,,,2013-01-01T00:00:00Z
Q60969892,Kënga Magjike 2018,festival occurrence,Q222,Albania,2018-12-05T00:00:00Z,2018-12-08T00:00:00Z,
Q97244445,Q97244445,festival occurrence,Q222,Albania,,,
Q56309543,Q56309543,festival,Q262,Algeria,,,2004-01-01T00:00:00Z
Q45859817,Q45859817,festival,Q262,Algeria,,,
Q97244451,Q97244451,festival occurrence,Q222,Albania,,,
Q97244454,Q97244454,festival occurrence,Q222,Albania,,,
Q4666934,Aberdeen International Youth Festival,festival,Q36405,Aberdeen,,,
Q3358839,Royal National Mod,festival,Q36405,Aberdeen,,,1892-01-01T00:00:00Z
Q97244459,Q97244459,festival occurrence,Q222,Albania,,,
Q97244456,Q97244456,festival occurrence,Q222,Albania,,,
Q28134942,OzAsia Festival,recurring event,Q5112,Adelaide,,,2007-01-01T00:00:00Z
Q97244462,Q97244462,festival occurrence,Q222,Albania,,,
Q136889156,Q136889156,festival,Q262,Algeria,2025-11-13T00:00:00Z,2025-11-18T00:00:00Z,2025-01-01T00:00:00Z
Q135528807,Q135528807,party,Q727,Amsterdam,,,
Q97244465,Q97244465,festival occurrence,Q222,Albania,,,
Q2181135,Festival of Fools,festival,Q727,Amsterdam,,,1975-01-01T00:00:00Z
Q97244468,Q97244468,festival occurrence,Q222,Albania,,,
Q110113406,Q110113406,festival occurrence,Q222,Albania,,,
Q61750432,Q61750432,festival,Q727,Amsterdam,,,1998-01-01T00:00:00Z
Q110113407,Q110113407,festival occurrence,Q222,Albania,,,
Q97244472,Q97244472,festival occurrence,Q222,Albania,,,
Q23925671,Comiciade,recurring event,Q1017,Aachen,,,2014-01-01T00:00:00Z
Q12222274,Ashura in Algeria,festival,Q262,Algeria,,,
Q2207483,Poelifinario,recurring event,Q727,Amsterdam,2003-01-01T00:00:00Z,,2003-01-01T00:00:00Z
Q4982316,Bubonicon,recurring event,Q34804,Albuquerque,,,1969-01-01T00:00:00Z
Q105741210,Wiki Loves Monuments in Albania & Kosovo,recurring event,Q222,Albania,,,
Q139324332,Albanian Diaspora Summit,recurring event,Q222,Albania,,,2016-11-18T00:00:00Z
Q138634599,Q138634599,festival,Q1515,Abidjan,,,2008-01-01T00:00:00Z
Q16146537,15th World Festival of Youth and Students,festival occurrence,Q262,Algeria,,,
Q1424859,Q1424859,party,Q87,Alexandria,,-0209-01-01T00:00:00Z,-0281-01-01T00:00:00Z
Q136772326,Q136772326,festival,Q262,Algeria,,,
Q136379143,Q136379143,festival,Q1515,Abidjan,,,2025-04-20T00:00:00Z
Q60852069,Q60852069,festival,Q35493,Almaty,,,
Q112612933,Advention,recurring event,Q5112,Adelaide,,,1972-01-01T00:00:00Z
Q98608942,Q98608942,recurring event,Q262,Algeria,,,
Q23014326,Kënga Magjike 2015,festival occurrence,Q222,Albania,,,
Q1795594,Kënga Magjike,recurring event,Q222,Albania,,,1999-01-01T00:00:00Z
Q4708969,Albacon,recurring event,Q24861,Albany,,,1996-01-01T00:00:00Z
Q79048068,Tirana Book Fair,recurring event,Q222,Albania,,,1998-01-01T00:00:00Z
Q20561724,Kult Awards,recurring event,Q222,Albania,,,2005-01-01T00:00:00Z
Q3070849,Q3070849,festival,Q3561,Algiers,,,
Q3070849,Q3070849,festival,Q262,Algeria,,,
Q16849154,International Festival of Comics,recurring event,Q262,Algeria,,,
Q135222556,Q135222556,party,Q727,Amsterdam,,,
Q135222557,Q135222557,party,Q727,Amsterdam,,,
Q56299731,Kënga Magjike 2016,festival occurrence,Q222,Albania,,,
Q304607,Gjirokastër National Folklore Festival,festival,Q222,Albania,,,
Q97244423,Q97244423,festival occurrence,Q222,Albania,,,
Q97244420,Q97244420,festival occurrence,Q222,Albania,,,
Q948858,Cannabis Cup,festival,Q727,Amsterdam,,,1988-01-01T00:00:00Z
Q97244426,Q97244426,festival occurrence,Q222,Albania,,,
Q1855632,Q1855632,recurring event,Q727,Amsterdam,,,
Q11983109,Danish National Exhibition of 1909,festival occurrence,Q25319,Aarhus,,,
Q116767093,Spectra Festival of Light,festival,Q36405,Aberdeen,,,
Q97244431,Q97244431,festival occurrence,Q222,Albania,,,
Q26156861,Amsterdam Light Festival,festival,Q727,Amsterdam,,,2011-01-01T00:00:00Z
Q54859997,Q54859997,festival,Q727,Amsterdam,,,
Q138036118,"Jouvert Morning, Aruba",festival,Q21203,Aruba,,,
Q138323197,"Grand Carnival Parade, San Nicolas",festival,Q21203,Aruba,,,
Q138321756,"Lightning parade, San Nicolas Aruba",festival,Q21203,Aruba,,,
Q127335869,Buenos Aires Celebra País Vasco 2021,festival occurrence,Q414,Argentina,,,
Q16567706,Q16567706,party,Q414,Argentina,,,
Q25227199,Ultra Buenos Aires,recurring event,Q414,Argentina,,,
Q6343966,Q6343966,festival occurrence,Q414,Argentina,2003-10-10T00:00:00Z,2003-10-26T00:00:00Z,
Q60825251,Q60825251,festival occurrence,Q414,Argentina,,,
Q125273932,Q125273932,festival,Q414,Argentina,2024-04-06T00:00:00Z,2024-04-07T00:00:00Z,
Q30901805,Q30901805,festival occurrence,Q414,Argentina,,,
Q108464937,Tempo Dance Festival,festival,Q37100,Auckland,,,2003-01-01T00:00:00Z
Q131927862,Q131927862,recurring event,Q414,Argentina,,,
Q115505283,Bear festivities in the Pyrenees,festival,Q228,Andorra,,,
Q130243963,Feira Filda,recurring event,Q916,Angola,,,1969-12-06T00:00:00Z
Q16567712,Q16567712,party,Q414,Argentina,,,
Q3690905,Copa de Competencia (LAF),recurring event,Q414,Argentina,,,1932-01-01T00:00:00Z
Q84045610,Cosquín Rock 2020,festival occurrence,Q414,Argentina,2020-02-08T00:00:00Z,2020-02-09T00:00:00Z,
Q17492841,Summer of Antwerp,festival,Q12892,Antwerp,,,1995-01-01T00:00:00Z
Q16491950,National Day of Tango,recurring event,Q414,Argentina,,,1977-01-01T00:00:00Z
Q5787759,Copa General Pedro Ramírez,recurring event,Q414,Argentina,,,1943-01-01T00:00:00Z
Q3690900,Copa de Competencia (AAmF),recurring event,Q414,Argentina,,,1920-01-01T00:00:00Z
Q5861643,Q5861643,party,Q414,Argentina,,,
Q19799894,census in Argentina,recurring event,Q414,Argentina,,,
Q24057155,Pepsi Music 2013,festival occurrence,Q414,Argentina,,,
Q127328811,Buenos Aires Celebra País Vasco,festival,Q414,Argentina,,,2011-01-01T00:00:00Z
Q17632222,Q17632222,festival,Q414,Argentina,,,
Q16567727,Q16567727,party,Q414,Argentina,,,
Q7565949,South American Business Forum,recurring event,Q414,Argentina,2004-01-01T00:00:00Z,,2005-01-01T00:00:00Z
Q5861641,Q5861641,party,Q414,Argentina,,,
Q116073192,Q116073192,recurring event,Q414,Argentina,,,1996-01-01T00:00:00Z
Q5861647,Q5861647,party,Q414,Argentina,,,
Q76763282,2019 Argentina presidential debates,recurring event,Q414,Argentina,,,
Q5861644,Q5861644,party,Q414,Argentina,,,
Q81314097,Cascanueces,discothèque,Q414,Argentina,,,1993-01-01T00:00:00Z
Q5861648,Q5861648,party,Q414,Argentina,,,
Q4985521,Buenos Aires Fashion Week,recurring event,Q414,Argentina,2001-01-01T00:00:00Z,,2001-01-01T00:00:00Z
Q139807837,Madrid Economic Forum,recurring event,Q228,Andorra,,,
Q11219610,Q11219610,festival occurrence,Q414,Argentina,2008-03-30T00:00:00Z,2008-04-06T00:00:00Z,
Q96622031,Wiki Loves Folklore,recurring event,Q414,Argentina,,,
Q97461264,Copa Confraternidad Iberoamericana,recurring event,Q414,Argentina,1964-01-01T00:00:00Z,1965-01-01T00:00:00Z,1964-01-01T00:00:00Z
Q5996078,Marchas de la Resistencia,recurring event,Q414,Argentina,2015-12-10T00:00:00Z,2006-01-26T00:00:00Z,
Q121301318,New Year in Armenia,party,Q399,Armenia,,,
Q5861653,Q5861653,party,Q414,Argentina,,,
Q1130500,Tie Cup,recurring event,Q414,Argentina,,,1900-01-01T00:00:00Z
Q134316570,Printopia,festival,Q37100,Auckland,,,
Q5861658,Q5861658,party,Q414,Argentina,,,
Q5861659,Q5861659,party,Q414,Argentina,,,
Q6343954,Pepsi Music 2006,festival occurrence,Q414,Argentina,,,
Q22082577,Copa Mariano Reyna,recurring event,Q414,Argentina,,,1912-01-01T00:00:00Z
Q24057022,Pepsi Music 2011,festival occurrence,Q414,Argentina,,,
Q6343952,Pepsi Music 2005,festival occurrence,Q414,Argentina,,,
Q116789745,Q116789745,recurring event,Q3415,Ancona,,,
Q127329161,Buenos Aires Celebra País Vasco 2011,festival occurrence,Q414,Argentina,,,
Q6343959,Pepsi Music 2009,festival occurrence,Q414,Argentina,,,
Q127329167,Buenos Aires Celebra País Vasco 2012,festival occurrence,Q414,Argentina,,,
Q104905075,Q104905075,festival,Q2749,Augsburg,,,2003-01-01T00:00:00Z
Q127329467,Buenos Aires Celebra País Vasco 2017,festival occurrence,Q414,Argentina,,,
Q6343956,Pepsi Music 2007,festival occurrence,Q414,Argentina,,,
Q6343973,Q6343973,festival occurrence,Q414,Argentina,2011-05-19T00:00:00Z,2011-05-22T00:00:00Z,
