destination_wikidata_id,destination_name,osm_id,osm_type,hub_name,hub_type,iata_code,icao_code,lat,lon
Q1017,Aachen,26446051,node,Verviers-Central,train_station,,,50.5883259,5.8551021
Q1017,Aachen,36492131,node,Herzogenrath,train_station,,,50.8714326,6.094601
Q1017,Aachen,41984084,node,Schin op Geul,train_station,,,50.8559809,5.8714734
Q1017,Aachen,42154819,node,Ohé en Laak,port,,,51.1225345,5.8174953
Q1017,Aachen,63203931,node,Jünkerath,train_station,,,50.3442027,6.5819431
Q1017,Aachen,63204748,node,Urft (Steinfeld),train_station,,,50.5121272,6.580502
Q1017,Aachen,78063495,node,Wegberg Schwalmaue,bus_station,,,51.1404921,6.2751266
Q1017,Aachen,130081198,node,Ophoven,port,,,51.1236829,5.8167865
Q1017,Aachen,247108901,node,Eschweiler Bushof,bus_station,,,50.8202789,6.2623109
Q1017,Aachen,253262207,node,Kermeterufer,port,,,50.6281809,6.4000144
Q1017,Aachen,261749975,node,Lanaye,port,,,50.7772901,5.6968382
Q1017,Aachen,262619907,node,Stolberg (Rheinl) Hbf,train_station,,,50.7944455,6.2173543
Q1017,Aachen,262947763,node,Rheydt Hauptbahnhof,bus_station,,,51.1628536,6.4412041
Q1017,Aachen,274286373,node,Urftseemauer,port,,,50.6049516,6.4186409
Q1017,Aachen,274286492,node,Rurberg (Obersee),port,,,50.6069079,6.3900919
Q1017,Aachen,310349029,node,Heinsberg (Rheinl),train_station,,,51.0645183,6.0996221
Q1017,Aachen,310844645,node,Hochneukirch,train_station,,,51.1032291,6.4664207
Q1017,Aachen,330080965,node,Kuhbrücke,train_station,,,50.7835037,6.4866495
Q1017,Aachen,330093296,node,Heimbach (Eifel),train_station,,,50.6366292,6.4735506
Q1017,Aachen,338177823,node,Schierwaldenrath,train_station,,,51.0137652,6.0381883
Q1017,Aachen,338177828,node,Birgden,train_station,,,51.0088359,6.058682
Q1017,Aachen,415437988,node,Woffelsbach,port,,,50.6280071,6.3924447
Q1017,Aachen,420501169,node,Neer veerstoep,port,,,51.257983,6.0045074
Q1017,Aachen,436132275,node,Erkelenz ZOB,bus_station,,,51.0813522,6.3106769
Q1017,Aachen,458282463,node,Rijkel veerstoep,port,,,51.2583976,6.0070282
Q1017,Aachen,482670014,node,Frimmersdorf,train_station,,,51.0461805,6.5666258
Q1017,Aachen,496803264,node,Vettweiß-Jakobwüllesheim,train_station,,,50.7662923,6.5656511
Q1017,Aachen,506056777,node,Eupen,train_station,,,50.6351119,6.0389191
Q1017,Aachen,528853635,node,Eijsden,port,,,50.7769494,5.6993253
Q1017,Aachen,643104548,node,Rurberg,port,,,50.6085913,6.3862153
Q1017,Aachen,701190345,node,Dahlem (Eifel),train_station,,,50.3861847,6.5510791
Q1017,Aachen,701191338,node,Schmidtheim,train_station,,,50.4132615,6.5519292
Q1017,Aachen,715848061,node,Einruhr,port,,,50.5829866,6.3775422
Q1017,Aachen,986026125,node,Aérodrome de Spa-La Sauvenière,airport,,EBSP,50.4778851,5.9099454
Q1017,Aachen,1042032020,node,Elsenborn Air Base,airport,,EBLB,50.4837376,6.1817425
Q1017,Aachen,1042699592,node,Zutendaal,airport,,EBSL,50.948533,5.5905606
Q1017,Aachen,1506143976,node,Heerlen,train_station,,,50.8908484,5.9751061
Q1017,Aachen,1506495806,node,Susteren,train_station,,,51.0609667,5.8629282
Q1017,Aachen,1716564811,node,Eys-Wittem,train_station,,,50.8231923,5.9246943
Q1017,Aachen,1752578514,node,"Geleen, Busstation",bus_station,,,50.9675013,5.8283073
Q1017,Aachen,1956883000,node,Nörvenich-Binsfeld,train_station,,,50.7951008,6.5332622
Q1017,Aachen,1988505255,node,Busstation,bus_station,,,50.9292672,5.938838
Q1017,Aachen,2026248147,node,Korschenbroich,train_station,,,51.1956189,6.5119771
Q1017,Aachen,2028453341,node,Schinnen,train_station,,,50.9390309,5.8745796
Q1017,Aachen,2037964450,node,Langerwehe,train_station,,,50.8179036,6.3534794
