wikidata_id,destination_name,section_type,section_text
Q1017,Aachen,get_in,"==Get in==

Aachen shares its Maastricht-Aachen airport () with Maastricht. It is located some 40&nbsp;km outside the city centre, in the Netherlands. Maastricht-Aachen airport is connected to only a limited number of international destinations and served by budget carriers. Transit to and from the airport via public transportation is only possible via the city of Maastricht.

The nearest major international airports are Düsseldorf () and Cologne-Bonn (). Both airports can be reached by train (via the Düsseldorf and Cologne central stations respectively) or car in an hour. Another major airport within close proximity is Brussels (). It can be reached by train with a change either in Liège, Leuven/Louvain, or Brussels.

Smaller airports within reasonable distance are Weeze () in Germany, Eindhoven airport () in the Netherlands, and ""Brussels"" South Charleroi Airport () in Belgium. All three airports are bases for low-cost airlines. They can be reached by car in roughly 1h30, or by lengthy train journeys with several changes. Also, Liège (Lüttich) airport (( in Belgium is 45min by car and has some charter flights. Finally, https://www.antwerp-airport.com/ (), also in Belgium, requires a 90-minute car ride. Aachen is probably unique in having 9 airports in 3 countries within 150&nbsp;km.

If for some reason none of the nearby airports are feasible or affordable, the airport in Frankfurt (), Germany's main hub, has a direct ICE connection and offers a number of trains to Aachen with one interchange or less.
For some airports the rail&fly programme the German railways offer together with several airlines might be an option. For more on that see rail air alliances.

thumb|right|220px|Aachen central station (Hauptbahnhof)
 is the main railway station. Aachen has four other minor stations: Aachen Rothe Erde, Aachen Schanz, Aachen West and Aachen Eilendorf. In case of doubt, Aachen Hauptbahnhof is the most convenient station as it is served by all trains going to and through Aachen regardless of destination and it is closest to the city center.
* Eurostar and ICE trains directly connect Aachen internationally with Liège, Brussels and Paris. ICE trains also provide direct connections every two hours from Frankfurt via Cologne, and daily connections from Berlin via Hanover and occasional connections to Hamburg. 
* Flixtrain serves the city.
* There are also local trains from Liège every hour. Make sure you get one of the trains run by Belgian Railways that go via Verviers, the Arriva trains via Maastricht take 30 minutes longer.
* Local trains (Regionalexpress) from Siegen via Cologne and Hamm via Düsseldorf run every half hour and take around 55 minutes from Cologne, 85 to 110 minutes from Düsseldorf.
* Regional trains from Maastricht serve Aachen via Heerlen, Landgraaf and Herzogenrath (1 hr, )
* Nightjet, OBB's sleeper train, runs twice a week from Brussels via Aachen to Vienna, Munich and Innsbruck. It calls at Cologne, Bonn, Koblenz, Frankfurt airport,"
Q1017,Aachen,get_around,"==Get around==
The old town is best explored on foot and orientation signs can be found all around. Apart from the centre, Aachen at a whole is a fairly large city.

Aachen has a city bus system, operated by ASEAG, including a few night bus lines. Most buses run to the central bus station near the city centre. You can get tickets from the bus driver. On arrival in Aachen, it may be worth visiting the ASEAG Customer-Centre opposite the main bus station. Here, you can pick up timetables for all bus routes run by the company and you can of course speak to an adviser as well. There are no timetables available for services run by Veolia, such as the number 50 to Maastricht, or for bus services run by Deutsche Bahn, such as the number 66 to Monschau.

Aachen does not have a tram, U-Bahn or S-Bahn network like many other large German cities. It is still possible to travel through the city by train. The euregio-Bahn is a local line that stops at the stations Aachen West (not far from RWTH Aachen University), Aachen-Schanz, Aachen Hauptbahnhof (the most convenient for the city centre) and Aachen-Rothe Erde. Ticket machines are available at all stations.

The city centre is mostly blocked for car traffic. A car can come in handy in the outskirts. Parking can get expensive, especially in the center of town.

The carsharing company Cambio has numerous stations in Aachen. It also offers stations in many other German and Belgian cities.

While being hilly and not the most biker-friendly town in Germany, there are a number of bike routes and getting around on bike is increasingly popular. As in other German cities, some bike thefts have been reported so reasonable caution is advised. Bike parking with surveillance is possible in ""fahrrad station"", near the central train station. You can rent a bike at the ""fahrrad station"", near the central train station.

Several e-scooter rental systems such as Tier and Voi are active in Aachen in a similar fashion to other German cities.

Are readily available on the streets as well as on fixed locations, e.g. near Aachen Hauptbahnhof station, Aachen Rothe Erde station and in Pontstraße. The same conditions as in the rest of Germany apply.

Aachen is also served by the ridehailing company Uber."
Q25319,Aarhus,get_in,"==Transport==
thumb|upright=1|Aarhus Central Station
Aarhus has two ring roads; Ring 1, roughly encircling the central district of Aarhus C, and the outlying Ring 2. Six major intercity motorways radiate from the city centre, connecting with nearby cities Grenå, Randers, Viborg, Silkeborg, Skanderborg and Odder.

In the inner city, motorised traffic is highly regulated, larger parts are pedestrianised and in the 2000s, a system of roads prioritised for cyclists have been implemented, connecting to suburban areas.

The main railway station in Aarhus is Aarhus Central Station located in the city centre. DSB has connections to destinations throughout Denmark and also services to Flensburg and Hamburg in Germany.

thumb|upright=1|Bike parking at the central station. As in Denmark overall, bicycles are a popular means of transportation.
Aarhus Letbane is a local electric tram-train system that opened in December 2017, connecting the central station and the inner city with the University Hospital in Skejby and also replaced local railway services to Grenaa and Odder in late 2018. It was the first electric light rail system in Denmark and more routes are planned to open in coming years. Tickets for the light rail are also available in local yellow bus lines.

Most city bus lines go through the inner city and pass through either Park Allé or Banegårdspladsen, or both, right at the central station. Regional and Inter-city buses terminate at Aarhus Bus Terminal, just east of the central station. FlixBus provides long-distance buses that travel to other cities in Denmark and Europe.

Ferries administered by Danish ferry company Mols-Linien transports passengers and motorvehicles between Aarhus and Sjællands Odde on Zealand. The ferries comprises HSC KatExpress 1 and HSC KatExpress 2, the world's largest diesel-powered catamarans, and HSC Max Mols.

Aarhus Airport is located on Djursland, north-east of Aarhus near Tirstrup, and provides links to both Copenhagen and international destinations. The larger Billund Airport is situated south-west of Aarhus. There has been much discussion about constructing a new airport closer to the city for many years, but so far no plans have been realised. In August 2014, the city council officially initiated a process to assert the viability of a new international airport. A small seaplane now operates four flights daily between Aarhus harbour and Copenhagen harbour.

Aarhus has a free bike sharing system, Aarhus Bycykler (Aarhus City Bikes). The bicycles are available from 1 April to 30 October at 57 stands throughout the city and can be obtained by placing a DKK 20 coin in a release slot, like caddies in a supermarket. The coin can be retrieved when the bike is returned to a stand. Bicycles can also be hired from many shops."
Q36405,Aberdeen,get_in,"== Get in ==
 thumb | 300px | ""I'm bored with the Med, let's try Ineos, or Apache, or Nexen...."" 

There are flights to Aberdeen from Amsterdam, Bergen, Burgas, Copenhagen, Dublin, Esbjerg, Gdansk, Geneva, Groningen, Haugesund, Paris CDG, Riga, Oslo, and Stavanger, plus seasonal flights to the Mediterranean.

There's a wide range of UK flights, as Aberdeen is far to reach by rail or road. These include London Heathrow (with BA), London Gatwick and Luton (with easyJet), Belfast, Birmingham, Bristol, Cardiff, Durham, Humberside, Kirkwall on Orkney, Leeds, Manchester, Norwich, Newcastle, Southampton, Stornoway on Lewis, Sumburgh on Shetland, and Wick. 

Aberdeen is also a hub for transfers to the weird sounding destinations of Apache, Hurricane, Ineos, and Nexen. These are the names of oil and gas rigs out in the North Sea, served by helicopter from here.

 () is at Dyce, 7 miles (11 km) northwest from city centre. There are car rental desks here but their stock is limited, best book in advance.

Between airport and city centre, take the bus. Jet 727 is a big blue Stagecoach bus, running every 10-30 min to the main bus station in Union Square, next to the railway station and ferry terminal. It runs daily between 3AM and midnight, taking 30 min. In early 2025, a single ticket costs £3.70 and a return (good for 28 days) costs £6.50. The former direct buses to Stonehaven, Montrose and Peterhead have been axed.

Dyce has a railway station, but it's wrong side of the runway from the terminal, a 45-min walk with no public transport. You could take a taxi there: you'd only do this to pick up a northbound train without going into city centre. The Aberdeen to Inverness trains stop at Dyce, Inverurie, Insch, Huntly, Keith, Forres and Nairn.

A taxi to town costs about £25, and to Dyce £15.

 thumb | 300px | Marischal College 
:Wikivoyage has a guide to Rail travel in Great Britain.
Aberdeen has trains hourly from Edinburgh and Glasgow Queen Street, both taking 2 hr 30 min, via Dundee. From England it's usually quicker to change in Edinburgh, but there are a few direct daytime trains from London King's Cross (via Peterborough, York and Newcastle) taking 7 hours. Likewise from the Midlands, with two or three trains winding all the way from Penzance via Exeter, Bristol, Birmingham, Sheffield, Leeds, York, Newcastle and Edinburgh. Trains also run from Inverness to Aberdeen every couple of hours, taking about 2 hours.

The Caledonian Highland Sleeper runs Su-F from London Euston, departing around 9:30PM to arrive by 7:40AM. (Other portions run to Inverness or Fort William, dividing at Edinburgh.) The southbound train leaves around 9:30PM to reach Euston towards 8AM. No trains on Saturday night. Compartments have two berths and are sold like hotel rooms: you pay extra for single occupancy, and you won't be sharing with a stranger. Tickets can be booked at any UK mainline railway station or online: as of 2022 a single sleeper fare is around £200 for one or £250 for"
Q36405,Aberdeen,get_around,"== Get around ==

Walking is an excellent way to get around Aberdeen, particularly around central areas, as the city centre is relatively compact. Walking is also by far the best way to appreciate the grand architecture of the city. However, the city is not that small (e.g. Union Street is one mile long) so for journeys outside of the city centre, wheeled transport may be useful.

Aberdeen has a medieval layout like many cities in the UK, so for the first-time visitor, a map is helpful. There are quite a few of these on signs around the city centre, mainly in points of interest (e.g. the Castlegate). However, it is very useful to have a map of the city to carry with you. You can buy maps from the Tourist Information Centre on the corner of Union Street and Shiprow, or from city bookstores.

 thumb | 300px | Castlegate 
Most city buses are operated by First Aberdeen. Pay on entry by cash (no change given), contactless bank card or mTicket. In 2021 the single fare by cash is adult £1.70, child £1.25; a day ticket is adult £4.40, child £2.60. These don't include night buses, or the Park & Ride which is £3.60. 

The mTicket (for day tickets or longer) doesn't save much, but avoids fumbling for the right change. You buy online or at Paypoint outlets, and display it on your phone.

Useful routes are Buses 1 and 2 from Robert Gordon University in the south, through Union Square transport hub, then north up King St to Bridge of Don, Old Aberdeen and the University of Aberdeen.

Stagecoach run the buses to other towns across Aberdeenshire, see ""Get in"" options for each town. These are sometimes better for edge-of-city transport.

 thumb | 300px | High Street in Old Aberdeen 
Taxis wait at the railway station, Back Wynd (off central Union Street), Chapel St (west end of Union St), Hadden Street (off Market Street) and at the airport. They're saloons or people-carriers of any colour, not London-style black cabs. Taxis and drivers must be registered with the City Council and carry an official registration plate, which is usually on the back. 

The main taxi companies are Aberdeen Taxis +44 1224 200200 and Rainbow City +44 1224 878787. Uber does not operate here.

Fares are regulated: in Jan 2022 it's £2.40 for the first 950 yards then 20p for every 180.5 yards, so reckon £3.40 for the first mile and £2 per subsequent mile. 

Good luck finding one when the pubs are closing: at night taxis won't pick up waifs and strays flagging them in the street. So either queue at a rank or phone, and be prepared for a long wait either way.

This is fraught in city centre traffic, where walking is first choice, but more helpful further out. Aberdeen City Council publishes a map of local cycle routes, which is also available in public libraries and at council offices. See below for the Deeside Way cycling and walking route to Banchory and Ballater. 

Bike hire is available from Macdui or BeCycle.

There isn't a bike-share scheme. Bike lockers at the Park & Rides are for a ye"
Q1519,Abu Dhabi,get_in,"== Transportation ==
thumb|Air Traffic Control Tower of [[Zayed International Airport]]
thumb|Terminal A at Zayed International Airport (2024)

Rapidly developing transportation in Abu Dhabi city is anchored by vast systems of highways connecting various islands and suburbs together alongside expanding public and private transport options.

The main Abu Dhabi island is connected by three vast highways with their own bridges, the oldest of which is Al Maqta Bridge, built in 1968 as the first connection to the previously small fishing village on the island, now part of the E22 highway. The second Mussafah Bridge was opened in 1977, now part of the E20 highway that transforms into Khaleej Al Arabi Street, and the third bridge was the Sheikh Zayed Bridge opened in 2010, now part of the E10 highway and Sheikh Zayed Road, all of which connect the entire island to the Corniche Road, the 8&nbsp;km promenade and beach at the tip of the island that overlooks the Persian Gulf. As the city expands, new bridges and roads have been constructed, or are currently under construction to link the main island with Al Maryah Island, Al Reem Island, Saadiyat Island, and other previously undeveloped islands. For example, in 2023, Sheikh Khaled bin Mohamed Al Nahyan inaugurated the Umm Yifeenah Bridge, an 11&nbsp;km highway connection between Al Reem Island and Sheikh Zayed bin Sultan Street. This change, and many other, are a part of Abu Dhabi's 2030 Urban Structure Framework Plan.

Zayed International Airport (AUH) is the city's main aviation hub and the second busiest airport in the UAE. Passenger numbers at Zayed International Airport rose by 17.2 percent in 2015, with more than 23 million travelers passing through its terminals during that year. A second runway and new terminal was also built recently. In July 2024, it was reported that the airport launched the world's first-of-its-kind ""Smart Travel"" biometric.

On 30 June 2019, the Department of Community Development (DCD) in Abu Dhabi officially inaugurated a multi-faith prayer room at Zayed International Airport. Located away from the main airport, the prayer room aims at enhancing the country's ""position as an international hub for tolerance"".

Abu Dhabi City is additionally served by the Al Bateen Executive Airport, situated on the main Abu Dhabi island, which was the old international airport for Abu Dhabi until AUH opened in 1982. The airport underwent renovation and expansion in 2022 to accommodate twin-aisle jets and resumed operation to private, business, and VIP traffic in addition to hosting an Abu Dhabi Police search and rescue base.

On December 5, 2024, Zayed International Airport in Abu Dhabi (AUH) won the title of ""World's Most Beautiful Airport"" at the Prix Versailles, a prestigious award for architecture and design. The award recognised its impressive architectural design in the Airports category. (WAM)

Abu Dhabi City is connected to the second phase of the Etihad Rail network, completed in 202"
Q1519,Abu Dhabi,get_around,"thumb|City Bus Number 56
Public transport systems in Abu Dhabi include public buses, taxis, ferries, and hydroplanes. A massive expansion of public transport is anticipated within the framework of the government's Surface Transport Master Plan 2030. The expansion was expected to see of metro and of tramways and bus rapid transit (BRT) routes. The city has nonetheless planned for further smart public transport options in various areas within the city, such as Yas Island and Saadiyat Island, in addition to expected rail service to other nearby cities.

The first town bus entered service in about 1969 but this was all part of a very informal service. There are other inter-city buses departing the Abu Dhabi central bus station; these inter-city buses are not only intra-emirate buses, but also inter-emirate services. On 30 June 2008, the Department of Transport began public bus service in Abu Dhabi with four routes. There are also public buses serving the airport. In an attempt to entice people to use the bus system, all routes were zero-fare until the end of 2008. The four routes, which operate between 6&nbsp;am and midnight every day, run at a frequency of 10 to 20 minutes. Within the first week of service, the bus network had seen high usage. Some of the buses, which have a maximum capacity of 45 passengers, only had room for standing left. Some bus drivers reported as many as 100 passengers on a bus at one time. Due to the new, zero-fare bus service success, many taxi drivers were losing business. Taxi drivers have seen a considerable decrease in the demand for taxis while lines were forming for the buses.

As of 2021, the Abu Dhabi public bus system had completed 53.3 million passenger trips, with a fleet of 583 buses for the city of Abu Dhabi.
thumb|upright|Public bus at a bus stop in Abu Dhabi

In 2022, Abu Dhabi launched autonomous self-driving public transport options in Yas Island and Saadiyat Island. The route in Saadiyat Island stops at cultural and tourist stops such as Louvre Abu Dhabi, NYU Abu Dhabi, and Sorbonne University Abu Dhabi whereas the Yas Island route focuses on the attractions in the island such as Ferrari World Abu Dhabi. The expansion include autonomous trams (Automated Rapid Transit or ""ART""), taxis, and minibuses.

During October 2023, the Integrated Transport Centre (ITC) launched the ART Service on mainland Abu Dhabi as a pilot phase as part of the Smart Mobility project. It spans approximately 27 kilometres from Reem Mall, Al Reem Island, until Marina Mall, serving 25 stations in total.

In 2025, WeRide and Uber announced the launch of Level 4 fully driverless Robotaxi commercial operations. Public commercial operations commenced on 26 November without a vehicle specialist inside the AV, starting with Yas Island. This initiative is supported by Abu Dhabi's Integrated Transport Centre.

The Emirate has many ports. One is Port Zayed. The others are Musaffah Port and Khalifa Port, which opened in 2012. They are owned by"
Q3787,Abuja,get_in,"Nnamdi Azikiwe International Airport is the main airport serving Abuja and the surrounding capital region. It was named after Nigeria's first president, Nnamdi Azikiwe. The airport has international and domestic terminals.

Abuja is also linked to Nasarawa, Plateau, Benue and Northeast Nigeria by the A234 Federal Highway, which starts from the city as the Goodluck Jonathan expressway, some portions of which are still under construction. A direct highway link to Minna in Niger State is still under construction. The A2 expressway links Abuja with Kaduna in the north and Lokoja in the south. There are also other highway links with the outlying region, such as that linking the suburb of Dutse Alhaji with the Lower Usuma and Gurara Dams, which supply water to the city.

thumb|145px|Cars on Sani Abacha way, Abuja
thumb|145px|Abuja-Kubwa expressway part of the [[A234 highway (Nigeria)|A234 highway in Nigeria]]

Abuja is on the route of the planned Lagos–Kano Standard Gauge Railway, which has been completed between Abuja and Kaduna. Trains for Kaduna depart from the Idu Railway Station in Abuja. There is a car park at the train station for passengers travelling to the city centre.

Abuja light rail opened in 2018 and became the first rapid transit in the country and in Western Africa. Abuja's light rail system was shut down in 2020 due to the COVID-19 epidemic. Traffic resumed on 29 May 2024.

thumb|Train at Idu Station platform
thumb|Abuja rail mass transit map"
Q3761,Accra,get_in,"==Get in==

 is a major hub, with international connections from North America, Europe, Africa and the Middle East, along with internal connections to Kumasi, Tamale and Takoradi, and regional connections to virtually every West African country.

Asky airlines fly to Banjul, Freetown, Monrovia, Lome

From the United States, Delta Airlines and United airlines operates flights directly from New York-JFK and Washington-Dulles. From there, it is possible to connect to all major North, South, and Latin American cities, and the Caribbean. 

South African Airways operates a service from Johannesburg. Ethiopian airlines from Addis Ababa. Kenya airways from Nairobi, Freetown, Monrovia Rwandair from Kigali. Royal Air Maroc from Casablanca. Egypt Air from Cairo.

Emirates and Turkish Airlines operate into Accra, from their respective hubs in Dubai and Istanbul. It is also served by Middle East Airlines from Beirut and Qatar Airways from Doha.

Air France operates from Paris's Charles de Gaulle. British Airways operates a daily service from London Heathrow. KLM also operates a daily service from Amsterdam. TAP Portugal has a direct service from Lisbon and Sao Tome, Brussels Airlines operates a service from Brussels.

Ibom Air operates daily flights from Lagos, Nigeria to Accra.

There is an official taxi stand. Make sure you find it if you want a regulated fare. Otherwise, expect to be taken for a very expensive ride. On the upside, though, the expensive car touts usually put you in a nicer car with a professional driver, and you get to skip any potential taxi confusion—you decide! Better yet, walk out to the main road and get a taxi for a real price.

Although rehabilitation of the rail network is a priority of the government there's just one line operating. Regional commuter trains ply the route from the nearby industrial city of Tema, of limited interest to the tourist, several times a day. Ghana Railway Company publishes timetables at their webpage.

*"
Q3761,Accra,get_around,"==Get around==

Accra's best attractions are scattered across a relatively wide area, so if you can afford the modest prices the best thing to do is hire a car and driver to take you around. Travel companies offer drivers who double as well-informed guides, which helps as interpretive exhibits and brochures (if you can find them) leave much to be desired.

If you need an SUV or a sedan there are plenty of affordable options because even the best drivers earn only about US$15 a day in Accra. You can book directly from Avis and local rental companies at the larger hotels, such as the Golden Tulip, La Palm, or La Badi Beach. Cars are available on short notice but if you want a van or SUV it is best to book ahead. Rates for car and driver are about US$9 an hour. For a US$75 you can book a 10-hour day, but fuel is extra. Rates increase if you leave metro Accra, which is fair because poor roads add to the wear and tear on the vehicle. Toyota Land Cruisers are a popular choice and are widely available.

Though the city is fairly spread out, Accra is relatively safe to walk around during the day (and night, in many areas). Watch out for open sewers, automobiles, (even in the city) when walking the streets.

To flag a taxi wave your arm with your finger pointed down to the ground. On a busy street you will have many taxis driving past trying to offer you their service by honking at you. There are very few Ghanaian cabs with meters. You must negotiate how much you are willing to pay before you start the trip. It is generally US$3 within the centre of town and US$10 to the airport or Accra Mall from the centre. A rough mileage rate would be US$ 0.30 per mile. Try to ask someone local how much a trip to a certain location usually costs. Also make sure to haggle hard, as most taxi drivers will often try to charge three times (or more) the going rate to foreigners. Relax, and don't show urgency. If the first taxi won't come down on his price, wait for another as they are plentiful. Do have an idea of your route: taxi drivers navigate by landmarks, e. g. traffic circles, traffic lights, petrol stations – not street names – and make sure you have a local SIM in your phone so you can ring someone at your destination and pass the phone to the taxi driver.

Taxis do not have to be so private, though, and it's exceedingly rare for Ghanaians to hire one privately (although they will assume that foreigners want a private one). The rate is in theory one fourth of a private ride, but, again, foreigners taking a private ride tend to get taken for a little extra. It's more confusing, to be sure, but chances are they are going in the direction they are already headed, and you can just ask if they're going towards a major landmark, especially a market.

The problem with taxis, aside from the constant honking at foreigners, is that they don't know their way around Accra. No really, they won't have any idea where you want to go. They can't figure out maps either. The landmark"
