venue_wikidata_id,venue_name,venue_type,destination_wikidata_id,destination_name,lat,lon
Q124474430,Zagoria Nature Park,nature reserve,Q222,Albania,40.204170180515,20.1938672
Q686088,Llogara National Park,national park,Q222,Albania,40.21638889,19.57027778
Q993154,Tomorr Mountain National Park,national park,Q222,Albania,40.7,20.13333333
Q21484382,Djebel Aissa National Park,national park,Q262,Algeria,32.873,-0.486
Q12186241,Q12186241,national park,Q87,Alexandria,31.178638888889,29.930694444444
Q1725911,Valbonë Valley National Park,national park,Q222,Albania,42.45333333,19.88777778
Q125993818,Q125993818,national park,Q222,Albania,41.783333333333,20.183333333333
Q4058060,Ajar Valley National Park,national park,Q889,Afghanistan,34.0,67.0
Q1231952,Divjakë-Karavasta National Park,national park,Q222,Albania,40.92416667,19.49305556
Q1968796,Fir of Drenovë National Park,national park,Q222,Albania,40.5675,20.83
Q2580089,Djurdjura National Park,national park,Q262,Algeria,36.4667,4.1333
Q27925276,Sabkhat al-Jabbul Nature Reserve,nature reserve,Q41183,Aleppo,36.066666666667,37.5
Q117389705,Vjosa Wild River National Park,national park,Q222,Albania,40.124166666667,20.4325
Q2664193,Gouraya National Park,national park,Q262,Algeria,36.7667,5.1
Q883399,Djerid,natural region,Q262,Algeria,33.916111111111,8.0066666666667
Q429470,Theniet El Had National Park,national park,Q262,Algeria,35.853694444444,1.9683055555556
Q975250,Butrint National Park,national park,Q222,Albania,39.746111,20.020278
Q31666106,Bredhi i Sotirës,nature reserve,Q222,Albania,39.816306,20.354051
Q1969108,Zall-Gjoçaj National Park,national park,Q222,Albania,41.520556,19.898056
Q1968784,Dajti National Park,national park,Q222,Albania,41.36583333,19.92555556
Q1969017,Shebenik National Park,national park,Q222,Albania,41.222643,20.450021
Q1587429,Thethi National Park,national park,Q222,Albania,42.395833333333,19.774444444444
Q31856901,CEE Ahmedabad,nature reserve,Q1070,Ahmedabad,23.04467,72.51873
Q124463127,Jardin D'essai,national park,Q262,Algeria,,
Q1521938,Lurë-Dejë Mountain National Park,national park,Q222,Albania,41.783333333333,20.183333333333
Q2664184,Belezma National Park,national park,Q262,Algeria,35.58333333,6.03333333
Q3139033,Hodna,natural region,Q262,Algeria,35.5,4.83333
Q2671600,Chrea National Park,national park,Q262,Algeria,36.4,2.8666666666667
Q4822303,Aures,natural region,Q262,Algeria,35.3333,6.66667
Q2664197,Tlemcen National Park,national park,Q262,Algeria,34.706346,-1.459733
Q1321758,National Park - Fir of Hotova,national park,Q222,Albania,40.30361111,20.41111111
Q108101590,Nuristan National Park,national park,Q889,Afghanistan,35.2,70.7
Q2671615,Taza National Park,national park,Q262,Algeria,36.7002,5.5594
Q123510408,Albanian Alps National Park,national park,Q222,Albania,42.4554857,19.6381898
Q1968995,Shtamë Pass National Park,national park,Q222,Albania,41.5206,19.8981
Q650992,El Kala National Park,national park,Q262,Algeria,36.81666667,8.41666667
Q4988996,Prespa National Park,national park,Q222,Albania,40.825555555556,20.898611111111
Q613251,Band-e Amir National Park,national park,Q889,Afghanistan,34.839722222222,67.230833333333
Q3377361,Petite Kabylie,natural region,Q262,Algeria,36.0,5.0
Q25691686,Grande Kabylie,natural region,Q262,Algeria,,
Q16398097,Jermuk Hydrological Sanctuary,nature reserve,Q399,Armenia,39.837397,45.668298
Q16386683,Q16386683,nature reserve,Q399,Armenia,40.695896,44.657568
Q4532395,Erebuni Reserve,nature reserve,Q399,Armenia,40.09,44.38
Q829305,Sierra de las Quijadas National Park,national park,Q414,Argentina,-32.55083333,-67.06416667
Q6378421,Sevan National Park,national park,Q399,Armenia,40.34611111,45.33444444
Q828601,El Rey National Park,national park,Q414,Argentina,-24.7,-64.63333333
Q2678893,De Kuifeend,nature reserve,Q12892,Antwerp,51.299777777778,4.3449222222222
Q828291,Los Alerces National Park,national park,Q414,Argentina,-42.8075,-71.89888889
Q828353,Lago Puelo National Park,national park,Q414,Argentina,-42.183333333333,-71.683333333333
Q829260,Calilegua National Park,national park,Q414,Argentina,-23.639,-64.838
Q880083,Puerto Península,nature reserve,Q414,Argentina,-25.6756,-54.6428
Q829012,Los Arrayanes National Park,national park,Q414,Argentina,-40.86139,-71.61944
Q827962,Perito Moreno National Park,national park,Q414,Argentina,-47.81138889,-72.25055556
Q829771,Mburucuyá National Park,national park,Q414,Argentina,-27.998622081924,-58.009809690199
Q43064170,Kumayri,nature reserve,Q399,Armenia,,
Q16367096,Akhnabad Taxus Grove Sanctuary,nature reserve,Q399,Armenia,40.724946327437,45.115967503072
Q829228,Lihué Calel National Park,national park,Q414,Argentina,-37.95,-65.65
Q1034280,Costanera Sur Ecological Reserve,nature reserve,Q414,Argentina,-34.60388889,-58.3525
Q16400205,Q16400205,nature reserve,Q399,Armenia,39.599305506856,46.231836865578
Q1984244,Dilijan National Park,national park,Q399,Armenia,40.65638889,45.02138889
Q1144630,Shikahogh State Preserve,nature reserve,Q399,Armenia,39.05,46.4
Q828709,Tierra del Fuego National Park,national park,Q414,Argentina,-54.666944444444,-68.5
Q215992,Los Glaciares National Park,national park,Q414,Argentina,-50.330530387333,-73.234164314729
Q16070157,Lake Arpi National Park,national park,Q399,Armenia,41.054444,43.643056
Q829648,Copo National Park,national park,Q414,Argentina,-25.96666667,-61.88333333
Q643667,Arevik National Park,national park,Q399,Armenia,39.0,46.15
Q830022,Islas de Santa Fé National Park,national park,Q414,Argentina,-32.433,-60.817
Q829745,San Guillermo National Park,national park,Q414,Argentina,-29.242418275118,-69.353710734802
Q829872,Monte León National Park,national park,Q414,Argentina,-50.23333333,-69.0
Q1796316,Königsbrunner Heide,nature reserve,Q2749,Augsburg,48.2729,10.9061
Q829474,Los Cardones National Park,national park,Q414,Argentina,-25.12533333,-66.18166667
Q827817,Nahuel Huapi National Park,national park,Q414,Argentina,-41.003690915332,-71.501456621836
Q16399544,Plane Grove Sanctuary,nature reserve,Q399,Armenia,39.016245,46.53499
Q830187,Q830187,nature reserve,Q414,Argentina,-26.13333333,-53.71666667
Q16392857,Q16392857,nature reserve,Q399,Armenia,40.696882,44.677441
Q828206,Lanín National Park,national park,Q414,Argentina,-40.1603,-71.3575
Q828531,Laguna Blanca National Park,national park,Q414,Argentina,-39.041388888889,-70.358333333333
Q829966,Campos del Tuyú National Park,national park,Q414,Argentina,-36.35,-56.866666666667
Q16398094,Jermuk Forest Sanctuary,nature reserve,Q399,Armenia,39.92860288079,45.713164699595
Q16374792,Q16374792,nature reserve,Q399,Armenia,38.968994,46.136241
Q184382,pampa,natural region,Q414,Argentina,-35.0,-62.0
Q829805,El Leoncito National Park,national park,Q414,Argentina,-31.795809319768,-69.333665024876
Q53483831,Armash Important Bird Area,nature reserve,Q399,Armenia,39.76,44.77
Q828642,Río Pilcomayo National Park,national park,Q414,Argentina,-25.0644,-58.1367
Q1811376,Lechtalheiden,natural region,Q2749,Augsburg,48.2507,10.9177
Q611989,Chaco National Park,national park,Q414,Argentina,-26.83333,-59.66667
Q829128,Baritú National Park,national park,Q414,Argentina,-22.583333,-64.616667
Q829415,Aconquija National Park,national park,Q414,Argentina,-27.292697487378,-65.862865336008
Q1076666,Khosrov State Reserve,nature reserve,Q399,Armenia,39.81666667,44.83333333
Q5485574,Q5485574,nature reserve,Q414,Argentina,-34.49416667,-58.47944444
Q5723844,Ansenuza national park,national park,Q414,Argentina,-30.333333333333,-62.833333333333
Q6106156,Q6106156,nature reserve,Q414,Argentina,-54.77222222,-64.2975
Q24942634,Laguna Nimez,nature reserve,Q414,Argentina,-50.316666666667,-72.633333333333
Q110953727,Reserva Natural El Destino,nature reserve,Q414,Argentina,,
Q6106345,Q6106345,nature reserve,Q414,Argentina,-34.7911,-57.9969
Q66098679,Q66098679,nature reserve,Q414,Argentina,-25.5921,-54.1566
Q134089058,Q134089058,nature reserve,Q414,Argentina,-24.165981266986,-65.311845404321
Q58232743,Ciervo de los Pantanos National Park,national park,Q414,Argentina,-34.2525,-58.8678
Q17132555,Ischigualasto / Talampaya Natural Parks,nature reserve,Q414,Argentina,-29.8,-67.833333
Q136376832,Q136376832,nature reserve,Q414,Argentina,-32.211726096991,-64.416117967108
Q24789632,Islote Lobos National Park,national park,Q414,Argentina,-41.431944444444,-65.058611111111
Q115943545,Santa Catalina nature reserve,nature reserve,Q414,Argentina,-34.78,-58.436944444444
Q106542328,Q106542328,nature reserve,Q414,Argentina,-35.015638888889,-58.426722222222
Q9018874,Villa La Rancherita y Las Cascadas,nature reserve,Q414,Argentina,-31.7569,-64.4589
Q117012245,Q117012245,nature reserve,Q414,Argentina,-34.767361111111,-58.462055555556
Q57072712,Iguazú National Park World Heritage Site,nature reserve,Q414,Argentina,-25.666666666667,-54.4
Q106520148,Q106520148,nature reserve,Q414,Argentina,-34.701083333333,-58.920722222222
Q130325273,Reserva Natural Urbana El Corredor,nature reserve,Q414,Argentina,-34.571997920292,-58.669063990727
Q6106241,Ciudad Universitaria Ecological Reserve (Buenos Aires),nature reserve,Q414,Argentina,-34.5397,-58.4439
Q114338448,Q114338448,nature reserve,Q414,Argentina,-34.670186111111,-58.655130555556
Q20021979,Q20021979,nature reserve,Q414,Argentina,-32.879808568915,-68.92390438671
Q17626186,El Impenetrable National Park,national park,Q414,Argentina,-25.0095,-60.9959
Q6106152,Q6106152,nature reserve,Q414,Argentina,-53.33333333,-68.5
Q6106261,Parque Natural Municipal Ribera Norte,nature reserve,Q414,Argentina,-34.47,-58.49611111
Q3179197,Quissama National Park,national park,Q916,Angola,-9.68776,13.74489
Q41272935,Traslasierra National Park,national park,Q414,Argentina,-31.158333,-65.459444
Q6106316,Otamendi natural reserve,nature reserve,Q414,Argentina,-34.2342,-58.8861
Q136351093,Q136351093,nature reserve,Q414,Argentina,-34.645373555396,-59.299769189046
Q16624968,Q16624968,nature reserve,Q414,Argentina,-22.6,-66.91666667
Q106526597,Q106526597,nature reserve,Q414,Argentina,-35.216694444444,-58.663166666667
Q6106164,Nature reserve Punta del Marqués,nature reserve,Q414,Argentina,-45.9575,-67.53888889
Q3123444,Cameia National Park,national park,Q916,Angola,-11.88333333,21.66666667
Q16892622,Iberá Provincial Reserve,nature reserve,Q414,Argentina,-28.6,-57.8003
Q58233041,Aconguija National Park,national park,Q414,Argentina,-27.191215,-65.813987
Q16624955,Q16624955,nature reserve,Q414,Argentina,,
Q56601141,Nelson's Dockyard National Park,national park,Q781,Antigua and Barbuda,,
Q134175521,Campo San Juan Federal Park,nature reserve,Q414,Argentina,,
Q3123455,Bicuari National Park,national park,Q916,Angola,-15.333333333333,14.833333333333
Q3123422,Iona National Park,national park,Q916,Angola,-16.66666667,12.33333333
Q59607912,Iberá National Park,national park,Q414,Argentina,-28.2605465,-58.6215364
Q25409172,Q25409172,nature reserve,Q414,Argentina,-32.829297222222,-65.469633333333
Q23901194,Reserva natural Aguas Chiquitas,nature reserve,Q414,Argentina,-26.586666666667,-65.192777777778
Q6106248,Q6106248,nature reserve,Q414,Argentina,-44.91666667,-65.55
Q50684942,Q50684942,nature reserve,Q414,Argentina,,
Q134730566,Somuncurá Provincial Reserve,nature reserve,Q414,Argentina,-41.35,-66.9
Q16624958,Q16624958,nature reserve,Q414,Argentina,-28.90996389,-60.17015278
Q105396975,Q105396975,nature reserve,Q414,Argentina,-34.738166666667,-58.541611111111
Q126474106,Q126474106,nature reserve,Q414,Argentina,-32.1593,-64.5087
Q11171903,Villavicencio Natural Reserve,nature reserve,Q414,Argentina,-32.52694444,-69.01833333
Q127256364,Q127256364,nature reserve,Q414,Argentina,-32.168977867109,-64.474133761015
