destination_wikidata_id,destination_name,venue_name,venue_wikidata_id,venue_category
Q1017,Aachen,Aachen Town Hall,Q300747,historic site
Q1017,Aachen,Karlsbrunnen,Q1733907,historic site
Q1017,Aachen,Granus Tower,Q1543263,attraction
Q1017,Aachen,Haus Löwenstein,Q1590335,historic site
Q1017,Aachen,Hühnerdieb,Q1652164,historic site
Q1017,Aachen,Hühnerdieb,Q1652164,cultural site
Q1017,Aachen,Centre Charlemagne,Q17278003,cultural site
Q1017,Aachen,Büchelpalais,Q62649145,historic site
Q1017,Aachen,Haus Monheim,Q1590371,historic site
Q1017,Aachen,Rote Burg — Büchel Museum Aachen,Q62665060,cultural site
Q1017,Aachen,Rote Burg,Q62630249,historic site
Q1017,Aachen,Aula Carolina,Q771477,religious site
Q1017,Aachen,Haus zum Lindenbaum,Q1590945,historic site
Q1017,Aachen,Haus zum Mohren,Q36413491,historic site
Q1017,Aachen,Domkeller,Q1238483,historic site
Q25319,Aarhus,Aarhus Teater,Q1138832,cultural site
Q25319,Aarhus,Bank of Denmark,Q23042091,historic site
Q25319,Aarhus,Aarhus Custom House,Q11956740,historic site
Q25319,Aarhus,Business- and Agricultural Bank of Jutland,Q16323817,historic site
Q25319,Aarhus,Pakhus 13,Q23042093,historic site
Q25319,Aarhus,Trods Katholm,Q23042150,historic site
Q25319,Aarhus,Sankt Olufs Kirke,Q25044215,historic site
Q25319,Aarhus,Mønsted's House,Q23042138,historic site
Q25319,Aarhus,Badeanstalten Spanien,Q12302722,historic site
Q25319,Aarhus,Aarhus Courthouse,Q16324347,historic site
Q25319,Aarhus,Aarhus City Hall,Q1323311,historic site
Q25319,Aarhus,Smykkeskrinet,Q12310241,historic site
Q25319,Aarhus,Ridehuset,Q12333448,historic site
Q25319,Aarhus,The Viking Museum,Q4992847,cultural site
Q25319,Aarhus,Aarhus Cathedral,Q491260,religious site
Q36405,Aberdeen,BrewDog Flagship,Q11838975,historic site
Q36405,Aberdeen,Marischal College,Q11838975,historic site
Q36405,Aberdeen,Robert Gordon's College,Q7344852,historic site
Q36405,Aberdeen,St Margaret of Scotland,Q17769890,religious site
Q36405,Aberdeen,Aberdeen Art Gallery,Q4666883,cultural site
Q36405,Aberdeen,Greyfriars Church,Q17576396,religious site
Q36405,Aberdeen,Kirk of St. Nicholas Uniting,Q6415558,religious site
Q36405,Aberdeen,"General, South And West United Free Churches, East, 69-71 Schoolhill, Aberdeen",Q17576393,historic site
Q36405,Aberdeen,His Majesty's Theatre,Q11838966,cultural site
Q36405,Aberdeen,"Municipal Buildings And Tolbooth, Castle Street, Aberdeen",Q17576433,historic site
Q36405,Aberdeen,Gerrard Street Baptist Church,Q5552499,religious site
Q36405,Aberdeen,William Wallace Statue,Q8019940,historic site
Q36405,Aberdeen,Well O'Spa,Q17770631,historic site
Q36405,Aberdeen,Central Library,Q5061354,attraction
Q36405,Aberdeen,St. Andrews Cathedral,Q2942298,religious site
Q1515,Abidjan,Museum of Civilizations in Ivory Coast,Q16888110,cultural site
Q1515,Abidjan,palais présidentiel d'Abidjan,Q3361212,palace
Q1515,Abidjan,Sanctuaire Marial,Q3471723,religious site
Q1515,Abidjan,Palais de la Culture d'Abidjan,Q3361061,cultural site
Q1519,Abu Dhabi,"Al Hilal, Al Bahar Tower",Q15707433,attraction
Q1519,Abu Dhabi,Vicariate Apostolic of Southern Arabia,Q620438,religious site
Q1519,Abu Dhabi,"St. Joseph's Cathedral, Abu Dhabi",Q7589067,religious site
Q1519,Abu Dhabi,Tala Tower,Q2389808,attraction
Q1519,Abu Dhabi,Sky Tower,Q1435741,attraction
Q1519,Abu Dhabi,Capital Gate,Q1034660,attraction
Q1519,Abu Dhabi,Qasr Al Hosn,Q7267042,fortress
Q1519,Abu Dhabi,Qasr Al Hosn,Q7267042,fortress
Q1519,Abu Dhabi,Qasr Al Hosn,Q7267042,fortress
Q1519,Abu Dhabi,The Landmark,Q1735111,attraction
Q1519,Abu Dhabi,Louvre Abu Dhabi,Q3176133,cultural site
Q1519,Abu Dhabi,Louvre Abu Dhabi,Q3176133,cultural site
Q1519,Abu Dhabi,Louvre Museum Abu Dhabi,Q3176133,cultural site
Q1519,Abu Dhabi,Oasis of Dignity,Q60764817,historic site
Q1519,Abu Dhabi,Fouquet's Abu Dhabi,Q3176133,cultural site
Q3787,Abuja,Millennium Tower,Q6858955,attraction
Q3787,Abuja,Abuja National Mosque,Q1430127,religious site
Q3787,Abuja,Aso Rock,Q3500817,geological formation
Q3787,Abuja,Aso Rock,Q3500817,geological formation
Q3761,Accra,National Museum,Q1967472,cultural site
Q3761,Accra,Osu Castle,Q1082964,fortress
Q3761,Accra,Ussher Fort,Q2424003,fortress
Q3761,Accra,James Town,Q5471403,fortress
Q3761,Accra,James Fort,Q5471403,fortress
Q3761,Accra,Fort Augustaborg,Q1438441,fortress
Q3761,Accra,Efua Sutherland Children's Park,Q63466847,cultural site
Q3761,Accra,National Theatre,Q6978924,cultural site
Q3761,Accra,Black Star Gate,Q98410976,historic site
Q3761,Accra,Independence Arch,Q1661042,historic site
Q3761,Accra,Liberation Day Monument,Q6540999,historic site
Q3761,Accra,Black Star Square,Q4921908,cultural site
Q3761,Accra,Independence Arch,Q1661042,historic site
Q3761,Accra,Holly Spirit Cathedral,Q3663658,religious site
Q3761,Accra,The Church of Jesus Christ of Latter-day Saints,Q3086561,religious site
Q38545,Adana,Museum of Adana,Q195019,cultural site
Q38545,Adana,Kuruköprü Monumental Church,Q24646859,religious site
Q38545,Adana,Saint Paul,Q12808789,religious site
Q38545,Adana,Tepebağ,Q7701247,historic site
Q38545,Adana,Merkez Park,Q6819632,cultural site
Q38545,Adana,Sabancı Cultural Center,Q7395878,theatre
Q38545,Adana,Kemeraltı Mosque,Q66475469,religious site
Q38545,Adana,Adana Cinema Museum,Q4680607,museum
Q38545,Adana,Sabancı Merkez Camii,Q1381468,religious site
Q38545,Adana,Surp Asdvadzadzin Cathedral (Adana),Q96092101,religious site
Q38545,Adana,Atatürk Museum,Q6014804,museum
Q38545,Adana,Yağ Camii,Q3906407,religious site
Q38545,Adana,Great Mosque,Q4022219,religious site
Q38545,Adana,Büyük Saat,Q251099,attraction
Q38545,Adana,Taşköprü,Q1438450,attraction
Q3624,Addis Ababa,The Nativity of the Blessed Virgin Mary Catholic Cathedral,Q26756840,religious site
Q3624,Addis Ababa,Sebastopol,Q7442725,historic site
Q3624,Addis Ababa,St. George's Cathedral,Q641447,religious site
Q3624,Addis Ababa,Minilik ll Square,Q288719,historic site
Q3624,Addis Ababa,National Theatre,Q582018,cultural site
Q3624,Addis Ababa,Hager Fiker Theatre,Q582193,cultural site
Q3624,Addis Ababa,"Saint George Armenian Apostolic church, Addis Ababa",Q94948831,religious site
Q3624,Addis Ababa,Monument to the Lion of Judah,Q3323361,historic site
Q3624,Addis Ababa,Addis Abeba train station,Q3968826,attraction
Q3624,Addis Ababa,Menelik II Palace,Q3610474,palace
Q3624,Addis Ababa,Meyazia 27 monument,Q3317316,historic site
Q3624,Addis Ababa,national museum,Q2652168,cultural site
Q3624,Addis Ababa,National Museum,Q2652168,cultural site
Q3624,Addis Ababa,Ethnological Museum,Q6585314,cultural site
Q3624,Addis Ababa,Africa Park,Q19460112,cultural site
Q5112,Adelaide,Pilgrim Uniting,Q23073786,religious site
Q5112,Adelaide,Torrens Building,Q19880054,historic site
Q5112,Adelaide,Adelaide Town Hall,Q4681798,cultural site
Q5112,Adelaide,Flinders Street Baptist Church,Q55611792,religious site
Q5112,Adelaide,Queen's Theatre,Q7270118,theatre
