cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmacc_6347363086,2,1.0,1.0,
osmacc_2522658639,7,21.0,1.0,0.0
osmacc_1939682888,2,1.0,1.0,
osmacc_10125707831,198,1246.0,0.06388760703481515,0.14570599813529472
osmacc_104373476,50,316.0,0.25795918367346937,0.2627551020408163
osmacc_318205539,2,1.0,1.0,
osmacc_12595679737,3,3.0,1.0,0.0
osmacc_151081935,2,1.0,1.0,
osmacc_10217000218,83,292.0,0.08580664119894212,0.14950316169828365
osmacc_10118149017,121,520.0,0.07162534435261708,0.12205882352941176
osmacc_11032961093,185,600.0,0.03525264394829612,0.06875148491328106
osmacc_2810406252,4,6.0,1.0,0.0
osmacc_11590961133,2,1.0,1.0,
osmacc_101130676,3,3.0,1.0,0.0
osmacc_11481468260,256,880.0,0.02696078431372549,0.07163810406052185
osmacc_10027941294,94,585.0,0.1338366506520247,0.13791491351098645
osmacc_12070100351,3,2.0,0.6666666666666666,1.0
osmacc_308210316,4,6.0,1.0,0.0
osmacc_12136026901,4,6.0,1.0,0.0
osmacc_357291675,2,1.0,1.0,
osmacc_4568124081,4,4.0,0.6666666666666666,0.6666666666666666
osmacc_5478173884,4,6.0,1.0,0.0
osmacc_3359885665,3,3.0,1.0,0.0
osmacc_2758747369,4,3.0,0.5,0.3333333333333333
osmacc_442029433,7,12.0,0.5714285714285714,0.36666666666666664
osmacc_6343118997,4,6.0,1.0,0.0
osmacc_853618643,9,36.0,1.0,0.0
osmacc_7556268389,2,1.0,1.0,
osmacc_2080745518,2,1.0,1.0,
osmacc_11047308205,6,7.0,0.4666666666666667,0.2
osmacc_2421842400,2,1.0,1.0,
osmacc_2732739365,5,6.0,0.6,0.25
osmacc_8123233231,2,1.0,1.0,
osmacc_9657226517,2,1.0,1.0,
osmacc_1353092273,4,3.0,0.5,0.3333333333333333
osmacc_5342164911,2,1.0,1.0,
osmacc_5902439235,3,3.0,1.0,0.0
osmacc_1694209888,8,28.0,1.0,0.0
osmacc_4332360949,2,1.0,1.0,
osmacc_574699739,3,2.0,0.6666666666666666,1.0
