cluster_id,n_nodes,n_edges,density,cluster_centralisation
act_Q123361556,8,17.0,0.6071428571428571,0.3333333333333333
act_Q1019712,67,1363.0,0.6164631388511985,0.23916083916083916
act_Q1229314,3,2.0,0.6666666666666666,1.0
act_Q86282662,2,1.0,1.0,
act_Q4703397,2,1.0,1.0,
act_Q16566015,7,21.0,1.0,0.0
act_Q2190196,1,0.0,,
act_Q3330049,1,0.0,,
act_Q13433903,1,0.0,,
act_Q61366267,1,0.0,,
act_Q134547661,1,0.0,,
act_Q1584223,1,0.0,,
act_Q139819961,1,0.0,,
act_Q4869682,1,0.0,,
act_Q137810465,1,0.0,,
act_Q961493,1,0.0,,
act_Q5918067,1,0.0,,
act_Q10940165,1,0.0,,
act_Q12287855,1,0.0,,
act_Q164502,1,0.0,,
act_Q126971,1,0.0,,
act_Q151195,1,0.0,,
act_Q1206138,9,31.0,0.8611111111111112,0.17857142857142858
act_Q813225,2,1.0,1.0,
act_Q11311288,2,1.0,1.0,
act_Q11858803,4,6.0,1.0,0.0
act_Q260983,2,1.0,1.0,
act_Q137917063,2,1.0,1.0,
act_Q1439627,5,10.0,1.0,0.0
act_Q3005966,6,15.0,1.0,0.0
act_Q133982,19,112.0,0.6549707602339181,0.19934640522875818
act_Q18497390,4,6.0,1.0,0.0
act_Q28678559,2,1.0,1.0,
act_Q830476,1,0.0,,
act_Q1205630,1,0.0,,
act_Q643129,1,0.0,,
act_Q3329680,1,0.0,,
act_Q11366289,1,0.0,,
act_Q11386670,1,0.0,,
act_Q11629456,1,0.0,,
act_Q11398092,1,0.0,,
act_Q11881426,1,0.0,,
act_Q12359399,1,0.0,,
act_Q130265931,1,0.0,,
act_Q810100,1,0.0,,
act_Q6033496,1,0.0,,
act_Q12908756,11,55.0,1.0,0.0
act_Q12906500,5,5.0,0.5,0.4166666666666667
act_Q104130528,2,1.0,1.0,
act_Q2605238,2,1.0,1.0,
act_Q11095756,2,1.0,1.0,
act_Q5123171,5,10.0,1.0,0.0
act_Q10945435,3,3.0,1.0,0.0
act_Q10968002,5,9.0,0.9,0.16666666666666666
act_Q125589,2,1.0,1.0,
act_Q11123349,15,92.0,0.8761904761904762,0.14285714285714285
act_Q11983764,8,28.0,1.0,0.0
act_Q11971813,4,6.0,1.0,0.0
act_Q10333382,1,0.0,,
act_Q68541460,1,0.0,,
act_Q107549424,1,0.0,,
act_Q4146874,1,0.0,,
act_Q4306363,1,0.0,,
