cluster_id,n_nodes,n_edges,density,cluster_centralisation
dest_Q124014067,2,1.0,1.0,
dest_Q18343711,2,1.0,1.0,
dest_Q4949630,2,1.0,1.0,
dest_Q108402606,4,3.0,0.5,0.3333333333333333
dest_Q2886949,3,2.0,0.6666666666666666,1.0
dest_Q139882412,12,55.0,0.8333333333333334,0.2
dest_Q122142242,2,1.0,1.0,
dest_Q4518634,1,0.0,,
dest_Q14201642,1,0.0,,
dest_Q6799822,1,0.0,,
dest_Q5558741,1,0.0,,
dest_Q11691086,1,0.0,,
dest_Q139251377,1,0.0,,
dest_Q4899540,1,0.0,,
dest_Q138921059,1,0.0,,
dest_Q7281477,1,0.0,,
dest_Q6275410,1,0.0,,
dest_Q5763033,1,0.0,,
dest_Q109975713,1,0.0,,
dest_Q2164884,1,0.0,,
dest_Q5434618,1,0.0,,
dest_Q109451391,1,0.0,,
dest_Q6546412,1,0.0,,
dest_Q16979696,1,0.0,,
dest_Q6316403,1,0.0,,
dest_Q5602815,1,0.0,,
dest_Q5303356,1,0.0,,
dest_Q5059303,1,0.0,,
dest_Q113785428,1,0.0,,
dest_Q113945816,1,0.0,,
dest_Q60656450,1,0.0,,
dest_Q115180808,1,0.0,,
dest_Q3429967,1,0.0,,
dest_Q10260503,1,0.0,,
dest_Q9670956,1,0.0,,
dest_Q16497580,1,0.0,,
dest_Q285218,1,0.0,,
dest_Q7061647,1,0.0,,
dest_Q25383226,1,0.0,,
dest_Q5617831,1,0.0,,
dest_Q7253832,1,0.0,,
dest_Q5092308,1,0.0,,
dest_Q6155048,1,0.0,,
dest_Q106808795,1,0.0,,
dest_Q5327949,1,0.0,,
dest_Q846416,1,0.0,,
dest_Q8957,1,0.0,,
dest_Q6906110,1,0.0,,
dest_Q4883683,2,1.0,1.0,
dest_Q16510553,6,15.0,1.0,0.0
dest_Q3133405,2,1.0,1.0,
dest_Q109083453,4,3.0,0.5,0.3333333333333333
dest_Q7820922,3,2.0,0.6666666666666666,1.0
dest_Q104661310,24,31.0,0.11231884057971014,0.11462450592885376
dest_Q4731137,1,0.0,,
dest_Q4709270,1,0.0,,
dest_Q7680857,1,0.0,,
dest_Q115978346,1,0.0,,
dest_Q115978368,1,0.0,,
dest_Q125374556,1,0.0,,
dest_Q7979188,1,0.0,,
dest_Q7492961,1,0.0,,
dest_Q14874900,1,0.0,,
dest_Q55650578,1,0.0,,
dest_Q16257024,1,0.0,,
dest_Q3069318,1,0.0,,
dest_Q14688417,1,0.0,,
dest_Q5773562,1,0.0,,
dest_Q6927937,1,0.0,,
dest_Q7188502,1,0.0,,
dest_Q16923571,1,0.0,,
dest_Q97196719,1,0.0,,
dest_Q105835937,1,0.0,,
dest_Q111740025,1,0.0,,
dest_Q5617871,1,0.0,,
dest_Q6431410,1,0.0,,
dest_Q4733738,1,0.0,,
dest_Q3337596,1,0.0,,
dest_Q4690833,1,0.0,,
dest_Q18109344,1,0.0,,
dest_Q4944717,1,0.0,,
dest_Q62607750,1,0.0,,
dest_Q115160557,1,0.0,,
dest_Q3908720,2,1.0,1.0,
dest_Q122396855,2,1.0,1.0,
dest_Q5368569,1,0.0,,
dest_Q5579890,1,0.0,,
dest_Q5123507,1,0.0,,
dest_Q33214506,1,0.0,,
dest_Q7586182,1,0.0,,
dest_Q12190454,1,0.0,,
dest_Q740775,1,0.0,,
dest_Q16830801,1,0.0,,
dest_Q6118839,1,0.0,,
dest_Q3376514,1,0.0,,
dest_Q132175491,1,0.0,,
dest_Q6708294,1,0.0,,
dest_Q28125592,1,0.0,,
dest_Q1243547,1,0.0,,
dest_Q115178219,1,0.0,,
dest_Q7492670,1,0.0,,
dest_Q5330805,1,0.0,,
dest_Q24236262,1,0.0,,
dest_Q6479073,1,0.0,,
dest_Q109406227,1,0.0,,
dest_Q11689938,1,0.0,,
dest_Q3413040,1,0.0,,
dest_Q5569443,1,0.0,,
dest_Q15223130,1,0.0,,
dest_Q4998778,1,0.0,,
dest_Q5366980,1,0.0,,
dest_Q15256384,1,0.0,,
dest_Q117254618,1,0.0,,
dest_Q99979908,1,0.0,,
dest_Q115387279,1,0.0,,
dest_Q7306608,1,0.0,,
dest_Q14709275,1,0.0,,
dest_Q98546791,1,0.0,,
dest_Q4960386,1,0.0,,
dest_Q7986316,1,0.0,,
dest_Q7811494,1,0.0,,
dest_Q10551029,1,0.0,,
dest_Q98574557,1,0.0,,
dest_Q5056822,1,0.0,,
dest_Q7005114,1,0.0,,
dest_Q7548990,1,0.0,,
dest_Q12627615,1,0.0,,
dest_Q2997214,1,0.0,,
dest_Q15217229,1,0.0,,
dest_Q7419949,1,0.0,,
dest_Q1307143,1,0.0,,
dest_Q5243855,1,0.0,,
dest_Q5244025,1,0.0,,
dest_Q7681721,1,0.0,,
dest_Q4951319,1,0.0,,
dest_Q6481589,1,0.0,,
dest_Q2036725,1,0.0,,
dest_Q2683344,1,0.0,,
dest_Q4379940,1,0.0,,
dest_Q11279727,1,0.0,,
dest_Q2245976,1,0.0,,
dest_Q2287228,1,0.0,,
dest_Q3041475,1,0.0,,
dest_Q16358340,1,0.0,,
dest_Q19460762,1,0.0,,
dest_Q7336592,1,0.0,,
dest_Q1068356,1,0.0,,
dest_Q2901629,1,0.0,,
dest_Q12411698,1,0.0,,
dest_Q13479684,3,2.0,0.6666666666666666,1.0
dest_Q9249255,3,2.0,0.6666666666666666,1.0
dest_Q106704678,5,4.0,0.4,0.5833333333333334
dest_Q137772128,2,1.0,1.0,
dest_Q137644861,6,6.0,0.4,0.3
dest_Q106887201,1,0.0,,
dest_Q11798154,1,0.0,,
