truth_threshold,match_probability,total_clerical_labels,p,n,tp,tn,fp,fn,P_rate,N_rate,tp_rate,tn_rate,fp_rate,fn_rate,precision,recall,specificity,npv,accuracy,f1,f2,f0_5,p4,phi
-28.10000041872263,3.475817730626647e-09,149688253.0,95.0,149688158.0,95.0,149601442.0,86716.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9994206889766123,0.0005793110233877018,0.0,0.001094331363536879,1.0,0.9994206889766123,1.0,0.9994206893442734,0.0021862702229995625,0.005447809980387884,0.0013675400689240195,0.004362998986694498,0.033071096221848215
-26.900000400841236,7.985332281844441e-09,149688253.0,95.0,149688158.0,95.0,149617780.0,70378.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995298358872183,0.0004701641127817205,0.0,0.001348033998836434,1.0,0.9995298358872183,1.0,0.9995298361856091,0.0026924384990363905,0.006704021001227895,0.0016844748162149318,0.005370414087657223,0.03670695031771737
-20.10000029951334,8.898086238977229e-07,149688253.0,95.0,149688158.0,95.0,149627059.0,61099.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995918247587762,0.0004081752412238248,0.0,0.0015524397816779423,1.0,0.9995918247587762,1.0,0.9995918250178255,0.0031000668961803915,0.007714294994640595,0.001939796872639063,0.006180968464433251,0.03939297036522596
-19.900000296533108,1.0221215694048732e-06,149688253.0,95.0,149688158.0,95.0,149627084.0,61074.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995919917726558,0.0004080082273442098,0.0,0.0015530742696463894,1.0,0.9995919917726558,1.0,0.9995919920315992,0.0031013319404544267,0.007717428390388146,0.0019405893672044482,0.006183482933991905,0.03940102286193465
-19.500000290572643,1.3486970617214505e-06,149688253.0,95.0,149688158.0,95.0,149627085.0,61073.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.999591998453211,0.0004080015467890252,0.0,0.0015530996599529166,1.0,0.999591998453211,1.0,0.9995919987121501,0.0031013825637007655,0.00771755377916423,0.0019406210804561073,0.006183583555327883,0.03940134506446878
-18.700000278651714,2.348215645907411e-06,149688253.0,95.0,149688158.0,95.0,149627436.0,60722.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995943433280807,0.00040565667191923093,0.0,0.001562063238897019,1.0,0.9995943433280807,1.0,0.9995943435855317,0.0031192540057788285,0.0077618183897903495,0.0019518168332901878,0.0062191051067836895,0.03951492854001131
-18.30000027269125,3.098486809064348e-06,149688253.0,95.0,149688158.0,95.0,149627446.0,60712.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995944101336326,0.00040558986636738493,0.0,0.0015623201276168863,1.0,0.9995944101336326,1.0,0.9995944103910411,0.00311976618173459,0.007763086930230278,0.0019521376935184918,0.0062201230968859855,0.03951817893584044
-16.20000024139881,1.328336874067903e-05,149688253.0,95.0,149688158.0,95.0,149627787.0,60371.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9995966882029506,0.0004033117970494366,0.0,0.0015711308834717031,1.0,0.9995966882029506,1.0,0.9995966884589134,0.0031373326067931505,0.007806593695559281,0.0019631425158807897,0.006255037122745775,0.0396294994650663
-15.000000223517418,3.0516642103032495e-05,149688253.0,95.0,149688158.0,95.0,149632197.0,55961.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996261494513147,0.00037385054868535427,0.0,0.0016947338375909804,1.0,0.9996261494513147,1.0,0.9996261496885798,0.003383733148118466,0.008416613509107662,0.0021175201387310036,0.00674463996679355,0.0411594492239136
-13.700000204145908,7.51374349434771e-05,149688253.0,95.0,149688158.0,95.0,149634316.0,53842.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996403055477509,0.0003596944522491886,0.0,0.0017613141257392885,1.0,0.9996403055477509,1.0,0.9996403057760317,0.0035164347053597868,0.008744960141392198,0.002200673637783018,0.007008221025342094,0.04196046461634561
-12.500000186264515,0.00017260367204143044,149688253.0,95.0,149688158.0,95.0,149634384.0,53774.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996407598255034,0.0003592401744966359,0.0,0.0017635374705303607,1.0,0.9996407598255034,1.0,0.999640760053496,0.003520865762360092,0.008755921768143191,0.002203450371339373,0.007017021096102429,0.04198694960367705
-12.300000183284283,0.00019826446591752426,149688253.0,95.0,149688158.0,95.0,149634413.0,53745.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996409535616038,0.0003590464383962825,0.0,0.0017644873699851412,1.0,0.9996409535616038,1.0,0.9996409537894734,0.003522758876425327,0.008760604942825526,0.002204636699078694,0.007020780793335509,0.0419982599291846
-11.500000171363354,0.00034514777387400505,149688253.0,95.0,149688158.0,95.0,149634488.0,53670.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996414546032426,0.00035854539675743755,0.0,0.001766948758486004,1.0,0.9996414546032426,1.0,0.9996414548307943,0.003527664314890457,0.00877273986517684,0.002207710720178476,0.0070305228573867675,0.04202755319004834
-11.300000168383121,0.00039645033391533577,149688253.0,95.0,149688158.0,95.0,149639276.0,48882.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996734411014664,0.0003265588985335767,0.0,0.001939685975049513,1.0,0.9996734411014664,1.0,0.9996734413087178,0.0038718617541571567,0.009623761573839576,0.002423432294403657,0.0077138516628287674,0.04403467444337473
-11.10000016540289,0.00045537500230174836,149688253.0,95.0,149688158.0,95.0,149639329.0,48829.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996737951708912,0.000326204829108793,0.0,0.0019417872618755622,1.0,0.9996737951708912,1.0,0.9996737953779179,0.0038760480629959813,0.0096341067661853,0.0024260563560122785,0.007722159780047548,0.044058527454893866
-10.30000015348196,0.0007925864548491303,149688253.0,95.0,149688158.0,95.0,149639377.0,48781.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9996741158375401,0.0003258841624599322,0.0,0.00194369424666503,1.0,0.9996741158375401,1.0,0.9996741160443632,0.003879847256539585,0.00964349520870554,0.0024284377731992493,0.007729699571169333,0.044080163650936886
-9.300000138580799,0.0015839175344616876,149688253.0,95.0,149688158.0,95.0,149644305.0,43853.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997070376134898,0.0002929623865102275,0.0,0.002161645581141349,1.0,0.9997070376134898,1.0,0.999707037799419,0.00431396589696433,0.010715574805991699,0.0027005975427405095,0.008590865662150097,0.04648668949595259
-8.200000122189522,0.0033890630432542824,149688253.0,95.0,149688158.0,95.0,149644309.0,43849.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997070643357105,0.0002929356642894891,0.0,0.002161842344802476,1.0,0.9997070643357105,1.0,0.9997070645216228,0.00431435772837712,0.010716541828354841,0.002700843231686861,0.008591642606300822,0.0464888057932134
-8.00000011920929,0.0038910502633927486,149688253.0,95.0,149688158.0,95.0,149644311.0,43847.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997070776968209,0.00029292230317911987,0.0,0.002161940740066451,1.0,0.9997070776968209,1.0,0.9997070778827247,0.004314553670776847,0.010717025404990749,0.002700966092924606,0.008592031131077756,0.046489864050194146
-7.600000113248825,0.0051278965144870335,149688253.0,95.0,149688158.0,95.0,149644312.0,43846.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997070843773761,0.0002929156226239353,0.0,0.0021619899410573267,1.0,0.9997070843773761,1.0,0.9997070845632756,0.004314651648651103,0.010717267209674872,0.002701027527735288,0.008592225406643703,0.0464903932057757
-6.900000102818012,0.008303700786279804,149688253.0,95.0,149688158.0,95.0,149644469.0,43689.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.99970813322454,0.0002918667754599532,0.0,0.002169742371642609,1.0,0.99970813322454,1.0,0.9997081334097739,0.004330089564484149,0.010755366361742597,0.002710707580279745,0.008622836026273792,0.046573695321855436
-6.400000095367432,0.011702953955477532,149688253.0,95.0,149688158.0,95.0,149644472.0,43686.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997081532662055,0.00029184673379439944,0.0,0.0021698910486284005,1.0,0.9997081532662055,1.0,0.9997081534514268,0.004330385632236302,0.010756097008672812,0.002710893225049795,0.008623423066355154,0.04657529144313719
-6.000000089406967,0.015384614445865122,149688253.0,95.0,149688158.0,95.0,149644515.0,43643.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997084405300786,0.00029155946992146165,0.0,0.002172024326672459,1.0,0.9997084405300786,1.0,0.9997084407151174,0.004334633723450368,0.010766580534022395,0.0027135569304244005,0.008631846099632167,0.04659818722237076
-5.700000084936619,0.01887356650421064,149688253.0,95.0,149688158.0,95.0,149644516.0,43642.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997084472106337,0.00029155278936627703,0.0,0.002172073987699202,1.0,0.9997084472106337,1.0,0.9997084473956683,0.004334732615440774,0.01076682458009384,0.002713618939346332,0.008632042179913584,0.046598720084025685
-5.500000081956387,0.02161936078957948,149688253.0,95.0,149688158.0,95.0,149645442.0,42716.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997146334047347,0.0002853665952653382,0.0,0.0022190558501319754,1.0,0.9997146334047347,1.0,0.9997146335858432,0.004428285088332634,0.010997661549859924,0.0027722818506002718,0.008817518119787898,0.04710013381848634
-4.500000067055225,0.04232371044088178,149688253.0,95.0,149688158.0,95.0,149645446.0,42712.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997146601269554,0.00028533987304459984,0.0,0.0022192632046160675,1.0,0.9997146601269554,1.0,0.999714660308047,0.0044286979627989375,0.010998680158380994,0.0027725407563491183,0.008818336602863248,0.04710233497752537
-4.300000064074993,0.048313119674570026,149688253.0,95.0,149688158.0,95.0,149645548.0,42610.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997153415435842,0.0002846584564157707,0.0,0.002224563868399485,1.0,0.9997153415435842,1.0,0.9997153417242434,0.0044392523364485985,0.011024718579552048,0.0027791592311967937,0.008839259383479726,0.047158568971953634
-3.7000000551342964,0.07144878715678568,149688253.0,95.0,149688158.0,95.0,149645555.0,42603.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997153883074705,0.0002846116925294785,0.0,0.002224928568082814,1.0,0.9997153883074705,1.0,0.9997153884881,0.004439978501156731,0.011026510051534426,0.0027796145991210567,0.008840698901801919,0.04716243555412819
-3.500000052154064,0.08121030044424019,149688253.0,95.0,149688158.0,95.0,149645557.0,42601.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997154016685809,0.00028459833141910933,0.0,0.0022250327899569046,1.0,0.9997154016685809,1.0,0.9997154018492019,0.004440186020424856,0.011027022007614448,0.0027797447316522217,0.008841110278873323,0.047163540466524885
-3.300000049173832,0.09217307161544283,149688253.0,95.0,149688158.0,95.0,149652433.0,35725.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9997613371660302,0.0002386628339698054,0.0,0.00265214963707426,1.0,0.9997613371660302,1.0,0.9997613373174982,0.005290268689962411,0.013121546961325966,0.0033129904097646034,0.010524851441999765,0.05149287977503069
-3.1000000461935997,0.10444750015659417,149688253.0,95.0,149688158.0,95.0,149666784.0,21374.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9998572098134844,0.0001427901865156227,0.0,0.004424984861893894,1.0,0.9998572098134844,1.0,0.9998572099041065,0.008810981265071415,0.02174012540619708,0.005525118935454979,0.017468040958490475,0.06651581028206854
-2.500000037252903,0.15022110152606716,149688253.0,95.0,149688158.0,95.0,149666785.0,21373.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9998572164940396,0.0001427835059604381,0.0,0.0044251909819265885,1.0,0.9998572164940396,1.0,0.9998572165846574,0.008811389880814358,0.021741120468692785,0.005525376016378378,0.01746884397605834,0.06651735967131922
-1.3000000193715096,0.2888262766358852,149688253.0,95.0,149688158.0,95.0,149666787.0,21371.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9998572298551499,0.00014277014485006891,0.0,0.0044256032796049566,1.0,0.9998572298551499,1.0,0.9998572299457593,0.008812207226009925,0.021743110866977937,0.0055258902500029084,0.017470450232705974,0.06652045877460315
0.4000000059604645,0.5688740732440556,149688253.0,95.0,149688158.0,95.0,149667858.0,20300.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9998643847297526,0.00013561527024736318,0.0,0.004658004412846286,1.0,0.9998643847297526,1.0,0.9998643848158212,0.009272816007808687,0.02286401925391095,0.0058157330884603614,0.01837523033034415,0.06824494645260575
0.6000000089406967,0.6024989422185573,149688253.0,95.0,149688158.0,95.0,149676148.0,12010.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999197665322329,8.023346776703606e-05,0.0,0.00784799669558034,1.0,0.9999197665322329,1.0,0.9999197665831533,0.01557377049180328,0.03804565478574289,0.009790786354735648,0.030669876207420697,0.08858536574169815
1.600000023841858,0.7519492561137834,149688253.0,95.0,149688158.0,95.0,149676156.0,12002.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999198199766745,8.018002332555927e-05,0.0,0.007853186740514178,1.0,0.9999198199766745,1.0,0.9999198200275609,0.015583989501312337,0.03807004888995752,0.00979724852009983,0.030689691989560185,0.08861465494949547
2.3000000342726707,0.8312116004280432,149688253.0,95.0,149688158.0,95.0,149678104.0,10054.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999328336981741,6.716630182596007e-05,0.0,0.00936052813085033,1.0,0.9999328336981741,1.0,0.9999328337408013,0.018547442405310425,0.04511349605850508,0.011673342999680519,0.036419375848158464,0.09674657316304615
2.600000038743019,0.8584144256340188,149688253.0,95.0,149688158.0,95.0,149678109.0,10049.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.99993286710095,6.713289905003707e-05,0.0,0.009365141955835963,1.0,0.99993286710095,1.0,0.999932867143556,0.01855649965816974,0.045134929684530596,0.011679083376361536,0.03643683647558773,0.09677041514174904
2.9000000432133675,0.8818562391739494,149688253.0,95.0,149688158.0,95.0,149678121.0,10037.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999329472676122,6.705273238782189e-05,0.0,0.009376233714962495,1.0,0.9999329472676122,1.0,0.9999329473101674,0.018578273198396403,0.04518645357686454,0.011692883341949142,0.03647881036901665,0.09682770787781977
3.7000000551342964,0.9285512128432143,149688253.0,95.0,149688158.0,95.0,149678123.0,10035.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999329606287225,6.703937127745269e-05,0.0,0.009378084896347482,1.0,0.9999329606287225,1.0,0.9999329606712692,0.018581907090464547,0.04519505233111323,0.011695186507447988,0.03648581542157841,0.09683726656319996
3.9000000581145287,0.9372195616099515,149688253.0,95.0,149688158.0,95.0,149678127.0,10031.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999329873509433,6.701264905671429e-05,0.0,0.009381789452893542,1.0,0.9999329873509433,1.0,0.999932987393473,0.01858917914098425,0.04521225966114601,0.011699795561467032,0.03649983360091502,0.09685639242883975
4.100000061094761,0.9448986513716398,149688253.0,95.0,149688158.0,95.0,149678128.0,10030.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999329940314985,6.700596850152969e-05,0.0,0.009382716049382716,1.0,0.9999329940314985,1.0,0.9999329940740239,0.018590998043052837,0.04521656354117087,0.011700948392659194,0.03650333982900802,0.09686117566603583
4.300000064074993,0.9516868803254299,149688253.0,95.0,149688158.0,95.0,149678131.0,10027.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.999933014073164,6.69859268359759e-05,0.0,0.009385496937364157,1.0,0.999933014073164,1.0,0.9999330141156768,0.01859645688558285,0.04522948009902876,0.011704408249759752,0.03651386255621371,0.0968755296303096
4.500000067055225,0.9576762895591182,149688253.0,95.0,149688158.0,95.0,149678363.0,9795.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.9999345639619669,6.543603803314888e-05,0.0,0.009605662285136502,1.0,0.9999345639619669,1.0,0.999934564003496,0.01902854281422133,0.046251217137293084,0.011978312949186736,0.037346414528125225,0.0980052739838723
5.500000081956387,0.9783806392104205,149688253.0,95.0,149688158.0,95.0,149678364.0,9794.0,0.0,6.346523397530733e-07,0.9999993787087621,1.0,0.999934570642522,6.542935747796429e-05,0.0,0.009606633633329963,1.0,0.999934570642522,1.0,0.9999345706840469,0.019030448717948716,0.04625572110234687,0.011979521323547956,0.03735008529826627,0.09801022945317396
