cluster_id,n_nodes,n_edges,density,cluster_centralisation
fest_Q60969574,1,0.0,,
fest_Q56299731,1,0.0,,
fest_Q22082577,1,0.0,,
fest_Q21044497,1,0.0,,
fest_Q124808390,1,0.0,,
fest_Q106314769,1,0.0,,
fest_Q4968603,1,0.0,,
fest_Q1368654,1,0.0,,
fest_Q123156556,1,0.0,,
fest_Q16886667,1,0.0,,
fest_Q2123481,1,0.0,,
fest_Q112659908,1,0.0,,
fest_Q6381503,1,0.0,,
fest_Q782793,1,0.0,,
fest_Q746947,1,0.0,,
fest_Q138818063,1,0.0,,
fest_Q65129637,1,0.0,,
fest_Q2947200,1,0.0,,
fest_Q117662095,1,0.0,,
fest_Q130712784,1,0.0,,
fest_Q5861255,1,0.0,,
fest_Q10269,1,0.0,,
fest_Q6738769,1,0.0,,
fest_Q851227,1,0.0,,
fest_Q123317902,1,0.0,,
fest_Q130263899,1,0.0,,
fest_Q123998626,1,0.0,,
fest_Q17199583,1,0.0,,
fest_Q134293383,1,0.0,,
fest_Q3361439,1,0.0,,
fest_Q25211957,1,0.0,,
fest_Q5050564,1,0.0,,
fest_Q18354408,1,0.0,,
fest_Q64211308,1,0.0,,
fest_Q64211321,1,0.0,,
fest_Q64211287,1,0.0,,
fest_Q11536932,1,0.0,,
fest_Q21452641,1,0.0,,
fest_Q11611950,1,0.0,,
fest_Q118455731,1,0.0,,
fest_Q114957242,1,0.0,,
fest_Q113707371,1,0.0,,
fest_Q59814090,1,0.0,,
fest_Q5861826,1,0.0,,
fest_Q112615511,1,0.0,,
fest_Q110958110,1,0.0,,
fest_Q65054598,1,0.0,,
fest_Q112418032,1,0.0,,
fest_Q1851942,1,0.0,,
fest_Q13510235,1,0.0,,
fest_Q13070866,1,0.0,,
fest_Q129984196,1,0.0,,
fest_Q19392795,1,0.0,,
fest_Q17750586,1,0.0,,
fest_Q108527055,1,0.0,,
fest_Q108482211,1,0.0,,
fest_Q117087463,1,0.0,,
fest_Q117087551,1,0.0,,
fest_Q117087467,1,0.0,,
fest_Q117087466,1,0.0,,
fest_Q17385362,1,0.0,,
fest_Q30589848,1,0.0,,
fest_Q728037,1,0.0,,
fest_Q118774149,1,0.0,,
fest_Q108550619,1,0.0,,
fest_Q6523298,1,0.0,,
fest_Q24254507,1,0.0,,
fest_Q137427845,1,0.0,,
fest_Q4896555,1,0.0,,
fest_Q23653026,1,0.0,,
fest_Q123484962,1,0.0,,
fest_Q137455846,1,0.0,,
fest_Q698390,1,0.0,,
fest_Q682504,1,0.0,,
