cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmhub_2068421652,1,0.0,,
osmhub_270887749,1,0.0,,
osmhub_3149917971,1,0.0,,
osmhub_2170949382,23,40.0,0.15810276679841898,0.17532467532467533
osmhub_1219659660,2,1.0,1.0,
osmhub_2261676064,1,0.0,,
osmhub_1391737209,1,0.0,,
osmhub_1238821118,2,1.0,1.0,
osmhub_2531755860,1,0.0,,
osmhub_7016692192,1,0.0,,
osmhub_6562096833,1,0.0,,
osmhub_5135600467,1,0.0,,
osmhub_839712493,1,0.0,,
osmhub_30353879,1,0.0,,
osmhub_251192761,1,0.0,,
osmhub_6470310276,5,10.0,1.0,0.0
osmhub_732357005,1,0.0,,
osmhub_3032726976,3,3.0,1.0,0.0
osmhub_1466133284,3,3.0,1.0,0.0
osmhub_3391154047,2,1.0,1.0,
osmhub_302215672,1,0.0,,
osmhub_9446434487,1,0.0,,
osmhub_842280072,1,0.0,,
osmhub_288378850,4,3.0,0.5,0.3333333333333333
osmhub_253776211,1,0.0,,
osmhub_863276780,1,0.0,,
osmhub_247644624,1,0.0,,
osmhub_1685962312,1,0.0,,
osmhub_6974176123,2,1.0,1.0,
osmhub_1557329529,1,0.0,,
osmhub_346487068,1,0.0,,
osmhub_11506982636,1,0.0,,
osmhub_5631201271,1,0.0,,
osmhub_1106510871,1,0.0,,
osmhub_1790548941,1,0.0,,
osmhub_2434815659,1,0.0,,
osmhub_3730497336,1,0.0,,
osmhub_321793217,1,0.0,,
osmhub_5304749212,1,0.0,,
osmhub_487646322,1,0.0,,
osmhub_7052471488,1,0.0,,
osmhub_7757580978,1,0.0,,
osmhub_241158259,1,0.0,,
osmhub_12189351682,1,0.0,,
osmhub_5764129825,2,1.0,1.0,
osmhub_6131716479,1,0.0,,
osmhub_9563802206,1,0.0,,
osmhub_270244850,1,0.0,,
osmhub_1875097933,1,0.0,,
osmhub_3779576273,1,0.0,,
osmhub_3420540693,1,0.0,,
osmhub_24684950,1,0.0,,
osmhub_1201252911,12,12.0,0.18181818181818182,0.10909090909090909
osmhub_6169975206,1,0.0,,
osmhub_13483125367,1,0.0,,
osmhub_6309491946,1,0.0,,
osmhub_1500313216,4,4.0,0.6666666666666666,0.6666666666666666
osmhub_215643342,1,0.0,,
osmhub_369057143,1,0.0,,
osmhub_5058808323,1,0.0,,
osmhub_10693667204,1,0.0,,
osmhub_3778861787,1,0.0,,
osmhub_9591752587,1,0.0,,
osmhub_357901547,1,0.0,,
osmhub_10593095535,2,1.0,1.0,
osmhub_329576219,1,0.0,,
osmhub_10102610417,2,1.0,1.0,
osmhub_1490957454,1,0.0,,
osmhub_1371945799,1,0.0,,
osmhub_248781846,1,0.0,,
osmhub_1042040651,1,0.0,,
osmhub_4800346727,1,0.0,,
osmhub_1024597602,1,0.0,,
osmhub_7567538139,1,0.0,,
osmhub_561950467,3,2.0,0.6666666666666666,1.0
osmhub_71526236,1,0.0,,
osmhub_5922896616,1,0.0,,
osmhub_1257920207,5,5.0,0.5,0.4166666666666667
osmhub_4162854943,1,0.0,,
osmhub_2528889619,1,0.0,,
osmhub_5629903986,1,0.0,,
osmhub_7499401855,1,0.0,,
osmhub_2672700496,1,0.0,,
osmhub_7944287415,1,0.0,,
osmhub_1042011776,1,0.0,,
osmhub_3149917977,1,0.0,,
osmhub_1193923512,1,0.0,,
osmhub_2445363262,1,0.0,,
osmhub_5240172728,1,0.0,,
osmhub_6299160388,1,0.0,,
osmhub_4564112873,1,0.0,,
osmhub_1853996480,2,1.0,1.0,
osmhub_6700605934,1,0.0,,
osmhub_4158722989,1,0.0,,
osmhub_5194348148,1,0.0,,
osmhub_5603510042,1,0.0,,
osmhub_5750470911,1,0.0,,
osmhub_3345481882,1,0.0,,
osmhub_354496018,1,0.0,,
osmhub_129961831,2,1.0,1.0,
osmhub_1848140182,1,0.0,,
osmhub_10591198961,1,0.0,,
osmhub_317650215,1,0.0,,
osmhub_1380048008,1,0.0,,
osmhub_5594281055,2,1.0,1.0,
osmhub_1833107721,1,0.0,,
osmhub_9077267215,1,0.0,,
osmhub_248036851,1,0.0,,
osmhub_1137222499,3,3.0,1.0,0.0
osmhub_1836363894,1,0.0,,
osmhub_8792888564,1,0.0,,
osmhub_3644796570,2,1.0,1.0,
osmhub_8060376238,1,0.0,,
osmhub_3089365411,1,0.0,,
osmhub_7452565687,1,0.0,,
osmhub_50004010,1,0.0,,
osmhub_944574096,1,0.0,,
osmhub_597928321,1,0.0,,
osmhub_1123921281,1,0.0,,
osmhub_797226778,1,0.0,,
osmhub_3409473459,1,0.0,,
osmhub_115049006,1,0.0,,
osmhub_4769538488,2,1.0,1.0,
osmhub_6817760441,1,0.0,,
osmhub_1277275634,1,0.0,,
osmhub_5359891618,1,0.0,,
osmhub_1502089326,1,0.0,,
osmhub_8522734713,1,0.0,,
osmhub_9252446154,1,0.0,,
osmhub_5279927402,1,0.0,,
osmhub_835038952,1,0.0,,
osmhub_3637838906,1,0.0,,
osmhub_1051056404,1,0.0,,
osmhub_7111417241,1,0.0,,
osmhub_369052196,1,0.0,,
osmhub_1886174964,1,0.0,,
osmhub_7949558911,2,1.0,1.0,
osmhub_1118160027,1,0.0,,
osmhub_303973319,1,0.0,,
osmhub_2758757529,1,0.0,,
osmhub_3273454607,1,0.0,,
osmhub_1004976917,1,0.0,,
osmhub_9312150584,1,0.0,,
osmhub_8241891125,1,0.0,,
osmhub_469805156,1,0.0,,
osmhub_138912202,2,1.0,1.0,
osmhub_4746498449,1,0.0,,
