cluster_id,n_nodes,n_edges,density,cluster_centralisation
osm_1104986328,4,3.0,0.5,0.3333333333333333
osm_103246420,347,3486.0,0.0580699971681298,0.11891597553824244
osm_4288354791,2,1.0,1.0,
osm_2061583969,2,1.0,1.0,
osm_249554168,9,29.0,0.8055555555555556,0.25
osm_1335374843,2,1.0,1.0,
osm_1069813758,81,348.0,0.10740740740740741,0.13338607594936708
osm_1707904027,2,1.0,1.0,
osm_1648050614,3,3.0,1.0,0.0
osm_102414523,202,1933.0,0.09521698438500567,0.22039800995024875
osm_313205172,4,6.0,1.0,0.0
osm_356824129,2,1.0,1.0,
osm_356837615,4,3.0,0.5,0.3333333333333333
osm_1068915840,121,1097.0,0.15110192837465564,0.14292717086834733
osm_235914678,3,3.0,1.0,0.0
osm_1007514590,75,271.0,0.09765765765765766,0.16345797852647168
osm_12580937069,9,18.0,0.5,0.32142857142857145
osm_358698104,4,6.0,1.0,0.0
osm_4320265224,3,3.0,1.0,0.0
osm_357352142,4,4.0,0.6666666666666666,0.6666666666666666
osm_6346661786,4,6.0,1.0,0.0
osm_22755831,17,88.0,0.6470588235294118,0.25833333333333336
osm_7036857830,2,1.0,1.0,
osm_7948113804,3,2.0,0.6666666666666666,1.0
osm_13282237360,7,11.0,0.5238095238095238,0.43333333333333335
osm_4346516502,2,1.0,1.0,
osm_12538903288,5,6.0,0.6,0.6666666666666666
osm_1308624230,251,2306.0,0.07349800796812749,0.14767871485943776
osm_1243355191,2,1.0,1.0,
osm_1456653124,3,2.0,0.6666666666666666,1.0
osm_1154662682,68,317.0,0.1391571553994732,0.2564450474898236
osm_1300155120,2,1.0,1.0,
osm_2319522938,3,3.0,1.0,0.0
osm_1166286283,418,9789.0,0.11231971360710474,0.15460708356391809
osm_4462307967,3,3.0,1.0,0.0
np_Q20902920,7,21.0,1.0,0.0
np_Q20431050,5,7.0,0.7,0.5
np_Q12759119,2,1.0,1.0,
osm_1987617227,7,13.0,0.6190476190476191,0.3
osm_2600778171,57,401.0,0.25125313283208023,0.16525974025974027
osm_1032431986,189,9950.0,0.560058538781943,0.20272499715553532
osm_3423857972,2,1.0,1.0,
osm_158809984,335,1599.0,0.028581642684779696,0.12184639729549909
osm_1180948162,73,410.0,0.15601217656012176,0.21087636932707354
osm_1921021944,5,10.0,1.0,0.0
osm_1015079732,408,6883.0,0.08289974466445055,0.21051548637755535
osm_2163866165,308,1897.0,0.04012437074326325,0.0907581273551766
osm_2755159491,2,1.0,1.0,
osm_12520773564,2,1.0,1.0,
osm_4894736165,2,1.0,1.0,
osm_1347465209,51,154.0,0.1207843137254902,0.26979591836734695
osm_1392334313,4,3.0,0.5,0.3333333333333333
osm_10132501,209,4067.0,0.18710894368789105,0.2576644370122631
osm_358239149,4,3.0,0.5,0.3333333333333333
osm_1183159897,82,833.0,0.25082806383619394,0.3756172839506173
osm_358748610,5,5.0,0.5,0.4166666666666667
